num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
135999,2007,Chevrolet,Suburban,1500 LS,SUV,automatic,3gnfc16077g147329,ca,2.0,97613.0,blue,black,tradewinds remarketing,12100,10600,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
136000,2007,Chevrolet,Suburban,1500 LS,SUV,automatic,3gnfk163x7g106903,pa,3.0,97359.0,silver,gray,exceptional motorcars ltd,16150,16800,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
136001,2007,Cadillac,Escalade,Base,SUV,automatic,1gyfk63827r214044,ga,2.6,107847.0,gold,black,nextgear capital,18550,17400,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
136002,2007,Chevrolet,Silverado 2500HD,Work Truck,Regular Cab,automatic,1gchc24k07e553018,pa,3.7,100359.0,blue,gray,reedman toll auto world,7875,7000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
136003,2007,Cadillac,Escalade,Base,SUV,automatic,1gyfk63897r167689,tx,3.4,145260.0,white,beige,remarketing by ge/budget motor co,15250,15700,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
136004,2007,Chevrolet,Silverado 1500 Classic,LS,Extended Cab,automatic,1gcec19x37z126006,ga,2.9,103048.0,green,gray,nextgear capital,8275,7000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
136005,2007,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk16307j194407,mi,3.4,130327.0,blue,beige,td auto finance,11900,9000,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
136006,2007,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcec13j87g523389,ca,2.5,97259.0,black,black,california republic bank,13450,14900,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
136007,2007,Cadillac,Escalade,Base,SUV,automatic,1gyfk63877r123450,tx,2.7,198888.0,black,tan,primeritus remarketing/vonuc motors,11600,10000,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
136008,2007,Cadillac,STS,V6,Sedan,automatic,1g6dw677670171452,ca,3.2,39335.0,black,black,us bank,10050,10250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
136009,2007,Chevrolet,Silverado 1500 Classic,LS,Extended Cab,automatic,1gcek19z97z127486,mi,2.0,187074.0,black,black,total finance llc,6975,5600,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
136010,2007,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,1gcec19c77z538958,fl,2.1,132210.0,blue,gray,nicholas financial inc/clearwater,8950,9200,Thu Jan 15 2015 07:01:00 GMT-0800 (PST)
136011,2007,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk16387r364563,az,2.6,101521.0,gold,beige,larry h miller dodge ram tucson,16000,15000,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
136012,2007,Chevrolet,Silverado 1500,LT2,Crew Cab,automatic,2gcec13j171525445,tx,3.9,234671.0,blue,black,texas rv outlet superstore,6025,9400,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
136013,2007,Chevrolet,Avalanche,LT,Crew Cab,automatic,3gnec120x7g318382,tx,1.9,77846.0,red,gray,all american chevrolet of midland,15050,13500,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
136014,2007,Chevrolet,Cobalt,LS,Sedan,automatic,1g1ak55f077115832,oh,2.0,82415.0,blue,gray,dt inventory,3300,2600,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
136015,2007,Chevrolet,Suburban,2500 LT,SUV,automatic,3gngc26k47g136445,az,3.4,71702.0,black,black,meridian remarketing,17650,17300,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
136016,2007,Chevrolet,Cobalt,SS,Coupe,manual,1g1ap11px77137104,fl,2.9,80917.0,orange,black,achieva credit union,5175,5700,Thu Jan 29 2015 07:01:00 GMT-0800 (PST)
136017,2007,Chevrolet,Colorado,LT,Crew Cab,automatic,1gccs13e378159921,tx,2.4,107295.0,gray,black,tdaf remarketing,8100,9000,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
136018,2007,Ford,Altima,Base,Sedan,automatic,1gbhg39u471185555,pa,3.5,35712.0,burgundy,gray,joe wanas auto sales,10500,13100,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
136019,2007,Chevrolet,Equinox,LT,SUV,automatic,2cndl73f376111642,az,2.1,170691.0,white,gray,aps rent a car & leasing,2300,4000,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
136020,2007,chevrolet,corvette,Base,Sedan,automatic,1g1yy26u875100225,ca,4.9,33039.0,silver,gray,fiat of ontario,24400,24750,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
136021,2007,Chevrolet,Silverado 2500HD,LTZ,Crew Cab,automatic,1gchk23607f551982,pa,3.8,65918.0,black,gray,van devere inc,29100,31200,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
136022,2007,Chevrolet,Equinox,LS,SUV,automatic,2cndl13f876114291,ca,3.6,54012.0,red,gray,california fleet inc,7225,8200,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
136023,2014,Dodge,Challenger,R/T,Coupe,automatic,2c3cdybt8eh290051,tx,4.4,21008.0,gray,black,brac of wichita - wichita landsman,24700,25000,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
136024,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag3eh242753,fl,4.0,20976.0,white,black,enterprise vehicle exchange-non pgm/orlando,18150,18200,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
136025,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag3eh233762,fl,4.0,22330.0,silver,black,enterprise vehicle exchange-non pgm/orlando,18000,18600,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
136026,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag6eh214428,fl,4.0,20251.0,black,black,enterprise vehicle exchange-non pgm/orlando,18250,18700,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
136027,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg2eh243059,mo,4.7,13188.0,white,gray,gmt auto sales inc,16600,17000,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
136028,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag7eh289767,fl,4.0,19191.0,red,black,enterprise vehicle exchange-non pgm/orlando,18350,18800,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
136029,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag6eh289534,fl,4.0,16552.0,black,black,enterprise vehicle exchange-non pgm/orlando,18650,19300,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
136030,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag3eh313031,fl,4.0,13684.0,red,black,enterprise vehicle exchange-non pgm/orlando,18950,19400,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
136031,2014,Dodge,Challenger,R/T,Coupe,automatic,2c3cdybt3eh251254,tx,4.1,21100.0,orange,black,brac of wichita - wichita landsman,23700,24600,Thu Jan 15 2015 02:30:00 GMT-0800 (PST)
136032,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag9eh262103,fl,4.0,17682.0,charcoal,black,enterprise veh exchange/rental,19050,18800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
136033,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag4eh224679,fl,4.0,19335.0,black,black,enterprise veh exchange/rental,18900,18800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
136034,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag4eh258217,fl,4.0,22410.0,silver,black,enterprise vehicle exchange-non pgm/orlando,18000,18600,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
136035,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag6eh214560,fl,4.0,20367.0,red,black,enterprise veh exchange/rental,18450,18500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
136036,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg4eh268495,nj,3.7,22712.0,black,black,enterprise veh exchange/rental,15900,15800,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
136037,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag7eh289803,ca,1.0,15832.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,18900,16500,Wed Jan 14 2015 07:05:00 GMT-0800 (PST)
