num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
136999,2003,Chevrolet,Tahoe,LS,SUV,automatic,1gnek13z33r175088,ny,3.5,180451.0,white,tan,broadway garage of columbia county inc,4300,2400,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
137000,2003,Chevrolet,Express Cargo,2500,Van,automatic,1gcfg25t431186290,ga,2.9,77160.0,white,gray,nextgear capital,4150,4100,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
137001,2003,Chevrolet,S-10,Base,Extended Cab,automatic,1gccs19x338101133,ca,2.4,77056.0,black,blue,san diego sports cars,4025,5300,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
137002,2003,Chevrolet,Tahoe,LS,SUV,automatic,1gnek13z73j323869,pa,2.9,25868.0,green,gray,bobby rahal motorcar company,6950,3400,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
137003,2003,Chevrolet,Corvette,Base,Convertible,automatic,1g1yy32g635121042,pa,4.9,64372.0,burgundy,beige,adcock brothers inc,16600,18250,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
137004,2003,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52ex39114685,wi,1.9,176311.0,silver,gray,knauz continental autos inc,1200,700,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
137005,2003,Chrysler,PT Cruiser,Limited Edition,Wagon,automatic,3c8fy68b03t523195,ga,1.9,140471.0,red,—,crown nissan greenville,1625,800,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
137006,2003,Dodge,Durango,SLT Plus,SUV,automatic,1d8hs58zx3f531139,az,3.3,108699.0,gray,gray,meridian remarketing,2800,3500,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
137007,2003,Dodge,Grand Caravan,Sport,Minivan,automatic,2d4gp44l93r114629,fl,1.9,88321.0,gold,gray,courtesy kia of brandon,1575,2200,Thu Jan 15 2015 08:20:00 GMT-0800 (PST)
137008,2003,Dodge,Intrepid,SE,Sedan,automatic,2b3hd46r63h574687,ca,2.6,180912.0,white,gray,executive enterprises auto wholesale inc,350,750,Wed Jan 21 2015 03:30:00 GMT-0800 (PST)
137009,2003,Chrysler,PT Cruiser,Limited Edition,Wagon,automatic,3c8fy68b03t542703,fl,2.0,128258.0,white,gray,mid atlantic finance/clearwater,2025,1700,Wed Jan 14 2015 08:45:00 GMT-0800 (PST)
137010,2003,Dodge,Ram Pickup 1500,ST,Regular Cab,automatic,1d7ha16k33j547301,sc,1.0,141996.0,silver,gray,south carolina state credit union,2925,1000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
137011,2003,Dodge,Neon,SXT,Sedan,automatic,1b3es56c33d203154,ny,1.9,64568.0,red,gray,meridian remarketing,1750,500,Thu Jan 15 2015 04:45:00 GMT-0800 (PST)
137012,2003,ford,escape,4x4 v6 xlt,Sedan,automatic,1fmyu93113kd19895,ca,3.0,194909.0,blue,black,cabe toyota,1400,2000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
137013,2003,Ford,Expedition,XLT Premium,SUV,automatic,1fmpu16l43la69069,ga,2.0,183132.0,red,gray,titlebucks/martin luther king ga,3150,1000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
137014,2003,Ford,Econoline Wagon,E-350 Super Duty XLT,Van,automatic,1fbss31l03ha89852,tx,1.9,139193.0,white,tan,texas rv outlet superstore,2875,3700,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
137015,2003,Ford,Explorer Sport,XLT,SUV,automatic,1fmzu70e93ua47231,fl,3.7,169869.0,black,gray,courtesy chrysler jeep dodge,1125,2300,Thu Jan 15 2015 08:20:00 GMT-0800 (PST)
137016,2003,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmpu18l23lb72200,nc,1.9,161449.0,white,tan,westlake financial services,3125,1400,Mon Jan 19 2015 01:00:00 GMT-0800 (PST)
137017,2003,Ford,Explorer,XLT,SUV,automatic,1fmzu63k03ua36906,ga,1.9,211402.0,silver,gray,innovative auto llc,1625,1100,Tue Jan 20 2015 05:10:00 GMT-0800 (PST)
137018,2003,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24l63ha38300,va,2.0,69570.0,white,gray,donlen corporation,4525,3900,Thu Jan 15 2015 01:20:00 GMT-0800 (PST)
137019,2003,Ford,Ranger,Tremor,SuperCab,automatic,1ftyr14v93pb03689,ca,1.0,210295.0,blue,black,rancho ford,1225,1550,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
137020,2003,Ford,F-150,XLT,SuperCab,automatic,1ftrx17l73ka47012,ca,4.1,118154.0,green,beige,premium auto wholesale,3975,5900,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
137021,2003,Ford,Altima,Base,Sedan,automatic,1fafp34z23w315633,ga,2.7,160663.0,black,gray,nalley kia,1200,1100,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
137022,2003,Ford,Focus,SE,Sedan,automatic,1fafp34px3w152468,va,2.0,149221.0,silver,gray,purple heart,1375,350,Thu Jan 15 2015 03:50:00 GMT-0800 (PST)
137023,2003,Ford,Explorer,XLT,SUV,automatic,1fmzu73k93ub20860,va,1.9,240606.0,gold,tan,rosner motors inc,500,800,Thu Jan 15 2015 01:35:00 GMT-0800 (PST)
137024,2003,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ftnx21p03ec30623,fl,1.9,123923.0,gray,gray,courtesy chrysler jeep dodge,8100,6400,Thu Jan 15 2015 08:20:00 GMT-0800 (PST)
137025,2003,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ftnx21p63ec38225,az,3.2,111040.0,white,gray,aps rent a car & leasing,6975,8500,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
137026,2003,Ford,Focus,ZX3,Hatchback,automatic,3fafp31313r119444,nc,2.0,201289.0,white,gray,hendrick kia of concord,1050,800,Wed Jan 14 2015 06:30:00 GMT-0800 (PST)
137027,2003,Ford,F-150,XLT,SuperCab,automatic,2ftrx17w13ca06308,mo,1.9,281197.0,white,gray,glesby marks leasing,600,850,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
137028,2003,Ford,Taurus,SES,Sedan,automatic,1fafp55203g158417,ca,1.9,117454.0,white,gray,fiesta ford lincoln mercury,1525,850,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
137029,2003,GMC,Envoy XL,SLT,SUV,automatic,1gkes16s436191863,sc,3.7,108567.0,white,tan,carolina trust fcu,4275,4500,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
137030,2003,Ford,Ranger,XL,Regular Cab,automatic,1ftyr10u43pa55340,ca,1.9,104312.0,black,silver,tidalwave finance corp,2950,1200,Wed Jan 14 2015 04:05:00 GMT-0800 (PST)
137031,2003,Honda,Accord,LX,Sedan,manual,1hgcm55393a140260,nc,1.9,163691.0,black,tan,honda cars of rock hill,3600,2600,Wed Jan 14 2015 06:30:00 GMT-0800 (PST)
137032,2003,GMC,Yukon,Denali,SUV,automatic,1gkek63u33j250711,il,1.9,110342.0,white,beige,tdaf remarketing,6350,5200,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
137033,2003,GMC,Sonoma,SLS,Extended Cab,automatic,1gtcs19x938178654,ga,2.9,87689.0,brown,black,rick hendrick toyota scion sandy springs,4875,4700,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
137034,2003,GMC,Sonoma,SL,Extended Cab,automatic,1gtdt19x438288898,mi,3.0,161800.0,white,—,remarketing by ge/astera credit union,2425,2500,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
137035,2003,Honda,Accord,LX,Sedan,automatic,jhmcm56343c044357,ca,1.9,108782.0,silver,black,aaero sweet company,4350,5400,Wed Jan 14 2015 03:30:00 GMT-0800 (PST)
137036,2003,Honda,Accord,EX,Sedan,automatic,jhmcm566x3c072822,fl,1.9,201178.0,black,beige,rick case hyundai inc,2825,2500,Thu Jan 15 2015 02:50:00 GMT-0800 (PST)
137037,2003,Honda,Element,EX,SUV,automatic,5j6yh18573l001418,ca,2.6,174693.0,gray,black,san diego sports cars,3625,3500,Wed Jan 21 2015 04:15:00 GMT-0800 (PST)
137038,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18093b044769,pa,2.7,123369.0,blue,gray,classic honda,2400,2500,Wed Jan 14 2015 04:00:00 GMT-0800 (PST)
137039,2003,Honda,Odyssey,EX,Minivan,automatic,5fnrl18603b135451,pa,1.9,151775.0,blue,gray,criswell honda,2250,1500,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
137040,2003,Honda,Civic,LX,Sedan,automatic,2hges16543h532183,md,3.5,78787.0,black,gray,integrity auto source llc,3675,5100,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
137041,2003,Honda,Civic,LX,Sedan,automatic,2hges16533h611604,nc,1.9,206139.0,silver,gray,honda of concord,1700,1600,Wed Jan 14 2015 06:30:00 GMT-0800 (PST)
137042,2003,Honda,Civic,LX,Coupe,automatic,1hgem22663l021723,ny,1.9,160764.0,blue,tan,"advanced remarketing services, inc.",2225,800,Wed Jan 14 2015 02:50:00 GMT-0800 (PST)
137043,2003,Honda,CR-V,LX,SUV,automatic,shsrd78443u113914,va,1.0,317547.0,brown,—,titlemax / fredericksburg va2,2175,900,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
137044,2003,Honda,Civic,Hybrid,Sedan,automatic,jhmes966x3s000949,nc,2.4,178989.0,blue,beige,westlake financial services,1700,1500,Mon Feb 23 2015 01:00:00 GMT-0800 (PST)
137045,2003,Honda,Pilot,EX,SUV,automatic,2hkyf18443h513841,tx,2.8,159423.0,silver,gray,autonation toyota south austin,3550,3500,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
137046,2003,Honda,Pilot,EX,SUV,automatic,2hkyf18523h592595,nj,1.9,128087.0,silver,gray,curry acura,4100,3050,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
137047,2003,Ford,Altima,Base,Sedan,automatic,jhlrd78993c817111,ab,3.0,229026.0,silver,black,moose auto ltd,1650,4100,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
137048,2003,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66543a087683,fl,3.1,108880.0,white,beige,courtesy kia of brandon,4775,4500,Thu Jan 15 2015 08:20:00 GMT-0800 (PST)
137049,2003,Infiniti,I35,Base,Sedan,automatic,jnkda31a43t105987,ca,2.3,98065.0,white,beige,century dealer services corp,3800,5200,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
137050,2003,Hyundai,Tiburon,Base,Hatchback,manual,kmhhm65d13u085350,fl,1.9,87511.0,black,black,misc marshalling-manheim central florida,1975,1100,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
137051,2003,Hyundai,Sonata,GLS,Sedan,automatic,kmhwf35h43a907319,oh,3.0,171426.0,silver,black,halleen kia,950,500,Tue Jan 13 2015 05:00:00 GMT-0800 (PST)
137052,2003,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48n23c541732,pa,2.7,104057.0,red,beige,bobby rahal bmw of south hills,2825,3600,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
137053,2003,Hyundai,Sonata,GLS,Sedan,automatic,kmhwf35hx3a908832,va,2.0,145872.0,white,black,titlemax / fredericksburg va1,1775,550,Thu Feb 12 2015 03:50:00 GMT-0800 (PST)
137054,2003,Hyundai,Santa Fe,GLS,SUV,automatic,km8sc13d43u499561,wi,3.1,144304.0,gray,gray,"title lenders,inc",2075,1100,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
137055,2003,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu88h63zj28402,va,2.1,149853.0,blue,beige,shirlie slack mitsubishi,2700,2000,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
137056,2003,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu68h13zj09003,ca,2.0,128085.0,silver,gray,gm financial,3225,3100,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
137057,2003,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu68h73zj32009,ca,1.9,163963.0,silver,gray,veros credit,2500,2000,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
