num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
137999,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb3dn541863,az,3.6,40008.0,gray,black,onesource/southwest remarketing,10800,9900,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
138000,2013,Chrysler,200,Limited,Sedan,automatic,1c3ccbcg2dn523963,pa,4.8,16696.0,—,beige,r hollenshead auto sales inc,13300,14600,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
138001,2013,Chrysler,200,LX,Sedan,automatic,1c3ccbab1dn704933,tn,4.8,23744.0,gold,black,absolute auto center,11550,9700,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
138002,2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb6dn625387,nv,3.6,61118.0,blue,black,the hertz corporation,9650,9900,Fri Jan 16 2015 04:00:00 GMT-0800 (PST)
138003,2013,Chrysler,Town and Country,Touring-L,Minivan,automatic,2c4rc1cg5dr779646,mi,4.9,27156.0,blue,black,chrysler capital,21500,21800,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
138004,2013,Chrysler,Town and Country,Touring-L,Minivan,automatic,2c4rc1cg6dr779641,mi,4.6,19898.0,white,black,chrysler capital,22300,21800,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
138005,2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcg4dn663650,wa,4.3,35522.0,red,black,dollar rac/seattle,11850,12800,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
138006,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9dr743699,pa,3.7,41478.0,blue,black,enterprise veh exchange/rental,16200,15200,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
138007,2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb5dn681319,in,3.8,53440.0,red,black,the hertz corporation,9950,10500,Thu Jan 22 2015 02:10:00 GMT-0800 (PST)
138008,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2dr650829,mi,4.7,18037.0,white,beige,chrysler capital,18900,19600,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
138009,2013,Dodge,Avenger,R/T,Sedan,automatic,1c3cdzbg3dn637154,tx,4.2,41126.0,white,black,avis corporation,12900,13200,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
138010,2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab0dn563424,nj,2.8,35363.0,white,gray,enterprise veh exchange/rental,10450,10400,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
138011,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2dr604109,mi,4.3,24956.0,silver,black,jepson car co llc,18100,17700,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
138012,2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb0dn626468,in,3.8,52617.0,white,gray,the hertz corporation,10000,10200,Thu Jan 22 2015 02:10:00 GMT-0800 (PST)
138013,2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab4dn657824,az,4.7,7879.0,blue,black,vantage west credit union,11800,12500,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
138014,2013,Dodge,Charger,SXT,Sedan,automatic,2c3cdxhg3dh742975,fl,4.1,23382.0,gray,black,gm financial,18900,19000,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
138015,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba2dd209687,ny,1.9,38675.0,blue,gray,generations bank,10750,6100,Thu Jan 22 2015 01:15:00 GMT-0800 (PST)
138016,2013,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg6dh622564,tx,3.1,34402.0,silver,black,gm financial,15450,15100,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
138017,2013,Dodge,Challenger,R/T,Coupe,automatic,2c3cdybt8dh650949,tn,4.9,9383.0,—,black,landers mclarty dodge chrysler jeep,25100,24500,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
138018,2013,Dodge,Challenger,R/T,Coupe,manual,2c3cdybt5dh602969,pa,4.6,16606.0,black,black,bud smail motorcars ltd,24200,23800,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
138019,2013,Dodge,Challenger,R/T,Coupe,automatic,2c3cdybtxdh635580,nv,4.4,34233.0,white,black,avis corporation,22300,22300,Fri Jan 16 2015 04:00:00 GMT-0800 (PST)
138020,2013,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct8dh612887,ga,4.3,21447.0,red,black,young motors llc,22100,22400,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
138021,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba3dd304081,mo,4.9,8787.0,gray,black,chrysler capital,12050,13400,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
138022,2013,Dodge,Dart,SE,Sedan,automatic,1c3cdfaa8dd331309,tn,1.9,26939.0,blue,black,exeter finance corp,9575,8000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
138023,2013,Dodge,Dart,Limited,Sedan,automatic,1c3cdfca6dd303702,fl,3.9,13053.0,gray,black,car collection of tampa inc,13550,13600,Wed Jan 21 2015 07:10:00 GMT-0800 (PST)
138024,2013,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct3dh690574,tx,4.5,41764.0,black,black,chrysler capital,19800,19900,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
