num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
139999,2005,Lincoln,Navigator,Ultimate,SUV,automatic,5lmfu27575lj08710,tx,2.8,161171.0,green,tan,pra receivables management llc,4100,3900,Wed Jan 14 2015 02:05:00 GMT-0800 (PST)
140000,2005,MINI,Cooper,S,Hatchback,manual,wmwre33585tl14242,pa,3.9,134844.0,blue,black,r hollenshead auto sales inc,3175,3600,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
140001,2005,Mazda,MPV,LX,Minivan,automatic,jm3lw28a950544564,ca,3.1,117877.0,blue,beige,century dealer services corp,2350,4200,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
140002,2005,Mazda,Tribute,s,SUV,automatic,4f2yz06145km38556,ca,4.0,124935.0,silver,gray,tuttle click mazda,3825,4000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
140003,2005,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgab57e95a517839,nc,3.5,132673.0,black,black,mercedes benz of northlake,5775,6300,Wed Jan 14 2015 06:30:00 GMT-0800 (PST)
140004,2005,Mercedes-Benz,CLK-Class,CLK500,Coupe,automatic,wdbtj75j35f159554,fl,3.5,71649.0,—,tan,the collection,7925,7800,Thu Jan 22 2015 01:15:00 GMT-0800 (PST)
140005,2005,Ford,Altima,Base,Sedan,automatic,4m2zu86e45uj14221,fl,1.9,139473.0,silver,black,northcoast financial services,2675,1800,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
140006,2005,Mitsubishi,Endeavor,LS,SUV,automatic,4a4mm21s75e010030,fl,2.3,100580.0,blue,gray,wells fargo dealer services,3200,2500,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
140007,2005,Mercedes-Benz,C-Class,C320 Luxury 4MATIC,Sedan,automatic,wdbrf84j85f668736,oh,3.9,89850.0,blue,gray,international motor car company,5375,8200,Thu Jan 15 2015 02:05:00 GMT-0800 (PST)
140008,2005,Mercedes-Benz,E-Class,E500,Sedan,automatic,wdbuf70j15a724068,fl,2.8,121774.0,burgundy,black,courtesy chrysler jeep dodge,5425,5300,Thu Jan 15 2015 08:20:00 GMT-0800 (PST)
