num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
143999,2013,Chevrolet,Spark,1LT,Hatchback,automatic,kl8cd6s98dc569935,ga,3.5,39817.0,silver,black,the hertz corporation,7850,8100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
144000,2013,Chrysler,Town and Country,Limited,Minivan,automatic,2c4rc1gg0dr757564,fl,4.0,39166.0,white,beige,"chrysler group,llc",21800,24800,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144001,2013,Chrysler,200,Limited,Sedan,automatic,1c3ccbcg5dn605489,fl,4.3,65481.0,silver,black,ge fleet or gefs by apex fleet as agent,10150,9700,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144002,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb3dn605464,fl,4.0,40392.0,gray,beige,ge fleet or gefs by apex fleet as agent,10750,11000,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144003,2013,Chrysler,300,C,Sedan,automatic,2c3ccaeg0dh687809,fl,4.0,39277.0,white,beige,ge fleet or gefs by apex fleet as agent,19100,20000,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144004,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3dr784751,fl,5.0,27011.0,gold,tan,"chrysler group,llc",17850,17600,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144005,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb2dn765822,nc,3.9,37227.0,brown,tan,gm financial,10900,10500,Tue Jan 20 2015 01:15:00 GMT-0800 (PST)
144006,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb4dn763361,ca,3.7,40154.0,beige,black,enterprise veh exchange/rental,10650,10800,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
144007,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbbxdn513980,il,1.9,33643.0,silver,black,chrysler capital,11100,7400,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
144008,2013,Chrysler,200,LX,Sedan,automatic,1c3ccbab9dn560712,ga,2.0,65147.0,gold,black,chrysler capital,9425,8200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
144009,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0dr621488,fl,2.0,25975.0,silver,black,"chrysler group,llc",17950,18200,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144010,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb9dn605422,fl,4.0,69522.0,red,beige,ge fleet or gefs by apex fleet as agent,9150,8900,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144011,2013,Chrysler,Town and Country,Touring-L,Minivan,automatic,2c4rc1cg8dr736564,fl,4.0,40898.0,blue,tan,"chrysler group,llc",20100,17900,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144012,2013,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag2dh645539,fl,1.9,45033.0,white,gray,remarketing by ge/space coast credit union,16150,13700,Fri Jan 23 2015 01:40:00 GMT-0800 (PST)
144013,2013,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag2dh603775,fl,4.0,26947.0,blue,black,ge fleet or gefs by apex fleet as agent,18850,19200,Sun Feb 01 2015 16:00:00 GMT-0800 (PST)
144014,2013,Dodge,Dart,Limited,Sedan,automatic,1c3cdfch0dd232767,fl,4.0,29141.0,gray,black,"chrysler group,llc",12050,10700,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144015,2013,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg5dh577102,fl,4.0,21069.0,blue,black,ge fleet or gefs by apex fleet as agent,16150,14100,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144016,2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzag3dn757070,il,3.1,24579.0,gray,black,chrysler capital,11100,10500,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
144017,2013,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag9dh742379,il,4.4,22397.0,white,red,chrysler capital,18950,19500,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
144018,2013,Dodge,Dart,Limited,Sedan,manual,1c3cdfcb8dd284143,fl,5.0,2529.0,gray,red,"chrysler group,llc",14550,14500,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144019,2013,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct4dh687070,fl,4.0,5501.0,gray,black,"chrysler group,llc",23200,25200,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144020,2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab2dn653867,tx,3.6,28721.0,black,black,mike brown chrysler dodge jeep,10750,9900,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
144021,2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg3dr759640,fl,4.0,29726.0,blue,tan,"chrysler group,llc",15000,14000,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144022,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba8dd150533,nc,4.2,50863.0,gray,black,gm financial,10000,10300,Tue Jan 20 2015 01:15:00 GMT-0800 (PST)
144023,2013,Dodge,Journey,SXT,SUV,automatic,3c4pddbg3dt646128,fl,3.9,40154.0,red,—,avis corporation,16050,15700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
144024,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba7dd318324,nc,3.2,64455.0,white,gray,coastal credit llc/virginia beach/virginia beac,9725,8100,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
144025,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba7dd310160,fl,3.0,27459.0,blue,black,ge fleet or gefs by apex fleet as agent,11200,10300,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
144026,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba2dd326024,fl,4.0,45359.0,red,black,"chrysler group,llc",10700,11800,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
