num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
144999,2009,Honda,Civic,EX,Sedan,automatic,1hgfa16869l002942,or,2.6,84128.0,burgundy,beige,"jpmorgan chase bank,n.a.",7575,7800,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
145000,2009,Honda,Civic,EX,Sedan,automatic,2hgfa16859h532851,tx,3.2,59206.0,gray,gray,first investors servicing corp,8200,9400,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
145001,2009,Ford,Mustang,Premium,Coupe,automatic,1zvht80n295120030,az,2.3,81492.0,black,black,larry h miller toyota peoria,9475,9000,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
145002,2009,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d99u824216,ma,2.8,71415.0,red,tan,capital one auto finance,5600,4900,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
145003,2009,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtek23309g267360,nv,3.8,61011.0,white,black,unique autos,20700,23500,Fri Jan 16 2015 04:00:00 GMT-0800 (PST)
145004,2009,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d69u806353,nc,2.9,66885.0,silver,gray,north state acceptance,5675,5800,Mon Jan 19 2015 01:00:00 GMT-0800 (PST)
145005,2009,Honda,Accord,LX-S,Coupe,automatic,1hgcs12309a025848,nc,2.5,88246.0,black,black,remarketing by ge/carolina collegiate fcu,8050,9300,Tue Jan 20 2015 01:15:00 GMT-0800 (PST)
145006,2009,Honda,Civic,LX,Sedan,automatic,19xfa16579e037938,nc,1.9,93706.0,black,gray,us bank,7225,5700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
145007,2009,Honda,Civic,LX,Coupe,automatic,2hgfg12619h516438,ga,2.5,129953.0,blue,gray,sossa pre owned,5725,6700,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
145008,2009,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38779b033108,fl,2.8,117818.0,black,gold,sullivan auto group llc,10150,10100,Thu Mar 05 2015 01:40:00 GMT-0800 (PST)
145009,2009,Honda,Civic,Si,Sedan,manual,2hgfa55549h703345,oh,4.8,77411.0,orange,black,remarketing by ge/firelands fcu,10600,11700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
