num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
145999,2004,Ford,Econoline Wagon,E-350 Super Duty XLT,Van,automatic,1fbss31lx4ha44158,ga,3.2,69316.0,white,gray,alamo leasing co,5825,8800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
146000,2004,Chrysler,Sebring,Touring,Convertible,automatic,1c3el55r14n114393,ga,2.7,149760.0,silver,gray,nalley nissan decatur,1100,1500,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
146001,2004,Ford,Altima,Base,Sedan,automatic,2c8gf68454r647172,pa,1.8,165469.0,blue,beige,credit acceptance corp/vrs/southfield,1900,350,Tue Jan 20 2015 05:01:00 GMT-0800 (PST)
146002,2004,Dodge,Durango,SLT,SUV,automatic,1d4hb48nx4f140518,ma,1.9,135486.0,silver,gray,boch new to you superstore,3000,2200,Thu Jan 15 2015 10:30:00 GMT-0800 (PST)
146003,2004,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18d34j206035,oh,1.9,126807.0,black,gray,financial services remarketing (repos),7725,5000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
146004,2004,Ford,Explorer,XLT,SUV,automatic,1fmzu63k24ua75353,fl,1.9,154385.0,red,beige,grieco nissan,2075,2200,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
146005,2004,Ford,Explorer,XLT,SUV,automatic,1fmzu63kx4zb39237,tx,2.3,144748.0,white,black,dt credit corporation,2375,2800,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
146006,2004,Ford,Explorer Sport Trac,XLS,Crew Cab,automatic,1fmzu67k54ua00544,tx,3.0,195514.0,white,gray,capital auto auction,3400,3300,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
146007,2004,Ford,Altima,Base,Sedan,automatic,1fmzu73e74ub53397,tn,1.0,177504.0,gold,gray,santander consumer,1850,400,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
146008,2004,Ford,F-150,XLT,SuperCab,automatic,1ftpx14564nb99974,ma,3.4,92024.0,gray,gray,capital one auto finance,8100,7000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
146009,2004,Ford,F-150,Lariat,SuperCrew,automatic,1ftpw14554kb13123,ne,2.8,114958.0,red,tan,eckley auto brokers inc,9900,9100,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
146010,2004,Ford,F-150,FX4,SuperCrew,automatic,1ftpw14534kc45846,nj,2.4,136120.0,yellow,black,bargain express,8100,4900,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
146011,2004,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmfu18l64lb19836,nc,2.7,149067.0,black,tan,north state acceptance,4125,4900,Mon Feb 02 2015 01:00:00 GMT-0800 (PST)
146012,2004,Ford,Freestar,SE,Minivan,automatic,2fmza51644bb15740,fl,3.5,124427.0,gray,beige,publix supermarkets,1800,2300,Wed Jan 21 2015 05:25:00 GMT-0800 (PST)
146013,2004,Ford,F-150,XLT,SuperCab,automatic,1ftrx12wx4na59706,az,1.9,170820.0,red,beige,chapman ford llc,3850,3800,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
146014,2004,Ford,F-150,XLT,SuperCrew,automatic,1ftpw12514kb46235,ca,1.9,97760.0,black,gray,rotolo chevrolet inc,7775,5900,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
146015,2004,GMC,Envoy XL,SLT,SUV,automatic,1gket16s046140472,ma,2.0,115678.0,green,tan,capital one auto finance,5225,3000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
146016,2004,GMC,Envoy,SLE,SUV,automatic,1gkds13s542181951,ga,1.9,65731.0,silver,black,wells fargo dealer services,5475,3200,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
