num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
146999,2013,GMC,Terrain,SLT-1,SUV,automatic,2gkflvek6d6217238,ca,4.1,58940.0,silver,black,dtg operations inc,17150,16800,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
147000,2013,GMC,Yukon XL,SLT 1500,SUV,automatic,1gks2ke74dr244924,ca,3.6,64127.0,silver,black,the hertz corporation,25100,25000,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
147001,2013,Honda,Accord,EX,Sedan,automatic,1hgcr2f77da176385,il,3.6,40442.0,black,black,"ahfc/honda lease trust/hvt, inc.",16650,16300,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
147002,2013,Honda,Civic,LX PZEV,Sedan,automatic,19xfb2f58de066814,il,3.7,35547.0,silver,black,"ahfc/honda lease trust/hvt, inc. eot",13750,12600,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
147003,2013,Honda,Civic,EX,Sedan,automatic,19xfb2f81de018808,il,4.6,15904.0,black,beige,"ahfc/honda lease trust/hvt, inc.",14800,15000,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
147004,2013,Honda,Civic,EX,Sedan,automatic,19xfb2f86de013751,il,4.5,13794.0,brown,gray,"ahfc/honda lease trust/hvt, inc.",14950,15500,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
147005,2013,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcr3f81da006358,pa,4.4,52172.0,—,beige,r hollenshead auto sales inc,18600,19100,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
147006,2013,Honda,Accord,LX,Sedan,automatic,1hgcr2f33da188532,pa,2.9,25525.0,silver,gray,"ahfc/honda lease trust/hvt, inc.",15850,14900,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
147007,2013,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtp2ve72dg122419,tn,4.0,35526.0,white,tan,ford-lincoln dealer program,26100,28400,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
147008,2013,Ford,Taurus,SEL,Sedan,automatic,1fahp2h88dg152177,mi,4.7,22938.0,brown,tan,"ford motor credit company,llc",15950,17600,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
147009,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh346005,ca,3.6,39325.0,gray,gray,enterprise vehicle exchange/orange,11150,11500,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
147010,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae9dh279209,pa,4.6,25097.0,blue,gray,hyundai motor finance,11900,12000,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
147011,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae6dh337860,ca,4.2,39345.0,red,beige,avis corporation,11200,11400,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
147012,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae7dh194367,ga,4.3,14444.0,blue,black,seasons fcu,14700,15300,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
147013,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae3dh363669,ca,2.9,50034.0,white,beige,avis corporation,10650,10800,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
