num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
147999,2012,Honda,Pilot,EX,SUV,automatic,5fnyf4h48cb026044,pa,3.6,36589.0,white,gray,"ahfc/honda lease trust/hvt, inc. eot",20400,20000,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148000,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae1cu411850,pa,3.0,17119.0,gray,gray,hyundai motor finance,11200,10600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148001,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h62cb042020,pa,2.7,21634.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",23800,21100,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148002,2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h43cb039304,pa,3.1,30633.0,burgundy,beige,"ahfc/honda lease trust/hvt, inc. eot",19200,18100,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148003,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae1ch126094,wa,4.3,20790.0,blue,gray,hyundai motor finance,11050,11800,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
148004,2012,Hyundai,Elantra Touring,SE,Hatchback,automatic,kmhdc8ae9cu140039,wa,3.7,51690.0,gray,black,hyundai motor finance,9150,12900,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
148005,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h61cb029162,pa,3.8,32576.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",22800,22500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148006,2012,Honda,Pilot,LX,SUV,automatic,5fnyf4h21cb005180,pa,4.8,25967.0,brown,beige,"ahfc/honda lease trust/hvt, inc. eot",18350,22000,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148007,2012,Honda,Odyssey,Touring,Minivan,automatic,5fnrl5h97cb004633,va,3.4,53418.0,gray,gray,pohanka honda of fredericksburg,24800,24100,Thu Jan 29 2015 01:20:00 GMT-0800 (PST)
148008,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h65cb086609,fl,2.9,35872.0,gray,gray,maher chevrolet inc,22200,22600,Thu Jan 15 2015 02:15:00 GMT-0800 (PST)
148009,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h67cb038013,pa,1.9,51307.0,black,gray,"ahfc/honda lease trust/hvt, inc.",21300,18800,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148010,2012,Honda,Pilot,LX,SUV,automatic,5fnyf4h29cb032336,pa,4.2,36206.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",17550,19900,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148011,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h68cb010365,pa,2.5,41966.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",22100,21000,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148012,2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h23cb042783,il,3.9,31583.0,silver,gray,"ahfc/honda lease trust/hvt, inc. eot",16550,17700,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
148013,2012,Honda,Pilot,EX,SUV,automatic,5fnyf4h47cb044969,pa,3.0,34515.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",20600,20500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148014,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae0cu354783,pa,4.8,35419.0,blue,tan,hyundai motor finance,10450,11500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148015,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6ch405688,pa,3.2,25310.0,blue,gray,hyundai motor finance,12100,12200,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148016,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd3cu169836,wa,4.1,45632.0,silver,black,hyundai motor finance,16850,18000,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
148017,2012,Hyundai,Elantra,GLS,Sedan,manual,5npdh4ae8ch126528,pa,3.2,23144.0,silver,gray,hyundai motor finance,10950,10100,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148018,2012,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae1ch120764,pa,3.9,48061.0,white,gray,hyundai motor finance,11550,11600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148019,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae1ch116049,pa,2.5,25180.0,white,tan,hyundai motor finance,10900,9800,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
148020,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd5cu151919,pa,3.5,44498.0,black,tan,hyundai motor finance,17000,17700,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
148021,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd1cu191575,co,3.1,56102.0,blue,tan,the hertz corporation,15300,14100,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
148022,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4ch435255,pa,4.6,33605.0,gray,gray,hyundai motor finance,11750,12500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
148023,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4acxch342465,sc,3.5,73804.0,black,gray,sampson motors llc,9950,9100,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
