num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
149999,2005,Ford,F-150,XLT,SuperCrew,automatic,1ftpw14585kd55096,mn,4.1,61830.0,gray,gray,select lane,10250,12700,Thu Jan 15 2015 02:30:00 GMT-0800 (PST)
150000,2005,Ford,Altima,Base,Sedan,automatic,1fmzu72k85ua28756,ga,3.2,279103.0,white,—,ge fleet services for itself/servicer,25,1500,Tue Jan 20 2015 05:10:00 GMT-0800 (PST)
150001,2005,GMC,Yukon XL,1500 SLE,SUV,automatic,1gkec16z75j259812,tx,2.0,196544.0,white,silver,westlake financial services,4325,1300,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
150002,2005,GMC,Sierra 2500HD,SLE,Extended Cab,automatic,1gthk29u55e193870,md,2.0,150366.0,gray,black,darcars toyota of baltimore,9425,8000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
150003,2005,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ftsx21505ea27560,md,1.9,118412.0,black,beige,wells fargo dealer services,7850,8700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
150004,2005,Ford,Taurus,SE,Sedan,automatic,1fafp53u65a102170,il,1.9,123232.0,silver,gray,gateway financial services,1875,1000,Thu Jan 22 2015 06:00:00 GMT-0800 (PST)
150005,2005,GMC,Envoy,SLE,SUV,automatic,1gkds13s352207349,nc,2.6,175670.0,green,gray,performance auto center inc,2200,1500,Mon Jan 19 2015 00:31:00 GMT-0800 (PST)
150006,2005,Ford,Mustang,GT Premium,Coupe,manual,1zvft82h255136737,tx,1.9,54178.0,blue,black,hopper motorplex inc,10100,8300,Wed Jan 21 2015 02:15:00 GMT-0800 (PST)
150007,2005,Ford,Five Hundred,SEL,Sedan,automatic,1fahp27165g198452,ny,2.1,145775.0,gold,gold,m and t bank,1825,1400,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
150008,2005,Honda,Accord,DX,Sedan,manual,1hgcm551x5a010957,oh,2.2,92724.0,silver,black,toyota west,5350,3400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
150009,2005,GMC,Sierra 1500,SLT,Crew Cab,automatic,2gtec13t951359769,mi,4.9,121723.0,blue,gray,larry hudson chevrolet buick gmc inc,11350,8400,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
150010,2005,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38755b095388,fl,3.2,152770.0,blue,gray,westlake financial services,4600,4100,Thu Jan 22 2015 07:00:00 GMT-0800 (PST)
150011,2005,Honda,Civic,Hybrid,Sedan,manual,jhmes95665s016277,md,2.2,102692.0,gray,gray,darcars imports inc,3150,1600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
150012,2005,Hyundai,Accent,GLS,Hatchback,automatic,kmhcg35c85u361131,tx,1.9,118782.0,red,black,credit acceptance corp/vrs/southfield,1175,500,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
150013,2005,Ford,Altima,Base,Sedan,automatic,5fnyf18485b030533,mo,1.9,125349.0,red,tan,dt credit corporation,5450,5000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
150014,2005,Honda,Odyssey,Touring,Minivan,automatic,5fnrl38825b130722,ga,1.9,167688.0,gold,tan,nalley toyota of roswell,4575,3400,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
150015,2005,Infiniti,G35,Base,Sedan,automatic,jnkcv51e35m219099,fl,2.7,131378.0,silver,gray,westlake financial services,5300,4100,Thu Feb 05 2015 07:00:00 GMT-0800 (PST)
150016,2005,Hyundai,XG350,L,Sedan,automatic,kmhfu45e25a397783,pa,2.4,31770.0,gray,black,hyundai mtrs of morris ct inc,4050,4000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
150017,2015,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,1ft7w2bt3fea97531,nj,5.0,15748.0,blue,gray,ars/enterprise,39200,39000,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
150018,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g98eud10662,il,4.8,13610.0,black,gray,avis budget group,21500,21800,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150019,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g95euc24645,ga,3.7,19371.0,silver,black,avis budget group,20600,19400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
150020,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g98eud10497,il,4.7,16507.0,white,gray,avis budget group,21000,20900,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150021,2014,Ford,Edge,SEL,SUV,automatic,2fmdk3jc2eba72440,qc,4.9,17250.0,red,black,ford motor company of canada,28000,23900,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
150022,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g94eud10688,il,5.0,9861.0,gray,gray,avis budget group,22100,22100,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150023,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl1eda40706,il,5.0,24453.0,white,gray,avis budget group,19200,19000,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150024,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g98eue01950,qc,4.7,13416.0,blue,black,ford motor company of canada,23300,23800,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
150025,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl4eda15038,il,3.7,25947.0,white,gray,avis budget group,19050,18300,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150026,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g95eud10716,il,4.9,17625.0,silver,gray,avis budget group,21000,21500,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150027,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g92euc46909,il,3.6,26251.0,white,beige,avis budget group,19750,19900,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
150028,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g96eud18906,il,4.6,18421.0,gray,gray,avis budget group,20800,21200,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150029,2014,Ford,Escape,SE,SUV,automatic,1fmcu9gxxeud53303,qc,4.6,17731.0,black,black,ford motor company of canada,22000,24000,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
150030,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g95eud10490,il,4.9,12507.0,white,gray,avis budget group,21700,20900,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150031,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g94euc77370,il,4.2,24572.0,white,tan,avis budget group,19950,20700,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150032,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbss3bl5edb01776,ga,3.6,23028.0,white,gray,ford motor credit company,23800,22900,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
150033,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbss3bl7edb01780,ga,3.6,24785.0,gold,tan,ford motor credit company,23600,23200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
150034,2014,Ford,Escape,SE,SUV,automatic,1fmcu9gx1euc10207,ga,3.0,19653.0,silver,gray,ge fleet services for itself/servicer,19200,16300,Tue Feb 03 2015 05:10:00 GMT-0800 (PST)
150035,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g9xeuc94397,il,4.4,17804.0,gray,gray,avis budget group,20900,21300,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150036,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g93eud10519,il,4.9,16156.0,silver,gray,avis budget group,21200,20200,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150037,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g9xeud18908,il,4.4,14832.0,silver,gray,avis budget group,21400,21600,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150038,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g92eud10673,il,4.9,19566.0,black,gray,avis budget group,20700,21300,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150039,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3blxeda82484,il,4.0,22304.0,white,gray,avis budget group,19450,18800,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150040,2014,Ford,Edge,Sport,SUV,automatic,2fmdk3ak4eba74942,tn,4.3,20033.0,—,gray,ford-lincoln dealer program,29800,29800,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
150041,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g98eud10449,il,4.5,9250.0,black,black,avis budget group,22200,21300,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150042,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl2eda14888,il,4.1,33935.0,white,gray,avis budget group,18150,17800,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
150043,2005,Jeep,Wrangler,Unlimited,SUV,manual,1j4fa44s25p304823,pa,2.3,90171.0,black,gray,imports of lancaster county inc,13800,10200,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
150044,2005,Jeep,Wrangler,X,SUV,automatic,1j4fa39s45p301263,il,3.4,67260.0,green,black,tdaf remarketing,11200,13000,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
150045,2005,Jeep,Liberty,Sport,SUV,automatic,1j4gk48k25w533827,mo,1.9,103009.0,black,gray,fiserv/crescent bank & trust,4300,4000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
150046,2005,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k45w584338,pa,4.5,88216.0,—,beige,charles & son auto sls inc,4875,6400,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
150047,2005,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4hr48n75c702686,pa,3.6,108163.0,blue,gray,charles & son auto sls inc,5325,6000,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
150048,2005,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4hs48n45c525566,ca,1.9,109806.0,blue,gray,skyhigh remarketing inc,6350,2900,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
150049,2005,Ford,Altima,Base,Sedan,automatic,jtjht00w353552416,pa,3.6,111811.0,gray,gray,pohanka lexus,18800,18750,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
150050,2005,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k35w652483,nv,3.6,136144.0,silver,gray,chapman chry jeep,3125,3800,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
150051,2005,MINI,Cooper,S,Hatchback,automatic,wmwre33405tg95532,md,3.3,101582.0,red,gray,darcars toyota,4225,5100,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
150052,2005,Nissan,Altima,2.5,Sedan,automatic,1n4al11dx5n457465,va,2.0,173954.0,red,gray,purple heart,1975,550,Wed Jan 21 2015 16:00:00 GMT-0800 (PST)
150053,2005,Mercedes-Benz,C-Class,C240 Luxury 4MATIC,Sedan,automatic,wdbrf81j85f605530,nc,2.1,65335.0,silver,black,primeritus remarketing/aas,5575,5400,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
150054,2005,Mercedes-Benz,C-Class,C230 Kompressor,Sedan,automatic,wdbrf40j55f713050,fl,1.9,101043.0,gray,black,westlake financial services,5625,5300,Thu Jan 22 2015 07:00:00 GMT-0800 (PST)
150055,2005,Mazda,Mazda3,s,Hatchback,automatic,jm1bk343451236791,md,1.0,116817.0,silver,burgundy,wells fargo dealer services,4425,2300,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
150056,2005,MINI,Cooper,Base,Hatchback,automatic,wmwrc33525tj69897,fl,2.7,122598.0,red,—,westlake financial services,3200,3200,Thu Jan 22 2015 07:00:00 GMT-0800 (PST)
150057,2005,Mazda,Mazda3,SP23 Special Edition,Hatchback,automatic,jm1bk343551337385,nc,2.4,105685.0,black,black,best of clinton inc,4650,5200,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
150058,2005,Pontiac,Montana,Base,Minivan,automatic,1gmdv23e65d150566,nj,4.0,39375.0,blue,gray,lester glenn buick,4200,3900,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
150059,2005,Nissan,Armada,SE,SUV,automatic,5n1aa08b95n724976,mo,2.5,140216.0,gray,gray,dt credit corporation,7325,5400,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
150060,2005,Nissan,Xterra,S,SUV,manual,5n1an08u65c643564,ca,3.4,135173.0,white,tan,premium auto wholesale,4425,4500,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
150061,2005,Nissan,Pathfinder,SE,SUV,automatic,5n1ar18w55c755719,pa,3.2,127089.0,silver,gray,faulkner toyota,5625,5100,Mon Jan 19 2015 04:00:00 GMT-0800 (PST)
150062,2005,Nissan,Murano,SL,SUV,automatic,jn8az08w45w410554,fl,2.6,142524.0,silver,black,hendrick honda bradenton,4650,4100,Thu Jan 22 2015 08:50:00 GMT-0800 (PST)
150063,2005,Nissan,Sentra,1.8,Sedan,automatic,3n1cb51d85l474944,pa,1.9,160336.0,gold,beige,j magnone auto group llc,2100,1650,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
150064,2005,Nissan,Murano,S,SUV,automatic,jn8az08t35w304151,fl,2.5,102605.0,silver,black,westlake financial services,5700,4900,Thu Jan 22 2015 07:00:00 GMT-0800 (PST)
150065,2005,Nissan,Frontier,Nismo,Crew Cab,automatic,1n6ad07u55c444298,ca,1.9,89845.0,silver,gray,skyhigh remarketing inc,10300,11800,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
150066,2005,Toyota,Camry,SE,Sedan,automatic,4t1be32k05u088330,pa,3.1,73806.0,silver,gray,r hollenshead auto sales inc,5725,6900,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
150067,2005,Toyota,Sequoia,Limited,SUV,automatic,5tdbt48a35s246694,ca,3.9,89745.0,black,gray,arrowhead auto group inc,11150,17000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
150068,2005,Saab,9-3,Arc,Sedan,automatic,ys3fd49y751020304,pa,3.3,100987.0,black,gray,faulkner subaru,3200,3350,Mon Jan 19 2015 04:00:00 GMT-0800 (PST)
150069,2005,Scion,xA,Base,Hatchback,automatic,jtkkt624050128032,ma,2.0,144055.0,silver,black,boch new to you superstore,2700,1800,Thu Jan 22 2015 10:30:00 GMT-0800 (PST)
150070,2005,Subaru,Outback,3.0 R L.L.Bean Edition,Wagon,automatic,4s4bp86c054327935,pa,4.4,84129.0,blue,beige,autocelli inc,8525,9800,Fri Jan 23 2015 01:15:00 GMT-0800 (PST)
150071,2005,Toyota,Camry,SE,Sedan,manual,jtdbe32k353018332,ca,2.8,140619.0,silver,gray,premium auto wholesale,4150,4000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
150072,2005,Ford,Altima,Base,Sedan,automatic,jf1sg67605h754659,sc,3.6,120926.0,red,tan,andrew thomas motorcars,5075,6900,Thu Jan 15 2015 02:15:00 GMT-0800 (PST)
150073,2005,Volvo,S60,2.4,Sedan,automatic,yv1rs612852449498,pa,2.0,152737.0,blue,gray,purple heart,2375,750,Tue Jan 20 2015 05:01:00 GMT-0800 (PST)
