num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
150999,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8dm759270,nj,4.1,14053.0,gray,black,nissan infiniti lt,23500,22500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
151000,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2dh671453,il,3.4,56369.0,gray,gray,avis corporation,11300,11100,Tue Feb 10 2015 03:15:00 GMT-0800 (PST)
151001,2013,Infiniti,G Sedan,G37 Journey,G Sedan,manual,jn1cv6ap9dm300179,nj,3.4,17749.0,—,black,nissan infiniti lt,25100,24750,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
151002,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5dh520770,fl,2.7,63344.0,black,beige,hyundai motor finance,10900,9600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
151003,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4dh674211,fl,2.1,56186.0,black,beige,hyundai motor finance,11300,10200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
151004,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1dm762317,nj,4.2,8133.0,black,black,nissan infiniti lt,24100,24250,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
151005,2013,Hyundai,Veloster,RE:MIX,Hatchback,automatic,kmhtc6ad5du153069,il,4.1,13182.0,gray,black,chrysler capital,12650,13900,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
151006,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1dm753567,nj,4.2,18737.0,gray,black,nissan infiniti lt,23100,23250,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
151007,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar6dm750843,nj,3.8,17835.0,black,black,nissan infiniti lt,23100,24250,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
151008,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar6dm751474,nj,4.4,19464.0,—,black,nissan infiniti lt,23000,24750,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
151009,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1dm351760,nj,4.1,18586.0,red,black,nissan infiniti lt,22400,21500,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
151010,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1dm750426,nj,4.6,14900.0,black,black,nissan infiniti lt,23000,22000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
151011,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar9dm752778,nj,4.7,31184.0,gray,black,nissan infiniti lt,21800,23500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
151012,2013,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6elxdm980021,nj,4.0,18175.0,gray,black,nissan infiniti lt,25100,26750,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
151013,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxdm753809,pa,4.0,24865.0,white,black,nissan infiniti lt,21500,22100,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
151014,2013,Kia,Optima,SX,Sedan,automatic,5xxgr4a6xdg136655,fl,4.2,7206.0,blue,gray,kia motors finance,22400,23300,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
151015,2013,Kia,Forte,EX,Sedan,automatic,knafu4a20d5711693,fl,4.2,60010.0,gray,gray,kia motors finance,8775,8900,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
151016,2013,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg1dl595963,ca,4.8,13829.0,blue,black,premium auto wholesale,26600,28000,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
151017,2013,Kia,Optima,LX,Sedan,automatic,knagm4a79d5305928,ga,3.8,50255.0,white,beige,associated credit union,11950,10500,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
151018,2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a78dg159763,ga,3.5,52041.0,gray,gray,avis corporation,11900,11800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
151019,2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mm2dc340002,mo,4.3,40823.0,burgundy,black,avis corporation,28700,28200,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
151020,2013,Kia,Forte,EX,Sedan,automatic,knafu4a28d5692455,nc,2.8,56378.0,silver,gray,the hertz corporation,9000,8300,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
151021,2013,Kia,Optima,LX,Sedan,automatic,knagm4a73d5378941,ny,4.7,16369.0,gold,beige,m and t bank,13950,13900,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
