num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
151999,2012,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk7cbl06052,fl,3.1,25664.0,—,tan,"ford motor credit company,llc pd",24300,22200,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
152000,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc8cr838055,pa,4.2,14835.0,black,black,"ford motor credit company,llc",17600,17000,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
152001,2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c59ct261195,pa,4.4,15792.0,red,gray,hollern and sons auto sales,14150,14500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
152002,2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c52ct256937,nv,3.7,26598.0,orange,black,bmw mini financial services,13450,14000,Thu Jan 22 2015 06:00:00 GMT-0800 (PST)
152003,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2jc0cr808721,pa,4.3,30067.0,black,black,"ford motor credit company,llc",16800,18100,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
152004,2012,Lincoln,MKZ,Hybrid,Sedan,automatic,3lndl2l39cr826193,ca,3.7,19124.0,black,black,"ford motor credit company,llc pd",17150,16600,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
152005,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc0cr828944,ca,4.9,38901.0,black,black,"ford motor credit company,llc pd",15250,16500,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
152006,2012,Lincoln,Navigator,Base,SUV,automatic,5lmjj2j56cel04151,pa,4.8,55332.0,black,black,r hollenshead auto sales inc,29200,28750,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
152007,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2jc0cr806323,pa,2.6,32411.0,black,beige,"ford motor credit company,llc",16600,15400,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
152008,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc6cr802462,pa,3.8,37584.0,blue,black,"ford motor credit company,llc",15400,15400,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
152009,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc4cr808812,fl,3.9,46509.0,—,beige,"ford motor credit company,llc pd",14550,14800,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
152010,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2jc8cr802472,pa,1.9,45088.0,black,black,"ford motor credit company,llc",15500,12800,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
152011,2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c50ct256256,nv,4.1,22218.0,brown,—,bmw mini financial services,13750,13750,Thu Jan 22 2015 06:00:00 GMT-0800 (PST)
152012,2012,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk0cbl00167,ny,3.6,17510.0,white,beige,"ford motor credit company,llc",26700,25300,Wed Jan 21 2015 01:20:00 GMT-0800 (PST)
152013,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb4cr231810,tn,3.5,21361.0,black,beige,mercedes-benz financial services,22200,22000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
152014,2012,Mazda,Mazdaspeed 3,Touring,Hatchback,manual,jm1bl1l39c1517808,fl,4.4,34154.0,black,black,"jpmorgan chase bank,n.a.",14750,17800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
152015,2012,Mazda,CX-9,Touring,SUV,automatic,jm3tb3cv6c0340006,pa,3.3,40134.0,gray,black,"jpmorgan chase bank,n.a.",20200,19500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
152016,2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb7cf745442,tn,3.6,29310.0,silver,black,mercedes-benz financial services,22000,22500,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
152017,2012,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1v71c1561494,fl,3.2,24085.0,blue,black,global auto group inc,11750,12300,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
152018,2012,Mazda,MX-5 Miata,Grand Touring,Convertible,automatic,jm1nc2pf9c0226349,tn,3.6,25594.0,black,black,"jpmorgan chase bank,n.a.",17350,17900,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
152019,2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh3c5m38830,nc,3.7,72448.0,gray,beige,lenders assistance corporation,8450,9300,Tue Jan 20 2015 01:15:00 GMT-0800 (PST)
152020,2012,MINI,Cooper Countryman,S,Wagon,automatic,wmwzc3c54cwl81826,nv,3.9,32976.0,gray,black,bmw mini financial services,18650,19000,Thu Jan 22 2015 06:00:00 GMT-0800 (PST)
152021,2012,MINI,Cooper,S,Hatchback,automatic,wmwsv3c50cty17598,nv,4.4,14729.0,orange,black,bmw mini financial services,17350,18500,Thu Jan 22 2015 06:00:00 GMT-0800 (PST)
152022,2012,Mazda,Mazda2,Sport,Hatchback,automatic,jm1de1ky8c0141169,ga,1.9,51742.0,gray,black,primeritus remarketing/crescent bank & trust,7500,5000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
152023,2012,MINI,Cooper Countryman,S ALL4,Wagon,manual,wmwzc5c50cwm11514,pa,4.1,26262.0,blue,gray,bill gray volvo,20400,20000,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
152024,2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb8cf878842,tn,4.3,24222.0,black,black,mercedes-benz financial services,22500,23000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
152025,2012,Mazda,Mazda3,i Touring,Hatchback,automatic,jm1bl1l7xc1533213,mi,3.9,59511.0,blue,black,"jpmorgan chase bank,n.a.",10600,10100,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
152026,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb1cr199415,tn,3.7,23068.0,white,beige,mercedes-benz financial services,22100,22750,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
152027,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb7cr210661,fl,2.6,39882.0,white,—,mercedes-benz financial services,20600,20200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
152028,2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb8cf782709,nv,4.0,22493.0,—,black,mercedes-benz financial services,22600,22750,Thu Jan 22 2015 06:00:00 GMT-0800 (PST)
152029,2012,MINI,Cooper Countryman,S ALL4,Wagon,automatic,wmwzc5c56cwl56292,nv,4.3,42990.0,white,black,bmw mini financial services,18900,21750,Thu Jan 22 2015 06:00:00 GMT-0800 (PST)
