num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
154999,2007,Ford,Altima,Base,Sedan,automatic,2t1kr32e37c634878,mo,1.9,99153.0,white,black,sutton ford/ge,4800,2800,Tue Jan 20 2015 07:00:00 GMT-0800 (PST)
155000,2007,Toyota,Corolla,LE,Sedan,automatic,1nxbr32e77z776018,tx,2.8,96553.0,gold,beige,santander consumer,4875,4300,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
155001,2007,Toyota,Camry,XLE,Sedan,automatic,4t1be46k07u595277,pa,3.9,139712.0,white,gray,car sense incorporated,7225,7600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
155002,2007,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56zx7k520903,tx,1.9,106677.0,silver,gray,dt credit corporation,1525,1500,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
155003,2007,Toyota,FJ Cruiser,Base,SUV,manual,jtebu11fx70015360,pa,3.2,56538.0,silver,black,r hollenshead auto sales inc,16350,17000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155004,2007,Subaru,Impreza,2.5 i,Sedan,automatic,jf1gd61647h509938,pa,3.2,135367.0,blue,gray,faulkner subaru,4075,4900,Mon Jan 19 2015 04:00:00 GMT-0800 (PST)
155005,2007,Toyota,Avalon,XLS,Sedan,automatic,4t1bk36b17u192413,pa,3.5,129902.0,—,gray,r hollenshead auto sales inc,7600,6700,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155006,2007,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u877693399,nj,2.0,128846.0,blue,gray,wells fargo dealer services-tra,5025,2250,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
155007,2007,Volkswagen,New Beetle,2.5,Hatchback,automatic,3vwrw31c07m504391,mo,2.4,120238.0,black,tan,ford-lincoln dealer program,3050,3000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
155008,2007,Volkswagen,Passat,2.0T,Wagon,automatic,wvwlk73c27e071834,ma,3.5,174138.0,white,tan,nissan 24,1000,1550,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
155009,2007,Toyota,RAV4,Base,SUV,automatic,jtmbd33v775084028,md,1.9,153329.0,white,beige,ge fleet services for itself/servicer,6650,5700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
155010,2007,Volkswagen,Passat,2.0T,Sedan,automatic,wvwak73c27p018384,md,1.9,92679.0,gray,—,autonation buick gmc laurel,5650,3600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
155011,2007,Volkswagen,New Beetle,2.5,Hatchback,automatic,3vwew31cx7m509497,fl,3.4,90617.0,white,tan,remarketing by ge/hardy automotive llc,4450,4400,Fri Jan 23 2015 01:40:00 GMT-0800 (PST)
155012,2006,Audi,A4,3.2 quattro,Sedan,manual,waudh78e46a174995,pa,3.5,181551.0,black,black,r hollenshead auto sales inc,5075,3700,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
155013,2006,Acura,TL,Base,Sedan,automatic,19uua662x6a006676,md,1.9,137438.0,black,tan,darcars toyota of baltimore,6550,4600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
155014,2007,Volkswagen,Jetta,Wolfsburg Edition,Sedan,automatic,3vwef71k37m069847,nc,3.4,107782.0,gray,gray,santander consumer,4275,5200,Mon Jan 19 2015 01:30:00 GMT-0800 (PST)
155015,2006,Acura,TL,Base,Sedan,automatic,19uua662x6a025177,pa,3.8,77890.0,silver,gray,charles & son auto sls inc,9850,10400,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155016,2007,Ford,Altima,Base,Sedan,automatic,5tbrv54177s452584,pa,3.1,112921.0,gray,gray,r hollenshead auto sales inc,12400,13000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155017,2007,Volkswagen,Jetta,2.5 PZEV,Sedan,automatic,3vwpg71k77m086107,ca,1.9,103745.0,gray,black,milahs auto sales,4475,3950,Wed Jan 21 2015 03:30:00 GMT-0800 (PST)
155018,2007,Volkswagen,Passat,2.0T,Wagon,automatic,wvwtk73c17e006568,nc,3.2,89347.0,blue,gray,parkway automotive group,4550,3400,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
155019,2007,Volvo,V70,2.4,Wagon,automatic,yv1sw612572658240,mo,3.6,95599.0,silver,black,rippe motors llc,6800,7400,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
155020,2006,Acura,TL,Base,Sedan,automatic,19uua66246a054982,ga,2.9,140372.0,blue,gray,remarketing by ge/nextgear capital,6400,5900,Tue Jan 20 2015 05:10:00 GMT-0800 (PST)
155021,2007,Toyota,RAV4,Limited,SUV,automatic,jtmbk31v076010906,pa,3.0,101974.0,green,gray,buick gmc of mahwah,9900,8000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155022,2007,Volvo,XC90,V8,SUV,automatic,yv4cz852x71370157,pa,4.2,73226.0,blue,black,tdaf remarketing,10550,11600,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155023,2007,Toyota,Prius,Touring,Hatchback,automatic,jtdkb20u477677653,tx,3.1,63687.0,blue,beige,laredo dodge chrysler jeep,8425,6500,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
155024,2007,Volkswagen,Eos,2.0T,Convertible,automatic,wvwba71f77v011155,pa,3.7,56063.0,silver,black,adcock brothers inc,7775,7200,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155025,2006,Audi,A4,1.8T,Convertible,automatic,wauac48h66k002889,tx,1.9,127385.0,black,black,dt credit corporation,3600,1400,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
155026,2007,Toyota,Sienna,CE 7-Passenger,Minivan,automatic,5tdzk23c77s021115,fl,3.9,88381.0,white,gray,tdaf remarketing,6325,9400,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
155027,2007,Toyota,RAV4,Limited,SUV,automatic,jtmzd31v476030746,tx,3.1,69686.0,black,gray,landers mclarty honda,8925,9000,Fri Jan 16 2015 03:00:00 GMT-0800 (PST)
155028,2007,Volkswagen,Jetta,Wolfsburg Edition,Sedan,automatic,3vwef71k97m078651,ma,3.6,169113.0,silver,gray,metro ford,3050,2700,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
155029,2006,Acura,MDX,Touring,SUV,automatic,2hnyd18826h513465,pa,3.8,102321.0,—,tan,r hollenshead auto sales inc,9275,10700,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155030,2006,Audi,A4,2.0T quattro,Sedan,manual,waudf78e56a060526,pa,2.5,99278.0,silver,black,bmw of sterling,6075,7200,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155031,2007,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdzk22c77s029586,md,3.5,228934.0,gray,gray,cashmoneycars,3250,3950,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
155032,2007,Volkswagen,Eos,2.0T,Convertible,automatic,wvwda71f97v017855,pa,4.0,66719.0,black,black,r hollenshead auto sales inc,7275,7600,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
155033,2007,Toyota,Prius,Base,Hatchback,automatic,jtdkb20ux77644043,nj,2.1,152065.0,red,beige,a & n auto sales inc,4425,3950,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
155034,2007,Volkswagen,Jetta,Base PZEV,Sedan,automatic,3vwhg71kx7m110503,md,2.3,151896.0,gray,gray,darcars dodge of new carrollton,2775,3300,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
155035,2006,Ford,Altima,Base,Sedan,automatic,2gcec13zx61343330,tx,2.4,284450.0,white,black,ge fleet services for itself/servicer,4250,3300,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
155036,2006,BMW,3 Series,325i,Sedan,automatic,wbavb13586pt13310,ca,3.2,164186.0,white,beige,first credit finance,4825,4100,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
155037,2006,BMW,3 Series,325Ci,Coupe,automatic,wbabd33456pm51175,tx,2.4,110933.0,silver,black,wells fargo dealer services,5350,3700,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
155038,2006,BMW,3 Series,325Ci,Coupe,automatic,wbabd33496pl09962,fl,1.9,88603.0,black,beige,remarketing by ge/hardy automotive llc,6750,6000,Fri Jan 16 2015 02:10:00 GMT-0800 (PST)
155039,2006,BMW,5 Series,525i,Sedan,automatic,wbane53576ck87921,nc,3.4,117988.0,black,gray,santander consumer,7075,7400,Mon Jan 19 2015 01:30:00 GMT-0800 (PST)
155040,2006,BMW,3 Series,325i,Sedan,automatic,wbavb13546kx34258,sc,2.7,236369.0,silver,gray,charleston automotive company,3425,4000,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
