num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
158999,2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h5xcb051147,pa,4.3,49581.0,black,gray,r hollenshead auto sales inc,22400,23000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
159000,2012,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae5cu171163,nj,3.8,52703.0,black,gray,wells fargo dealer services,8250,8000,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
159001,2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h21cb009443,il,3.6,35899.0,white,beige,"ahfc/honda lease trust/hvt, inc. eot",16400,17700,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
159002,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h67cb027268,pa,3.6,32284.0,gray,gray,best auto wholesale,22600,22750,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
159003,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h62cb013133,pa,3.1,62248.0,black,gray,r hollenshead auto sales inc,19700,18500,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
159004,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h66cb012230,pa,3.6,50915.0,silver,gray,westbury jeep chrysler dodge inc,21300,20200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
159005,2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h5xcb060527,nj,4.3,15525.0,gray,black,dukes auto,26500,26000,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
159006,2012,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae5cu251837,oh,4.4,55518.0,silver,gray,the hertz corporation,8150,8100,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
159007,2012,Honda,Odyssey,Touring,Minivan,automatic,5fnrl5h99cb055521,pa,4.1,25059.0,gray,gray,r hollenshead auto sales inc,27800,27250,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
159008,2012,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae0cu267248,qc,3.0,33808.0,gray,gray,repo depo,10250,9400,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
