num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
160999,2002,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48s72c249286,sc,3.2,159875.0,gray,gray,hendrick toyota scion north charleston,1975,1800,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
161000,2002,Nissan,Altima,2.5 SL,Sedan,automatic,1n4al11d02c251398,md,2.0,176258.0,black,gray,college park motor cars inc,1625,1250,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
161001,2002,Mitsubishi,Montero Sport,ES,SUV,automatic,ja4ls21hx2j042772,va,3.5,156436.0,beige,beige,dt credit corporation,1225,950,Thu Jan 22 2015 01:05:00 GMT-0800 (PST)
161002,2002,Pontiac,Grand Prix,GT,Sedan,automatic,1g2wp52k42f285873,va,1.9,136921.0,silver,gray,dt inventory,1450,600,Thu Jan 22 2015 01:05:00 GMT-0800 (PST)
161003,2002,Oldsmobile,Bravada,Base,SUV,automatic,1ghdt13sx22163638,oh,1.0,129333.0,red,tan,select remarketing group llc/loan max title,1875,1100,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
161004,2002,Mitsubishi,Galant,ES,Sedan,automatic,4a3aa46g72e141017,tx,2.0,173781.0,black,—,don herring irving mitsubishi,725,300,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
161005,2002,Saturn,VUE,Base,SUV,automatic,5gzcz63b12s828762,wi,1.0,173358.0,beige,beige,axcess financial,1350,875,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
161006,2002,Mitsubishi,Galant,ES,Sedan,automatic,4a3aa46h42e102622,va,1.9,148384.0,gray,gray,cowles ford inc,1225,350,Thu Jan 22 2015 01:50:00 GMT-0800 (PST)
161007,2002,Nissan,Altima,3.5 SE,Sedan,automatic,1n4bl11d92c146637,md,1.0,127469.0,blue,black,college park motor cars inc,2725,1000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
161008,2002,Pontiac,Montana,Value,Minivan,automatic,1gmdu23e42d171818,nc,3.2,134928.0,white,gray,"boyd chev buick gmc of emporia va, inc",925,2200,Mon Jan 19 2015 01:00:00 GMT-0800 (PST)
161009,2002,Pontiac,Grand Am,GT,Coupe,automatic,1g2nw12e72c261859,wi,2.0,173979.0,black,—,axcess financial,875,525,Wed Jan 28 2015 01:00:00 GMT-0800 (PST)
161010,2002,Volkswagen,Jetta,GLS 1.8T,Sedan,manual,3vwse69m02m161156,md,1.9,111193.0,green,tan,jim coleman toyota inc,1875,2400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
161011,2002,Toyota,Sienna,XLE,Minivan,automatic,4t3zf13c42u467499,va,3.6,179206.0,turquoise,gray,hendrick honda woodbridge,2750,2300,Thu Jan 22 2015 01:50:00 GMT-0800 (PST)
161012,2002,Toyota,Camry Solara,SE V6,Convertible,automatic,2t1ff28p42c570274,pa,2.6,155376.0,white,tan,faulkner hyundai,2000,3000,Mon Jan 19 2015 04:00:00 GMT-0800 (PST)
161013,2002,Toyota,Tacoma,Base,Xtracab,automatic,5tevl52n92z064561,ca,2.7,232962.0,silver,silver,harold's car donation service,2525,4000,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
161014,2001,BMW,3 Series,325i,Sedan,automatic,wbaav33431fu90371,tx,3.0,1.0,gray,black,westlake financial services,3350,900,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
161015,2002,Toyota,Highlander,Limited,SUV,automatic,jtehf21a520072296,mn,2.9,143190.0,black,gray,rudy luther toyota,5325,5300,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
161016,2002,Toyota,Highlander,Limited,SUV,automatic,jtegf21a020068751,md,3.7,203815.0,black,beige,annapolis subaru inc,5700,4200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
161017,2001,Chrysler,Town and Country,EX,Minivan,automatic,2c8gp74l51r281533,md,2.0,194078.0,silver,gray,darcars ford,850,1000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
161018,2001,Dodge,Grand Caravan,Sport,Minivan,automatic,2b8gp44g41r151533,md,2.0,141981.0,white,tan,purple heart services inc,1625,900,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
161019,2001,Chevrolet,Malibu,LS,Sedan,automatic,1g1ne52j316127942,tx,2.0,165922.0,gold,—,holt fiat,725,300,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
161020,2001,Chevrolet,Tahoe,Base,SUV,automatic,1gnek13tx1r151606,ma,2.3,125891.0,black,gray,boch new to you superstore,4200,2400,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
161021,2001,Chevrolet,Impala,Base,Sedan,automatic,2g1wf55e019271974,va,2.0,136373.0,gray,brown,brown's dulles nissan,1175,600,Thu Jan 22 2015 01:05:00 GMT-0800 (PST)
161022,2001,Ford,Windstar,LX,Minivan,automatic,2fmza51481ba65323,fl,2.7,103385.0,blue,gray,metro ford inc,1175,800,Fri Jan 23 2015 01:30:00 GMT-0800 (PST)
161023,2001,Ford,Windstar,SE,Minivan,automatic,2fmza52461ba22324,va,2.4,194577.0,gray,beige,dt inventory,975,300,Thu Jan 22 2015 01:05:00 GMT-0800 (PST)
161024,2001,Ford,Escape,XLT,SUV,automatic,1fmyu03121kf57473,az,1.9,120861.0,red,tan,"jpmorgan chase bank,n.a.",2650,2100,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
161025,2001,Ford,Mustang,GT Premium,Convertible,manual,1fafp45x11f161433,fl,1.9,98355.0,red,black,mercedes benz of fort myers,3750,2900,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
161026,2001,Ford,Focus,LX,Sedan,automatic,1fafp33p11w328791,pa,2.4,42183.0,black,black,peddle llc,1625,1100,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
161027,2001,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmpu18l61lb20484,nj,2.6,236268.0,white,gray,automotive remarketing inc,1025,300,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
161028,2001,Ford,Taurus,SE,Sedan,automatic,1fafp53211a264488,va,1.9,199757.0,gold,gray,automotive remarketing inc,500,325,Thu Jan 22 2015 01:20:00 GMT-0800 (PST)
161029,2001,Ford,Taurus,SEL,Sedan,automatic,1fahp56s31a122857,md,2.0,118348.0,gold,—,purple heart services inc,1875,300,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
161030,2001,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmfu18l11lb43036,fl,1.9,248638.0,red,tan,remarketing by ge/manheim orlando,850,600,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
161031,2001,Ford,Focus,SE,Sedan,automatic,1fafp34321w310098,va,1.0,137298.0,blue,black,dt credit corporation,1275,850,Thu Jan 22 2015 03:50:00 GMT-0800 (PST)
161032,2001,Mazda,Millenia,Premium,Sedan,automatic,jm1ta221011713181,md,2.0,154331.0,brown,beige,purple heart services inc,825,300,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
161033,2001,Jeep,Cherokee,Sport,SUV,automatic,1j4ff48s81l542365,pa,2.9,87907.0,black,gray,levittown ford llc,3325,4200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
161034,2001,Lexus,IS 300,Base,Sedan,automatic,jthbd182210015026,md,3.6,190353.0,black,beige,lexus of annapolis,2850,2700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
161035,2001,Isuzu,Rodeo,LSE,SUV,automatic,4s2ck58w314343607,tx,2.0,167965.0,white,—,holt fiat,1050,400,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
161036,2001,Lexus,IS 300,Base,Sedan,automatic,jthbd182910022006,va,1.9,163929.0,gray,black,automotive remarketing inc,3050,1600,Thu Jan 22 2015 01:20:00 GMT-0800 (PST)
161037,2001,Subaru,Legacy,GT,Sedan,manual,4s3be645x16215774,md,4.2,82553.0,black,gray,purple heart services inc,3100,2000,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
161038,2001,Saturn,L-Series,L200,Sedan,automatic,1g8ju54f81y508816,nc,2.7,190722.0,black,gray,hendrick chevrolet,600,1000,Mon Jan 19 2015 01:30:00 GMT-0800 (PST)
161039,2001,Toyota,Corolla,CE,Sedan,manual,1nxbr12e41z482765,ca,2.6,195643.0,white,beige,harold's car donation service,1125,1550,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
161040,2001,Toyota,Highlander,V6,SUV,automatic,jtehf21a010002431,ga,1.9,166387.0,green,beige,nalley toyota of roswell,4525,4500,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
161041,2001,Saturn,S-Series,SL1,Sedan,automatic,1g8zh52851z295054,md,2.0,148114.0,black,black,purple heart services inc,1000,300,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
161042,2001,Saturn,S-Series,SL1,Sedan,automatic,1g8zh52881z261870,md,2.0,122765.0,green,tan,darcars ford,1325,500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
