num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
163999,2000,Volkswagen,Jetta,GLS,Sedan,automatic,3vwsa29m9ym036167,nc,1.0,296011.0,burgundy,beige,lee hyundai of goldsboro,175,2200,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
164000,2000,Volvo,S80,2.9,Sedan,automatic,yv1ts94d1y1091708,fl,2.5,122596.0,blue,beige,autonation toyota winter park,1450,1400,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
164001,2000,Ford,Altima,Base,Sedan,automatic,4t3zf13cxyu235286,fl,1.9,155832.0,red,gray,autonation toyota pinellas park,2000,2000,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
164002,2000,Toyota,Corolla,VE,Sedan,manual,2t1br12e3yc290085,fl,2.5,112132.0,beige,tan,autonation toyota scion weston,1650,1700,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
164003,1999,Chevrolet,Express Cargo,G3500,Van,automatic,1gchg39r3x1123278,fl,1.9,253107.0,white,gray,autonation ford margate,1750,1000,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
164004,1999,Ford,Altima,Base,Sedan,automatic,2cnbj18c2x6931512,fl,2.5,51049.0,blue,gray,autonation ford sanford,1450,2100,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
164005,1999,Chrysler,300M,Base,Sedan,automatic,2c3he66g5xh625533,md,1.9,176768.0,white,black,cox fleet,1025,300,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
164006,1999,Chevrolet,Lumina,Base,Sedan,automatic,2g1wl52m1x9120056,fl,2.8,127267.0,gold,tan,autonation chevrolet west colonial,625,700,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
164007,1999,Chrysler,Sebring,JX,Convertible,automatic,3c3el45h1xt566284,fl,2.0,110132.0,green,beige,autonation ford st petersburg,825,350,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
164008,1999,Chevrolet,Malibu,LS,Sedan,automatic,1g1ne52jxx6265650,md,1.0,161178.0,beige,brown,ourisman of clarksville inc,675,900,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
