num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
166999,2008,Cadillac,DTS,Base,Sedan,automatic,1g6kd57y88u104622,md,3.9,99109.0,gold,tan,autonation chevrolet laurel,7725,7700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167000,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,3gcek13328g248835,mo,2.7,136586.0,silver,black,jim butler chevrolet inc,13650,13100,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
167001,2008,Dodge,Caliber,SRT4,Wagon,manual,1b3hb68f58d664745,nv,2.9,107661.0,black,black,stream llc dba stream remarketing solutions,4625,6700,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167002,2008,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,1ftsw21rx8ea87730,tn,2.8,136252.0,gold,tan,bob parker & son auto sales inc,17950,17600,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
167003,2008,GMC,Envoy,SLT,SUV,automatic,1gkdt13s982207891,oh,2.5,92045.0,black,black,pat o'brien chevrolet,8700,8300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
167004,2008,Honda,CR-V,EX-L,SUV,automatic,jhlre38768c032797,fl,3.8,169989.0,silver,black,westfall auto sales,6450,7700,Tue Jan 27 2015 08:00:00 GMT-0800 (PST)
167005,2008,Jeep,Wrangler,Unlimited X,SUV,automatic,1j8ga39138l509091,tn,4.7,66144.0,silver,gray,wholesale inc # 2,16450,19000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
167006,2008,Lexus,IS 250,Base,Sedan,automatic,jthbk262182061623,ca,3.5,108752.0,green,beige,ecars,11100,12900,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
167007,2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sl6ef293877,il,4.4,9383.0,silver,black,td auto finance,15700,16000,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
167008,2008,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb86e98a417042,tn,2.9,98267.0,white,tan,heritage auto llc,12750,13000,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
167009,2008,Pontiac,G6,GT,Sedan,automatic,1g2zh57n284285517,ma,2.8,84719.0,silver,black,imperial chrysler dodge jeep corp,5275,5500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167010,2008,Suzuki,XL7,Premium,SUV,automatic,2s3db217886106204,fl,4.1,122510.0,black,gray,westfall auto sales,2950,5500,Tue Jan 27 2015 08:00:00 GMT-0800 (PST)
167011,2008,Subaru,Outback,3.0 R L.L.Bean Edition,Wagon,automatic,4s4bp86c784300008,md,2.7,122498.0,gold,gray,kar motors inc,8350,7800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167012,2008,Toyota,Sequoia,Limited,SUV,automatic,5tdzy68a38s005752,tn,3.9,80856.0,—,tan,john roberts toyota,17500,21200,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
167013,2007,BMW,X5,4.8i,SUV,automatic,5uxfe83587lz44914,ma,3.9,53839.0,silver,gray,bmw of cape cod,18250,16800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167014,2007,Chevrolet,Silverado 1500,LT2,Crew Cab,automatic,2gcec13j471621490,tn,2.1,77127.0,blue,black,sullivan auto group llc,15200,14500,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
167015,2007,Dodge,Charger,RT,Sedan,automatic,2b3ka53h17h613806,ma,4.1,35144.0,black,gray,lenders fleet services,13350,12300,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167016,2007,Ford,Edge,SEL Plus,SUV,automatic,2fmdk39c37bb67144,tn,3.9,76332.0,white,tan,wholesale inc # 2,9825,10700,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
167017,2007,Ford,Five Hundred,SEL,Sedan,automatic,1fahp24177g102772,ga,3.8,123707.0,green,gray,bellamy strickland chev olds pon,3600,4600,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
167018,2007,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d57u200345,nv,2.4,119264.0,red,beige,balboa thrift & loan association,3200,2600,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167019,2007,Lexus,LS 460,Base,Sedan,automatic,jthbl46f775024374,nv,2.0,99848.0,red,gray,hawaii usa fcu,17950,11500,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167020,2007,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu11f270061037,md,5.0,88640.0,yellow,black,northwest bmw,14600,15500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167021,2007,Volvo,XC90,3.2,SUV,automatic,yv4cm982x71385029,nc,4.0,87159.0,gray,beige,everett chevrolet inc,8175,9200,Tue Jan 20 2015 01:15:00 GMT-0800 (PST)
167022,2014,Chevrolet,Suburban,LTZ 1500,SUV,automatic,1gnscke04er105509,nv,4.7,40261.0,—,black,avis corporation,38700,39000,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
167023,2006,Buick,LaCrosse,CXS,Sedan,automatic,2g4we587961278396,nv,2.4,123500.0,silver,gray,challenge financial services,3700,3100,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167024,2006,Audi,A4,2.0T quattro,Sedan,automatic,waudf78e76a185494,nv,3.3,103807.0,silver,black,mountain america credit union,6125,7200,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167025,2006,BMW,M3,Base,Coupe,automatic,wbsbl93436pn65984,ma,2.9,75796.0,silver,black,bmw of cape cod,14950,12100,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167026,2006,BMW,X3,3.0i,SUV,automatic,wbxpa934x6wg78779,ma,4.1,97825.0,blue,black,bmw of cape cod,8650,8100,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167027,2006,Chevrolet,Cobalt,LS,Coupe,manual,1g1ak15f467637242,oh,1.9,144882.0,silver,gray,car now acceptance co/columbus,1975,2100,Thu Jan 29 2015 01:00:00 GMT-0800 (PST)
167028,2006,Chevrolet,Cobalt,LT,Sedan,automatic,1g1al55f767600352,nv,2.5,145797.0,silver,gray,auto financial group,2125,1800,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167029,2006,Chevrolet,TrailBlazer,LS,SUV,automatic,1gndt13s062288022,oh,2.5,132796.0,white,gray,car now acceptance co/columbus,4075,2400,Thu Jan 29 2015 01:00:00 GMT-0800 (PST)
167030,2006,Dodge,Charger,SE,Sedan,automatic,2b3ka43g56h528046,nv,2.0,153807.0,white,black,total finance llc,3875,3600,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167031,2006,Ford,Explorer,Eddie Bauer,SUV,automatic,1fmeu74836za26529,pa,2.7,99970.0,black,beige,tdaf remarketing/majestic auto inc,6850,6900,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
167032,2006,Ford,Taurus,SE,Sedan,automatic,1fafp53u86a128433,oh,1.9,145053.0,burgundy,gray,car now acceptance co/columbus,1675,1800,Thu Jan 29 2015 01:00:00 GMT-0800 (PST)
167033,2006,Ford,Five Hundred,Limited,Sedan,automatic,1fahp28116g114635,nv,3.7,155705.0,blue,beige,security auto loans inc,2450,3100,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167034,2006,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38616b447181,nc,2.8,147018.0,black,beige,hendrick toyota scion concord,5275,4800,Wed Jan 21 2015 06:30:00 GMT-0800 (PST)
167035,2006,Infiniti,G35,x,Sedan,automatic,jnkcv51f36m610067,md,1.9,132772.0,gray,—,cashmoneycars,5450,5900,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
167036,2006,Jeep,Liberty,Sport,SUV,automatic,1j4gk48k96w236765,oh,2.7,126708.0,blue,gray,car now acceptance co/columbus,4275,3900,Thu Jan 29 2015 01:00:00 GMT-0800 (PST)
167037,2006,Saturn,ION,2,Sedan,automatic,1g8aj55f06z207059,nv,1.9,167727.0,purple,gray,smart finance,1375,1400,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167038,2005,BMW,5 Series,530i,Sedan,automatic,wbana73515b815397,nj,3.2,146511.0,silver,gray,bmw of mount laurel,5800,5200,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
167039,2005,Chevrolet,Monte Carlo,LS,Coupe,automatic,2g1ww12e559249519,oh,2.8,107128.0,gold,black,car now acceptance co/columbus,2475,4400,Thu Jan 29 2015 01:00:00 GMT-0800 (PST)
167040,2005,Chevrolet,Malibu Maxx,LT,Hatchback,automatic,1g1zu648x5f224548,ma,1.9,171557.0,black,gray,imperial ford corporation,1600,600,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
167041,2005,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmpu17535la85668,nv,2.9,131623.0,—,beige,motors acceptance corporation,4950,4100,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
167042,2005,Ford,Altima,Base,Sedan,automatic,1ftrx14w95fb13845,ma,2.9,171363.0,white,gray,ge fleet services for itself/servicer,5375,3100,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
167043,2005,Ford,F-150,Lariat,SuperCrew,automatic,1ftpw145x5ke71514,ga,3.4,202410.0,brown,beige,bellamy strickland chev olds pon,5600,8000,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
167044,2005,Ford,Excursion,Limited ,SUV,automatic,1fmnu43s05ec42419,nv,1.9,162494.0,gold,beige,pra recievables management llc,7175,3000,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
167045,2005,MINI,Cooper,Base,Hatchback,automatic,wmwrc33495tj63392,ga,2.8,130508.0,white,black,jim ellis,2975,2900,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
