num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
167999,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae9dh364325,ca,3.4,38579.0,gray,gray,enterprise veh exchange/rental,11200,12400,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
168000,2014,BMW,X3,xDrive35i,SUV,automatic,5uxwx7c56e0e81192,fl,4.3,2906.0,black,brown,fields bmw,44400,36000,Tue Feb 17 2015 01:00:00 GMT-0800 (PST)
168001,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9dh600489,nj,4.3,36176.0,red,beige,lester glenn buick,12400,12500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
168002,2013,Hyundai,Tucson,Limited,SUV,automatic,km8jucac5du622137,mo,4.3,17505.0,blue,black,woodhouse sioux city inc,21900,20400,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
168003,2013,Jaguar,XK,XKR,Coupe,automatic,sajwa4dc5dmb51602,tx,4.4,20822.0,black,—,music city autoplex llc,57200,57750,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
168004,2013,Jeep,Wrangler,Unlimited Rubicon,SUV,manual,1c4bjwfg4dl647003,mo,4.9,9152.0,—,black,joe machens chrysler dodge jeep ram,34400,32700,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
168005,2013,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4hjweg8dl696653,fl,4.9,20551.0,white,black,fields bmw,30300,31500,Tue Jan 20 2015 01:00:00 GMT-0800 (PST)
168006,2013,Lexus,CT 200h,Base,Hatchback,automatic,jthkd5bh3d2151985,nj,3.3,14165.0,white,black,lexus of edison,23300,21800,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
168007,2013,Lexus,ES 350,Base,Sedan,automatic,jthbk1gg5d2081436,fl,4.1,20179.0,black,black,zimmerman auto brokers inc,28200,29400,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
168008,2013,Mazda,CX-5,Sport,SUV,automatic,jm3ke2be3d0101707,oh,3.1,28362.0,blue,gray,jr's auto city inc,16200,15400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
168009,2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d35e9292891,fl,4.1,16858.0,black,gray,tdaf remarketing,23600,23800,Tue Jan 27 2015 01:00:00 GMT-0800 (PST)
168010,2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7apxdl872930,ca,4.2,37790.0,silver,black,enterprise veh exchange/rental,9425,10600,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
168011,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt5dw037276,fl,2.9,19348.0,blue,black,courtney leasing inc,15100,14000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
168012,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4eexdp159242,oh,4.2,57268.0,gray,gray,the hertz corporation,10950,11000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
168013,2012,Acura,TL,Base,Sedan,automatic,19uua8f22ca009434,fl,4.5,86742.0,gray,beige,meridian remarketing,15850,15800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
168014,2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d34e9144506,fl,3.4,37401.0,red,gray,avis corporation,21500,20900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
168015,2012,BMW,Z4,sDrive35is,Convertible,automatic,wbalm1c50ce633584,fl,4.4,35580.0,black,black,landrover jacksonville,36100,37600,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
168016,2012,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj4cm137332,oh,3.7,60000.0,blue,black,exceptional motorcar llc,7825,9000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
168017,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb6e7113122,fl,4.9,27284.0,white,black,stingray chevrolet,12200,12600,Tue Jan 20 2015 01:15:00 GMT-0800 (PST)
168018,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb9e7291154,fl,2.5,16453.0,white,gray,florida auto financial group,12650,11000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
168019,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjeag6cc167219,fl,5.0,84688.0,white,black,nimnicht chevrolet company,16700,17000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
168020,2012,Jeep,Liberty,Limited,SUV,automatic,1c4pjmck4cw119669,fl,4.1,80058.0,gray,black,tim short chevrolet,14950,14100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
