num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
169999,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak8cw189954,ca,2.5,62340.0,white,black,remarketing by ge/larry h miller-fleet lease,12400,11700,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
170000,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag4cc207965,nj,4.3,30718.0,silver,black,fiserv/usb dealer services northstar exchange,23700,22800,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
170001,2012,Infiniti,QX,QX56,SUV,automatic,jn8az2nc8c9315030,tn,4.2,49406.0,black,beige,nissan north america inc.,41900,47200,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
170002,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak7cw156296,nc,3.4,66554.0,red,black,t & k enterprises of mt airy inc,12650,12900,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
170003,2012,Kia,Sorento,LX,SUV,automatic,5xykt3a24cg245335,tn,4.3,42566.0,—,tan,wholesale inc # 2,14000,15000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
170004,2012,Kia,Forte,EX,Sedan,automatic,knafu4a26c5494293,oh,4.1,34777.0,red,gray,pauley motor car co preowned vehicles llc,9450,9200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
170005,2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a76cg022784,oh,5.0,21557.0,gray,gray,pauley motor car co preowned vehicles llc,14800,15700,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
170006,2012,Kia,Forte,EX,Hatchback,automatic,knafu5a23c5467428,mo,4.3,48891.0,—,gray,tdaf remarketing,9250,9500,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
170007,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak5cw166955,fl,4.2,60388.0,red,black,tdaf remarketing,13050,13200,Tue Jan 20 2015 01:00:00 GMT-0800 (PST)
170008,2012,Kia,Sorento,Base,SUV,automatic,5xykt3a1xcg264169,ga,3.7,128119.0,silver,black,carworks inc,9575,10000,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
