num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
170999,2008,Pontiac,Torrent,GXP,SUV,automatic,2ckdl537086291187,mo,3.9,75396.0,black,black,weber granite city chevrolet company,8075,7900,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
171000,2008,Pontiac,Torrent,Base,SUV,automatic,2ckdl43f786014859,nc,4.1,111897.0,silver,black,hendrick volkswagen of concord,5725,6700,Wed Jan 28 2015 06:30:00 GMT-0800 (PST)
171001,2008,Pontiac,G6,Base,Sedan,automatic,1g2zg57n184163850,co,2.7,72964.0,silver,black,carfinders inc,6000,6700,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
171002,2008,Nissan,Xterra,S,SUV,automatic,5n1an08u28c510983,tx,2.8,82188.0,red,gray,exeter finance corp,9450,8400,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
171003,2008,Saturn,Outlook,XR,SUV,automatic,5gzer23798j198548,mo,3.6,92201.0,blue,black,napleton's mid river,8975,9000,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
171004,2008,Saturn,VUE,XE,SUV,automatic,3gscl33px8s552354,ca,3.4,97245.0,blue,gray,nvp remarketing,5300,6400,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
171005,2008,Scion,tC,Base,Hatchback,automatic,jtkde167380234991,md,3.3,104545.0,silver,black,honda of tysons corner,5025,5500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
171006,2008,Scion,xB,Base,Wagon,automatic,jtlke50e081055657,tx,1.0,104623.0,green,black,clay cooley motor co,5925,1300,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
171007,2008,Saturn,VUE,XR,SUV,automatic,3gsdl63798s595069,oh,4.4,66600.0,gray,gray,huebner chevrolet oldsmobile,6925,8900,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
171008,2008,Scion,xD,Base,Hatchback,automatic,jtkku10428j015622,ca,2.8,110060.0,silver,black,gulliver,5600,5800,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
171009,2008,Saturn,Outlook,XR,SUV,automatic,5gzer23708j126105,fl,3.8,90971.0,silver,gray,ebenzz motors,9050,9900,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
171010,2008,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu11f78k016925,wi,3.8,67562.0,yellow,black,hiller ford inc,17600,18600,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
171011,2008,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu11f88k015976,tn,3.7,80535.0,silver,black,wholesale inc # 2,16800,17600,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
171012,2008,Toyota,Highlander Hybrid,Base,SUV,automatic,jteew41a282021611,ca,2.2,145242.0,white,tan,la costa auto sales,9700,9100,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
171013,2008,Toyota,RAV4,Base,SUV,automatic,jtmbd35v185182325,pa,4.2,88757.0,white,gray,sell all cars.com llc,8725,9300,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
171014,2008,Toyota,Matrix,Base,Hatchback,automatic,2t1kr32ex8c720156,il,1.9,86073.0,silver,gray,manheim arena illinois,5525,5150,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
171015,2008,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b58u268474,ma,2.9,84372.0,white,tan,boch new to you superstore,11000,10700,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
171016,2008,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k78u047450,ca,4.1,42631.0,blue,beige,century dealer services corp,10200,12250,Wed Jan 21 2015 04:15:00 GMT-0800 (PST)
171017,2008,Toyota,Highlander,Base,SUV,automatic,jteds41a082006189,ga,4.0,110878.0,gold,tan,carworks inc,10850,11600,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
171018,2008,Toyota,Yaris,Base,Sedan,automatic,jtdbt923x81252095,tn,3.5,71944.0,silver,black,manheim nashville,4975,5600,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
171019,2008,Volkswagen,Passat,Turbo,Sedan,automatic,wvwjk73c08e109537,ca,3.5,86251.0,white,black,m l sim,5050,6200,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
171020,2008,Toyota,Tundra,SR5,Double Cab,automatic,5tfrv54198x063514,ca,4.5,99648.0,blue,brown,towbin dodge,13150,15800,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
171021,2008,Volvo,XC90,3.2,SUV,automatic,yv4cy982481482040,ca,4.0,73229.0,silver,black,land rover san jose,9875,10400,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
171022,2008,Toyota,Yaris,Base,Hatchback,manual,jtdjt923685142519,ga,2.9,111103.0,blue,gray,toyota financial services,4275,3800,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
171023,2007,BMW,3 Series,328i,Sedan,automatic,wbava33557pg53968,tx,2.3,86931.0,gray,black,tdaf remarketing,8800,8800,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
171024,2007,BMW,3 Series,328i,Sedan,automatic,wbava37577ne28604,tx,3.5,117294.0,black,tan,td auto finance,7225,6000,Wed Jan 21 2015 02:15:00 GMT-0800 (PST)
171025,2007,BMW,3 Series,328i,Sedan,automatic,wbava37597nl14049,ca,3.7,129372.0,black,brown,acura of riverside,6450,7600,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
171026,2007,BMW,6 Series,650i,Convertible,automatic,wbaek13597cn82215,oh,3.2,94685.0,black,beige,chase automotive leasing,16150,16500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
171027,2007,BMW,M6,Base,Coupe,automatic,wbseh93527b798700,tn,4.2,66743.0,silver,red,tdaf remarketing,22100,25000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
171028,2007,Aston Martin,V8 Vantage,Base,Coupe,manual,scfbb03b57gc03259,tx,4.2,31283.0,silver,red,hopper motorplex inc,46100,46900,Wed Jan 21 2015 02:15:00 GMT-0800 (PST)
171029,2007,BMW,3 Series,328i,Convertible,automatic,wbawr33547px79006,tn,3.2,81684.0,red,gray,tdaf remarketing,12800,14000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
171030,2007,Audi,A4,2.0T quattro,Sedan,automatic,waudf78e37a225281,nj,3.5,102620.0,black,black,mercedes benz of freehold,6775,6600,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
171031,2007,BMW,5 Series,525i,Sedan,automatic,wbane53547cw60866,mo,3.6,84526.0,—,black,kingdom auto center inc,9425,9500,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
171032,2007,Audi,A4,2.0T,Sedan,automatic,wauaf78e77a236206,ca,2.7,71247.0,gray,gray,crown auto sales/leasing,7475,8100,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
171033,2007,BMW,X3,3.0si,SUV,automatic,wbxpc93477wf05216,fl,2.2,89814.0,gray,gray,global auto exchange llc,10250,9000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
171034,2007,BMW,X5,3.0si,SUV,automatic,4usfe43507ly80145,mo,3.8,92656.0,silver,gray,fairway auto sales,14000,14000,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
171035,2007,Cadillac,DTS,Base,Sedan,automatic,1g6kd57y37u191621,nc,3.7,57544.0,gray,gray,medlin buick gmc mazda,8575,9500,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
171036,2007,Cadillac,Escalade,Base,SUV,automatic,1gyfk63827r171485,md,3.8,142481.0,gold,black,autonation buick gmc laurel,15850,14100,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
171037,2007,Cadillac,SRX,V6,SUV,automatic,1gyee637870185583,ca,2.9,63259.0,gray,gray,dutton motor co,9850,9500,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
171038,2007,BMW,X3,3.0si,SUV,automatic,wbxpc934x7wf16436,ga,2.4,126753.0,black,tan,select luxury cars,7725,7000,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
171039,2007,BMW,7 Series,750Li,Sedan,automatic,wbahn83577dt69058,nc,2.4,187343.0,black,black,capital ford of charlotte inc,6300,6900,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
171040,2007,Cadillac,Escalade,Base,SUV,automatic,1gyfk63887r246612,ca,2.6,91757.0,white,black,century dealer services corp,19700,22750,Wed Jan 21 2015 04:15:00 GMT-0800 (PST)
