num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
175999,2011,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,nm0ls7bn6bt044723,tx,4.0,121682.0,white,silver,ge fleet services for itself/servicer,8025,8000,Thu Jan 29 2015 03:00:00 GMT-0800 (PST)
176000,2011,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew7bg173392,ca,2.2,61523.0,burgundy,tan,ge fleet services for itself/servicer,11450,8500,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
176001,2011,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,nm0ls7bn3bt043786,ca,3.2,116332.0,white,gray,ge fleet services for itself/servicer,8500,9100,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
176002,2011,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg8br225897,sc,4.2,74475.0,black,gray,primeritus remarketing/marine fcu,9500,8300,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
176003,2011,Ford,Fusion,SE,Sedan,automatic,3fahp0ha7br211944,az,2.1,70911.0,black,gray,first investors servicing corp,8375,7500,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
176004,2011,Ford,Fusion,SE,Sedan,automatic,3fahp0haxbr299825,ca,2.5,81761.0,gray,gray,ge fleet services for itself/servicer,7850,8000,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
176005,2011,Ford,Fusion,SE,Sedan,automatic,3fahp0hg6br161428,ca,3.6,26604.0,black,beige,primeritus remarketing/new concepts leasi,11000,11700,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
176006,2011,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,nm0ls7bn2bt046307,ca,3.6,114256.0,—,gray,ge fleet services for itself/servicer,8600,8500,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
176007,2011,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja8br230089,nc,4.2,42087.0,white,black,santander consumer,10550,11500,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
176008,2011,GMC,Yukon XL,Denali,SUV,automatic,1gks2mef3br298750,mo,4.3,103208.0,black,black,hendrick chevrolet shawnee mission,23800,24000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176009,2011,Ford,Fusion,SE,Sedan,automatic,3fahp0ha8br311745,ca,3.9,71791.0,gray,black,american auto finance,8350,8100,Thu Jan 22 2015 04:30:00 GMT-0800 (PST)
176010,2011,Ford,Mustang,V6,Coupe,automatic,1zvbp8am4b5166254,ca,3.4,57744.0,silver,black,gosch ford,13050,13000,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
176011,2011,Ford,Taurus,SE,Sedan,automatic,1fahp2dw6bg187785,ca,3.7,43293.0,silver,tan,ge fleet services for itself/servicer,11600,10500,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
176012,2011,Ford,Fusion,SE,Sedan,automatic,3fahp0ha2br221863,az,3.5,76857.0,white,gray,earnhardt,8100,8000,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
176013,2011,Ford,Mustang,V6,Coupe,automatic,1zvbp8am4b5166920,ny,3.7,67410.0,blue,brown,"ford motor credit company,llc",12150,12000,Wed Jan 28 2015 01:20:00 GMT-0800 (PST)
176014,2011,Ford,Mustang,V6,Coupe,automatic,1zvbp8am6b5132512,pa,4.2,46831.0,—,black,r hollenshead auto sales inc,13800,13000,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
176015,2011,GMC,Acadia,SLT-1,SUV,automatic,1gkkvred9bj380158,tn,4.6,38612.0,gray,black,wholesale inc # 2,22400,23000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176016,2011,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew5bg112025,fl,4.3,98199.0,black,black,westfall auto sales,9875,11350,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
176017,2011,Ford,Transit Connect,Cargo Van XL,Minivan,automatic,nm0ls7an5bt047906,ny,2.5,48708.0,blue,black,"ford motor credit company,llc",11300,9300,Wed Feb 04 2015 01:20:00 GMT-0800 (PST)
176018,2011,Ford,Taurus,SE,Sedan,automatic,1fahp2dw3bg145350,ga,3.1,83116.0,—,beige,mike albert fleet solutions,9850,9400,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
176019,2011,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtp2we38bg379083,mi,3.5,40799.0,white,black,multi auto trading inc,27300,23200,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
176020,2011,GMC,Canyon,SLE,Crew Cab,automatic,1gth6mfe8b8115722,nj,2.1,115710.0,red,black,m & r auto sales,13450,11800,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
176021,2011,GMC,Sierra 2500HD,SLE,Crew Cab,automatic,1gt120c83bf236867,ut,4.4,92467.0,silver,black,excell auto center,28500,28100,Wed Jan 21 2015 03:30:00 GMT-0800 (PST)
176022,2011,Honda,CR-V,LX,SUV,automatic,5j6re4h37bl001804,va,3.2,55004.0,black,black,hendrick honda woodbridge,13000,13600,Thu Jan 22 2015 01:50:00 GMT-0800 (PST)
176023,2011,Honda,CR-V,EX,SUV,automatic,5j6re4h53bl095410,wa,4.2,44459.0,gray,black,toyota of kirkland,14900,17100,Wed Jan 21 2015 05:20:00 GMT-0800 (PST)
176024,2011,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtp2ve36bg318213,on,1.9,149809.0,red,black,c r a collateral recovery & admin inc,18300,15200,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
176025,2011,GMC,Yukon,Denali,SUV,automatic,1gks2eef6br383152,pa,3.6,81093.0,black,black,1 cochran of monroeville,27700,25700,Wed Jan 28 2015 01:00:00 GMT-0800 (PST)
176026,2011,Honda,CR-V,SE,SUV,automatic,jhlre4h46bc027988,ca,3.4,34049.0,gray,black,spreen honda,15200,14250,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
176027,2011,Honda,Accord Crosstour,EX,Hatchback,automatic,5j6tf1h31bl000603,tn,4.2,67870.0,red,tan,toyota of murfreesboro/scion of murfreesboro,12600,13200,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176028,2011,Honda,Civic,LX,Sedan,automatic,19xfa1f53be033603,fl,3.9,39188.0,gray,gray,"jpmorgan chase bank,n.a.",9725,10100,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176029,2011,GMC,Acadia,SLE,SUV,automatic,1gkkrped1bj332128,ga,4.4,43721.0,black,—,us bank,17100,18300,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176030,2011,Honda,CR-V,EX,SUV,automatic,jhlre4h53bc033272,ca,3.7,14166.0,green,beige,skyhigh remarketing inc,16550,18000,Wed Jan 21 2015 04:15:00 GMT-0800 (PST)
176031,2011,GMC,Terrain,SLE-1,SUV,automatic,2ctalmec2b6287524,tx,3.9,58789.0,gold,black,music city autoplex llc,13450,14500,Wed Jan 21 2015 02:20:00 GMT-0800 (PST)
176032,2011,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtp2we36bg389899,ga,3.3,79620.0,white,beige,young motors llc,23000,23500,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
176033,2011,GMC,Yukon,Denali,SUV,automatic,1gks1eef3br241568,tx,3.7,88477.0,white,beige,hopper motorplex inc,25000,25800,Wed Jan 21 2015 02:15:00 GMT-0800 (PST)
176034,2011,GMC,Sierra 1500,Work Truck,Extended Cab,automatic,1gtr2te36bz374052,az,2.9,101155.0,white,black,flexco fleet services,11550,11000,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
176035,2011,GMC,Yukon,SLT,SUV,automatic,1gks2ce04br341823,tx,1.9,74768.0,silver,black,brunson auto sales,23800,22000,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
176036,2011,Hyundai,Elantra,GLS,Sedan,manual,5npdh4ae1bh005161,ca,3.5,57204.0,silver,gray,onemain rem/southwest financial enterprise,8575,8750,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
176037,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac0bh006757,fl,4.1,105218.0,silver,gray,orlando hyundai,7525,7500,Wed Jan 21 2015 01:25:00 GMT-0800 (PST)
176038,2011,Honda,CR-V,SE,SUV,automatic,jhlre3h49bc006496,ga,4.9,63133.0,silver,gray,remarketing by ge/the credit union loan source,12950,14200,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
176039,2011,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h64bb036568,pa,2.8,65928.0,black,gray,exotic leasing & sales,19350,19000,Fri Jan 23 2015 01:15:00 GMT-0800 (PST)
176040,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4bh068100,ca,3.4,57087.0,white,tan,air force fcu,9500,10200,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
176041,2011,Honda,Odyssey,Touring,Minivan,automatic,5fnrl5h99bb045778,nj,2.3,83917.0,gray,gray,hamilton honda,18900,19100,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
176042,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1bh199839,nj,4.6,54833.0,beige,tan,joyce motors corp,9650,10200,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
176043,2011,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a4xba006418,ga,3.6,79178.0,blue,gray,hyundai motor finance,10700,9000,Tue Feb 03 2015 05:10:00 GMT-0800 (PST)
176044,2011,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4de6bu120119,on,2.4,89741.0,blue,beige,financialinx,12700,12000,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
176045,2011,Honda,CR-V,SE,SUV,automatic,5j6re4h43bl078663,il,1.9,75992.0,gray,beige,ford-lincoln dealer program,12550,11800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176046,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2bh027271,wi,4.4,33615.0,red,tan,harry kaufmann motor cars inc,10600,11700,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
176047,2011,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4de8bu140856,ga,3.6,32018.0,black,black,hyundai motor finance,16650,17400,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
176048,2011,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h60bb097550,va,2.9,116726.0,white,gray,pohanka honda of fredericksburg,14700,13100,Thu Feb 12 2015 01:20:00 GMT-0800 (PST)
176049,2011,Hyundai,Genesis Coupe,3.8 Grand Touring,Genesis Coupe,automatic,kmhhu6kh7bu057753,oh,3.7,23199.0,gray,black,hyundai motor finance,15550,16800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176050,2011,Honda,Pilot,EX-L,SUV,automatic,5fnyf3h72bb044994,fl,4.7,100536.0,white,gray,auto sails inc,14700,16500,Tue Jan 27 2015 08:00:00 GMT-0800 (PST)
176051,2011,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dexbu126389,on,2.5,87156.0,white,black,financialinx,12800,12900,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
176052,2011,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4de4bu139056,on,4.1,65306.0,white,black,financialinx,13650,12000,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
176053,2011,Hyundai,Genesis Coupe,3.8 Grand Touring,Genesis Coupe,automatic,kmhhu6kh1bu062432,ga,2.9,33780.0,silver,black,kia motors finance,15850,16000,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176054,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2bh245386,ga,4.5,89057.0,blue,gray,kia motors finance,8375,8500,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176055,2011,Hyundai,Elantra,GLS PZEV,Sedan,automatic,5npdh4aexbh018071,tn,4.3,69185.0,silver,gray,wholesale inc # 2,9575,10300,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176056,2011,Honda,Pilot,EX-L,SUV,automatic,5fnyf3h50bb011054,fl,4.3,58565.0,gray,gray,courtesy palm harbor honda,19800,20100,Thu Jan 22 2015 01:45:00 GMT-0800 (PST)
176057,2011,Honda,CR-V,LX,SUV,automatic,jhlre3h33bc013340,ca,4.1,32828.0,black,black,spreen honda,14200,12600,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
176058,2011,Honda,CR-V,SE,SUV,automatic,5j6re3h48bl045314,tx,2.7,42637.0,black,black,hopper motorplex inc,13550,14000,Wed Jan 21 2015 02:15:00 GMT-0800 (PST)
176059,2011,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h6xbb054625,in,4.5,56507.0,gray,gray,"honda r&d americas, inc",18350,22500,Thu Jan 22 2015 02:10:00 GMT-0800 (PST)
176060,2011,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dexbu136193,ga,4.2,39198.0,black,beige,kia motors finance,15800,17300,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176061,2011,Hyundai,Santa Fe,SE,SUV,automatic,5xyzh4agxbg064269,tn,4.4,79828.0,brown,black,lowery brothers motors inc,12100,13500,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176062,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap5bm831302,hi,4.4,29014.0,black,gray,nissan infiniti lt,16050,17000,Wed Jan 28 2015 08:15:00 GMT-0800 (PST)
176063,2011,Infiniti,FX,FX35,SUV,automatic,jn8as1mw8bm733349,nj,4.4,73259.0,black,black,highline motor cars corp,22900,22800,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
176064,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek1bm215512,ca,4.4,32456.0,gray,black,nissan infiniti lt,20300,19750,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
176065,2011,Hyundai,Tucson,GLS,SUV,automatic,km8jucac2bu205250,pa,4.1,43757.0,gray,black,r hollenshead auto sales inc,13800,14300,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
176066,2011,Infiniti,EX,EX35,SUV,automatic,jn1aj0hp3bm802303,ga,4.6,40977.0,black,beige,nissan infiniti lt,22000,22800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176067,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0bm509520,ca,4.0,38358.0,black,black,nissan infiniti lt,18600,20750,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
176068,2011,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac7bh003044,tn,4.6,39870.0,black,gray,wholesale inc # 2,13300,13500,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176069,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek0bm210026,ca,3.5,19702.0,gray,black,nissan infiniti lt,21000,23250,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
176070,2011,Hyundai,Tucson,GLS,SUV,automatic,km8ju3ac6bu191577,nj,3.8,93701.0,black,brown,dch bloomfield llc,10000,10500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
176071,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3bm510824,ga,4.6,13515.0,blue,gray,nissan infiniti lt,20600,21800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176072,2011,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab0bh318050,ga,3.3,36901.0,white,black,hyundai motor finance,12100,11500,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
176073,2011,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab2bh195626,ga,3.9,35052.0,blue,gray,kia motors finance,12250,11900,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176074,2011,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a41ba006209,oh,3.2,40149.0,silver,gray,hyundai motor finance,12300,11000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176075,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap3bm601077,ga,4.5,39748.0,blue,black,nissan infiniti lt,15450,16600,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176076,2011,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab8bh316580,oh,3.6,50181.0,gray,gray,hyundai motor finance,11600,11300,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176077,2011,Hyundai,Tucson,GLS,SUV,automatic,km8ju3ac1bu160074,ca,4.2,63925.0,black,black,high bid trading co inc,11900,11600,Wed Jan 21 2015 04:15:00 GMT-0800 (PST)
176078,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4bm300037,hi,4.1,7940.0,black,black,nissan infiniti lt,21000,21750,Wed Jan 28 2015 08:15:00 GMT-0800 (PST)
176079,2011,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac8bh106330,nv,3.7,95146.0,black,gray,new century bmw,10050,9300,Fri Jan 23 2015 03:45:00 GMT-0800 (PST)
176080,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fexbm954175,ga,4.9,33478.0,black,tan,nissan infiniti lt,24600,26400,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
176081,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0bm304828,ca,4.4,24196.0,blue,black,nissan infiniti lt,19750,21500,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
176082,2011,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac4bh020853,tn,4.5,76134.0,silver,gray,city auto,11150,11400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
176083,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6bm302467,tn,4.7,92445.0,—,black,home town auto sales,15350,14800,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
176084,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap4bm603243,hi,4.3,23865.0,white,tan,nissan infiniti lt,16400,17250,Wed Jan 28 2015 08:15:00 GMT-0800 (PST)
176085,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek4bm215567,ca,4.2,44739.0,black,black,nissan infiniti lt,19650,21500,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
176086,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek6bm213755,ca,4.2,26065.0,blue,black,nissan infiniti lt,20700,22500,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
176087,2011,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac5bh167831,ga,3.8,64924.0,black,black,capital one auto finance,11700,11700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
176088,2011,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6el7bm264111,ca,4.2,24164.0,black,black,nissan infiniti lt,21600,23000,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
176089,2011,Infiniti,M37,Base,Sedan,automatic,jn1by1ap7bm324824,ca,2.9,70119.0,black,black,high bid trading co inc,20600,18000,Wed Jan 21 2015 04:15:00 GMT-0800 (PST)
176090,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar2bm352185,tn,3.5,58246.0,silver,black,wholesale inc # 2,16650,19500,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
176091,2011,Jeep,Grand Cherokee,Overland,SUV,automatic,1j4rr6gt2bc726292,il,2.0,37914.0,gray,brown,ally,26400,26750,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176092,2011,Jeep,Patriot,Sport,SUV,automatic,1j4nt1ga5bd119590,il,2.0,35753.0,silver,black,ally,11500,12300,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176093,2011,Jaguar,XJ,Base,Sedan,automatic,sajwa1cb9blv09274,mo,2.6,66279.0,silver,black,wholesale inc # 2,27300,26500,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
176094,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg5bc555612,nj,4.4,60181.0,gray,black,alexander r antkowiak auto sales,20100,19200,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
176095,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rs4gg0bc557062,fl,4.3,98467.0,silver,black,auto sails inc,14900,15400,Tue Jan 27 2015 08:00:00 GMT-0800 (PST)
176096,2011,Jeep,Grand Cherokee,Limited,SUV,automatic,1j4rr5gg2bc528468,pa,3.6,71840.0,silver,black,ron lewis pre-owned,20800,19800,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
176097,2011,Jeep,Patriot,Sport,SUV,automatic,1j4nt1ga0bd230502,in,3.0,116479.0,white,black,enterprise fm exchange/tra/lease,5875,4800,Wed Jan 21 2015 05:30:00 GMT-0800 (PST)
176098,2011,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1j4ba5h18bl505067,mi,5.0,71957.0,orange,gray,automobiles paille inc,23600,22000,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
176099,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg3bc702137,il,2.0,26936.0,red,black,ally,23400,21250,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176100,2011,Infiniti,QX56,Base,SUV,automatic,jn8az2ne1b9000280,mo,2.9,91392.0,silver,black,mercedes benz of des moines,31100,28200,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176101,2011,Jeep,Wrangler,Unlimited Rubicon,SUV,automatic,1j4ha6h14bl634892,ga,4.8,23074.0,black,tan,r m hollenshead auto sales inc,28800,31400,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
176102,2011,Jaguar,XF,Base,Sedan,automatic,sajwa0fb7bls13904,nv,2.0,28973.0,black,black,gaudin jaguar porsche of las vegas,25400,24250,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
176103,2011,Jeep,Liberty,Limited,SUV,automatic,1j4pp5gk2bw535081,va,3.6,52497.0,red,gray,hendrick honda woodbridge,14550,14100,Thu Feb 05 2015 01:50:00 GMT-0800 (PST)
176104,2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb8blr98917,ga,2.5,39576.0,black,beige,germain lexus,24400,22800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176105,2011,Jeep,Grand Cherokee,Overland,SUV,automatic,1j4rr6gt8bc642512,pa,3.4,59542.0,black,brown,1 cochran of monroeville,24000,23400,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
176106,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg5bc535473,tn,4.9,72357.0,black,gray,wholesale inc # 2,19300,18500,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176107,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg5bc585337,mo,3.9,97056.0,black,black,van subaru,17250,16500,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
176108,2011,Jeep,Wrangler,Sport,SUV,automatic,1j4aa2d18bl615004,tx,4.4,84698.0,green,tan,tdaf remarketing,14950,17700,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
176109,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg0bc575878,ca,3.9,47062.0,gray,beige,aaero sweet company,21200,20600,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
176110,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg1bc615045,il,5.0,35766.0,gold,black,ally,22200,21800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
176111,2011,Kia,Soul,!,Wagon,automatic,kndjt2a20b7341450,ga,3.8,78639.0,gray,—,kia motors finance,8600,9100,Tue Feb 03 2015 05:10:00 GMT-0800 (PST)
176112,2011,Kia,Soul,!,Wagon,automatic,kndjt2a23b7238068,nc,3.8,70297.0,gray,black,santander consumer,8975,8700,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
176113,2011,Kia,Soul,!,Wagon,automatic,kndjt2a27b7271722,in,3.9,62838.0,silver,gray,chrysler capital,9275,8800,Thu Jan 29 2015 02:10:00 GMT-0800 (PST)
176114,2011,Kia,Sorento,EX,SUV,automatic,5xyku4a20bg035610,tx,2.6,52306.0,black,tan,ge fleet services for itself/servicer,14750,14800,Thu Jan 29 2015 03:00:00 GMT-0800 (PST)
176115,2011,Jeep,Wrangler,Sport,SUV,manual,1j4aa2d19bl558490,tn,4.6,52004.0,black,black,tdaf remarketing,17350,17900,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
