num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
178999,2002,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18972b030737,wa,1.9,167700.0,silver,gray,honda of marysville,1575,700,Wed Jan 21 2015 05:20:00 GMT-0800 (PST)
179000,2002,Honda,CR-V,EX,SUV,automatic,jhlrd78872c072414,wa,1.9,367447.0,burgundy,tan,honda of marysville,1975,1400,Wed Jan 21 2015 05:20:00 GMT-0800 (PST)
179001,2002,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48s72c272163,ca,3.4,163130.0,silver,beige,hoehn honda,1900,2500,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
179002,2002,Honda,Odyssey,EX-L,Minivan,automatic,2hkrl18002h555397,nc,1.9,200246.0,white,gray,crossroads ford inc,1575,900,Mon Jan 26 2015 01:00:00 GMT-0800 (PST)
179003,2002,Honda,Civic,EX,Sedan,automatic,1hges26762l056849,va,1.0,254417.0,beige,tan,select remarketing group llc/anderson financial,1175,850,Wed Jan 21 2015 01:05:00 GMT-0800 (PST)
179004,2002,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl189x2b037794,ca,3.4,175745.0,gray,gray,ak international inc,1800,3000,Wed Jan 28 2015 03:30:00 GMT-0800 (PST)
179005,2002,Hyundai,Santa Fe,LX,SUV,automatic,km8sc73d32u136637,va,2.1,184685.0,white,gray,credit acceptance corp/vrs/southfield,875,900,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
179006,2002,Honda,CR-V,EX,SUV,automatic,jhlrd78832c064438,ny,2.9,144718.0,red,tan,adk auto brokers inc,3900,3500,Thu Feb 05 2015 01:45:00 GMT-0800 (PST)
179007,2002,Jaguar,X-Type,2.5,Sedan,automatic,sajea51d52xc35137,ca,3.3,116307.0,silver,black,kearny pearson kia,2075,1600,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
179008,2002,Jaguar,X-Type,3.0,Sedan,automatic,sajea53cx2wc07313,pa,1.9,99501.0,gray,beige,"jpmorgan chase bank,n.a.",1850,850,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
179009,2002,Infiniti,I35,Base,Sedan,automatic,jnkda31ax2t022756,nj,1.9,88131.0,white,beige,manheim new jersey,3175,1600,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
179010,2002,Honda,Odyssey,EX,Minivan,automatic,5fnrl18672b044885,ca,1.9,193542.0,white,gray,mckenna motors cerritos inc,1400,2000,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
179011,2002,Kia,Optima,LX,Sedan,automatic,knagd126225171622,fl,1.9,161155.0,green,gray,hertz remarketing,700,500,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
179012,2002,Lincoln,LS,Base,Sedan,automatic,1lnhm87a12y692404,az,1.9,157887.0,green,tan,buckeye check cashing,1425,650,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
179013,2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30g220086516,va,1.9,207944.0,silver,gray,rent to own car rental,2900,700,Thu Feb 12 2015 01:20:00 GMT-0800 (PST)
179014,2002,Mazda,Millenia,Premium,Sedan,automatic,jm1ta221421726159,wa,2.7,141118.0,silver,gray,subaru of spokane,1175,1300,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
179015,2002,Mazda,Millenia,Premium,Sedan,automatic,jm1ta221521736232,va,2.3,141885.0,silver,gray,bavarian auto sales llc,1400,1200,Thu Mar 05 2015 01:20:00 GMT-0800 (PST)
