num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
179999,2013,Chrysler,300,SRT8,Sedan,automatic,2c3ccafj0dh648048,mo,3.8,28916.0,white,black,car city llc,30900,31000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
180000,2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab7dn741331,sc,2.6,57114.0,silver,black,dtg operations inc,9200,9000,Thu Jan 22 2015 01:15:00 GMT-0800 (PST)
180001,2013,Chrysler,200,Limited,Sedan,automatic,1c3ccbcg8dn739008,mi,5.0,14414.0,red,black,chrysler capital,13700,13200,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
180002,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg1dr657299,fl,4.9,65308.0,black,black,the hertz corporation,13250,14000,Fri Jan 23 2015 01:05:00 GMT-0800 (PST)
180003,2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcbxdn665648,wa,4.4,35800.0,gray,black,dollar rac/seattle,10900,11900,Wed Jan 28 2015 04:00:00 GMT-0800 (PST)
180004,2013,Chrysler,300,Base,Sedan,automatic,2c3ccarg3dh533492,tx,4.8,29654.0,white,gray,lawler motor sports inc,19200,21000,Wed Jan 21 2015 02:20:00 GMT-0800 (PST)
180005,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbg2dn527271,in,3.5,36747.0,black,gray,chrysler capital,11200,10900,Thu Jan 22 2015 02:10:00 GMT-0800 (PST)
180006,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0dr554925,ga,2.8,42694.0,blue,gray,remarketing by ge/the credit union loan source,15900,14300,Tue Jan 27 2015 05:10:00 GMT-0800 (PST)
180007,2013,Chrysler,200,Limited,Sedan,automatic,1c3ccbcg7dn567635,ga,4.0,43284.0,gray,tan,associated credit union,11600,11500,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
180008,2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzag0dn748519,ga,2.8,41653.0,black,black,chrysler capital,9750,9200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
180009,2013,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag0dh590623,va,4.0,33700.0,black,black,"chrysler group,llc",17900,17100,Wed Jan 28 2015 16:00:00 GMT-0800 (PST)
180010,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba7dd170952,az,3.2,61557.0,orange,gray,gm financial,9600,10300,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
180011,2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg7dr723306,nv,3.5,44564.0,red,black,ez rent a car/orlando,12200,13100,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
180012,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba4dd185862,ne,3.6,35285.0,silver,gray,ruan car sales inc,10900,10500,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
180013,2013,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct0dh738483,tn,4.7,32510.0,black,black,wholesale inc # 2,20800,21750,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
180014,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba1dd336463,nc,4.8,12936.0,gray,black,chrysler capital,12000,12100,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
180015,2013,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyagxdh581637,ga,2.2,62620.0,white,black,chrysler capital,14400,12700,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
180016,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba9dd268350,wa,3.8,35448.0,red,black,dollar rac/seattle,11400,11800,Wed Jan 21 2015 05:10:00 GMT-0800 (PST)
180017,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba3dd297908,sc,3.6,57407.0,gray,gray,the hertz corporation,9825,9700,Thu Jan 22 2015 01:15:00 GMT-0800 (PST)
180018,2013,Dodge,Durango,Citadel,SUV,automatic,1c4sdjetxdc500015,pa,4.8,34977.0,gray,tan,adcock brothers inc,28600,30250,Fri Jan 23 2015 01:30:00 GMT-0800 (PST)
180019,2013,Dodge,Dart,Limited,Sedan,automatic,1c3cdfchxdd339910,nc,3.9,30469.0,red,tan,chrysler capital,12900,12900,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
180020,2013,Dodge,Dart,SE,Sedan,automatic,1c3cdfaa5dd258769,nc,3.9,27194.0,blue,black,chrysler capital,9825,9000,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
180021,2013,Dodge,Challenger,SRT8,Coupe,manual,2c3cdycj9dh716552,tx,3.8,9135.0,gray,black,don davis nissan inc,34900,33500,Wed Jan 21 2015 02:20:00 GMT-0800 (PST)
180022,2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg6dr544397,fl,4.4,25489.0,white,gray,"jpmorgan chase bank,n.a.",14000,13600,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
180023,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba6dd318105,wa,3.7,32651.0,blue,black,dollar rac/seattle,11350,13000,Wed Feb 11 2015 05:15:00 GMT-0800 (PST)
180024,2013,Dodge,Dart,SE,Sedan,automatic,1c3cdfaa3dd285467,nc,4.4,21600.0,gray,black,chrysler capital,10050,8800,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
180025,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba2dd308154,ne,3.7,37433.0,blue,black,ruan car sales inc,10800,10900,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
180026,2013,Dodge,Dart,SXT,Sedan,manual,1c3cdfbh6dd701023,tx,4.3,28233.0,white,gray,music city autoplex llc,11150,12250,Wed Jan 21 2015 02:20:00 GMT-0800 (PST)
180027,2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfbaxdd195134,il,3.0,45471.0,blue,gray,ally,10650,10100,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
180028,2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg4dr723229,nv,3.6,46500.0,white,black,ez rent a car/orlando,12450,12500,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
180029,2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg4dr723215,nv,3.7,39212.0,white,black,ez rent a car/orlando,12950,13300,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
180030,2013,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct1dh645018,tn,4.6,11822.0,silver,black,wholesale inc # 2,23100,21500,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
180031,2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg6dr723331,nv,3.6,33602.0,red,black,ez rent a car/orlando,13350,14200,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
180032,2013,Dodge,Challenger,R/T,Coupe,manual,2c3cdybt1dh708562,nv,4.4,3536.0,blue,black,jersey's auto sales,25000,24750,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
180033,2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg0dr723311,nv,2.6,40657.0,red,black,ez rent a car/orlando,12850,13200,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
180034,2013,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct4dh633591,tx,3.9,22482.0,silver,black,texas auto brokers,22700,23200,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
180035,2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg3dr723268,nv,3.6,34873.0,black,black,ez rent a car/orlando,12800,12700,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
180036,2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg1dr723298,nv,2.8,43934.0,red,black,ez rent a car/orlando,12650,12200,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
180037,2013,Dodge,Challenger,R/T,Coupe,manual,2c3cdybt6dh594171,tn,4.1,22484.0,black,black,premiere chevrolet inc,23400,23800,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
