num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
180999,2012,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg6c2495519,pa,3.5,26483.0,black,brown,meridian remarketing,22500,23300,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
181000,2012,MINI,Cooper Clubman,Base,Hatchback,automatic,wmwzf3c57ct189566,oh,4.2,11835.0,green,black,the bmw store,14800,12500,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
181001,2012,Mazda,Mazda5,Grand Touring,Minivan,automatic,jm1cw2dl4c0142514,ga,3.6,32488.0,white,tan,gary smith ford inc,14200,13500,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
181002,2012,MINI,Cooper Countryman,Base,Wagon,manual,wmwzb3c5xcwm29476,ga,4.7,49982.0,yellow,black,onesource/team nissan of lithia springs,14950,15200,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
181003,2012,Mazda,CX-9,Touring,SUV,automatic,jm3tb2ca4c0360388,tx,3.6,59582.0,burgundy,gray,music city autoplex llc,16050,17500,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
181004,2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb4cf817021,fl,2.9,34039.0,white,beige,mercedes-benz finc wholesale advantage,21700,22000,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
181005,2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh3c5m37323,nc,3.0,68090.0,gray,black,regional acceptance corporation / greenville,9275,9600,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
181006,2012,Mazda,Mazda6,i Grand Touring,Sedan,automatic,1yvhz8ch1c5m12664,pa,4.8,16359.0,silver,black,champion mazda,16500,16500,Fri Jan 23 2015 01:30:00 GMT-0800 (PST)
181007,2014,Chevrolet,Express Cargo,2500,Van,automatic,1gcwgffa2e1186599,oh,3.6,30019.0,white,gray,enterprise vehicle exchange/sharonville,20200,20800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
181008,2014,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx4e1169468,pa,1.0,11369.0,white,—,enterprise veh exchange/rental,19800,14300,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
