num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
181999,2005,Ford,Altima,Base,Sedan,automatic,1g6dc67a850119743,nc,2.8,81475.0,black,tan,regional acceptance corporation / greenville,5475,3100,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
182000,2005,Chevrolet,Cobalt,LS,Sedan,automatic,1g1al54f157666590,ny,3.0,136376.0,white,gray,reliable credit association/salem,2700,1100,Wed Jan 28 2015 03:00:00 GMT-0800 (PST)
182001,2005,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e859342168,az,2.9,99283.0,gold,beige,remarketing by ge/flagship credit acceptance,3125,3600,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
182002,2005,Chevrolet,Equinox,LT,SUV,automatic,2cndl73f856099615,nc,3.7,127062.0,silver,gray,dt credit corporation,3825,3300,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
182003,2005,Chevrolet,Colorado,Z85 LS Base,Crew Cab,automatic,1gcdt136x58219958,va,1.9,103955.0,red,gray,blue knob auto sales inc,8675,8400,Thu Jan 22 2015 01:05:00 GMT-0800 (PST)
182004,2005,Chevrolet,Classic,Fleet,Sedan,automatic,1g1nd52f25m195049,va,1.9,88488.0,beige,gray,enterprise car sales/tulsa,2650,1800,Thu Jan 22 2015 01:05:00 GMT-0800 (PST)
182005,2005,Chrysler,300,Base,Sedan,automatic,2c3ja43r65h689780,ca,2.9,115691.0,blue,silver,auto house llc,4650,5300,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
182006,2005,Chrysler,Crossfire,Limited,Convertible,automatic,1c3an65l85x048764,ga,2.9,103711.0,black,—,carworks inc,4550,4500,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
182007,2005,Chrysler,300,Touring,Sedan,automatic,2c3ja53g05h691707,mo,1.9,198144.0,silver,gray,select remarketing group llc/loan max title,2300,1200,Mon Jan 26 2015 03:00:00 GMT-0800 (PST)
182008,2005,Chevrolet,Tahoe,LS,SUV,automatic,1gnek13t35r100731,nv,3.3,144523.0,silver,beige,autos unlimited inc,7100,7000,Thu Jan 22 2015 03:45:00 GMT-0800 (PST)
182009,2005,Chevrolet,TrailBlazer,LS,SUV,automatic,1gndt13sx52334955,nc,2.7,120179.0,gray,gray,dt credit corporation,3725,4100,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
182010,2005,Ford,Altima,Base,Sedan,automatic,2c8gf68495r475021,ny,2.0,140202.0,blue,gray,denecker chevrolet,2775,1700,Thu Jan 29 2015 01:45:00 GMT-0800 (PST)
182011,2005,Chrysler,300,C,Sedan,automatic,2c3aa63h35h668730,va,2.8,143217.0,blue,gray,shirlie slack mitsubishi,4575,5800,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
182012,2005,Chrysler,Sebring,Limited,Convertible,automatic,1c3el65r35n662435,fl,3.5,85655.0,black,gray,courtesy nissan of tampa,1950,3000,Thu Jan 22 2015 08:20:00 GMT-0800 (PST)
182013,2005,Ford,Altima,Base,Sedan,automatic,2c8gm684x5r513345,fl,1.9,159648.0,blue,gray,treasure coast toyota of stuart,2475,1300,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
182014,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg4et250039,on,4.7,30944.0,black,black,chrysler canada inc,19100,18200,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182015,2014,Ford,Altima,Base,Sedan,automatic,3c4pddfg8et148020,on,4.8,26054.0,black,black,chrysler canada inc,23000,23800,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
182016,2014,Ford,Altima,Base,Sedan,automatic,3c4pddfg1et120947,on,5.0,14278.0,black,white,chrysler canada inc,24200,23200,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182017,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg5et232598,on,4.8,20012.0,white,black,chrysler canada inc,19850,20100,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
182018,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg6et245425,on,5.0,23917.0,white,black,chrysler canada inc,19550,19800,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182019,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg6et250110,on,5.0,15508.0,silver,black,chrysler canada inc,20100,20000,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182020,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg6et245408,on,5.0,20962.0,white,black,chrysler canada inc,19750,19500,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182021,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbbxet225894,il,3.0,19641.0,red,black,hertz corporation/gdp,15450,15600,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
182022,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccgxet250109,on,4.9,16797.0,white,black,chrysler canada inc,20100,20200,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182023,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbg5et177667,il,4.0,26999.0,blue,black,hertz corporation/gdp,15800,14600,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
182024,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbgxet270409,il,4.0,25602.0,gray,black,hertz corporation/gdp,16300,15000,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
182025,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbg2et225898,il,4.0,22539.0,red,gray,hertz corporation/gdp,16050,16400,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
182026,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg4er321176,va,4.0,25257.0,white,black,hertz corporation/gdp,16800,15900,Thu Feb 26 2015 00:45:00 GMT-0800 (PST)
182027,2014,Dodge,Journey,SE,SUV,automatic,3c4pdcab8et162084,qc,4.9,13596.0,black,black,chrysler canada inc,13600,13500,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
182028,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg0et170107,on,4.3,10824.0,gray,black,chrysler canada inc,20500,19200,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182029,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg1et208041,on,4.8,25697.0,blue,black,chrysler canada inc,19450,19400,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182030,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9er356649,va,4.0,11686.0,white,black,enterprise veh exchange/rental,17200,17200,Wed Jan 28 2015 16:00:00 GMT-0800 (PST)
182031,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9er430295,va,4.0,11904.0,gray,black,enterprise veh exchange/rental,17400,17400,Thu Feb 26 2015 00:45:00 GMT-0800 (PST)
182032,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg6et245392,on,4.6,22733.0,gray,black,chrysler canada inc,19100,19600,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
182033,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg9et250036,on,4.9,26363.0,black,black,chrysler canada inc,19400,19400,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182034,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg8et208019,on,4.7,20466.0,black,black,chrysler canada inc,19800,19800,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182035,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg2et124276,on,3.7,50596.0,black,black,chrysler canada inc,17700,17000,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182036,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg2et250038,on,4.1,23973.0,black,black,chrysler canada inc,19550,19500,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182037,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbb2et226067,il,3.0,22414.0,red,black,hertz corporation/gdp,15350,15500,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
182038,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg0et250118,on,4.4,20423.0,black,black,chrysler canada inc,19800,19800,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
182039,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg1et270071,on,5.0,15906.0,silver,black,chrysler canada inc,19650,19900,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
182040,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg1er352188,il,4.0,28800.0,white,black,hertz corporation/gdp,16600,16600,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
182041,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg3et245396,on,4.5,16449.0,black,black,chrysler canada inc,19600,20000,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
182042,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg4et250011,on,5.0,19374.0,white,black,chrysler canada inc,19900,20000,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
182043,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdccg0et270076,on,4.6,15592.0,black,black,chrysler canada inc,20100,20200,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
