num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
182999,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha9cr103231,fl,3.5,15460.0,gray,black,"ford motor credit company,llc",12750,12100,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
183000,2012,Ford,Fusion,Hybrid,Sedan,automatic,3fadp0l38cr351493,ne,4.4,73005.0,blue,black,dm northwest inc,11500,11000,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
183001,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha2cr304324,pa,4.0,9627.0,—,tan,r hollenshead auto sales inc,13150,13500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
183002,2012,Ford,Focus,SEL,Hatchback,automatic,1fahp3m24cl292689,tn,4.6,34832.0,—,beige,"ford motor credit company,llc",10800,11500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
183003,2012,Ford,Focus,Titanium,Hatchback,automatic,1fahp3n29cl308867,fl,4.6,58771.0,red,black,"ford motor credit company,llc",12700,12700,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
183004,2012,Ford,Focus,SEL,Sedan,automatic,1fahp3h27cl241424,fl,4.9,31790.0,gray,black,"ford motor credit company,llc",11350,11600,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
183005,2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k21cl235028,mo,2.4,20641.0,brown,gray,"ford motor credit company,llc pd",10950,9100,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
183006,2012,Ford,Focus,SEL,Sedan,automatic,1fahp3h22cl432538,pa,3.9,37414.0,white,black,browns jeep eagle chrysler plymouth,11000,10600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
183007,2012,Ford,Focus,SE,Sedan,automatic,1fahp3f29cl236731,ca,4.2,46005.0,gray,tan,"ford motor credit company,llc pd",9150,10100,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
183008,2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k25cl254844,md,4.7,17247.0,black,black,"ford motor credit company,llc",11150,10400,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
183009,2012,Ford,Focus,SE,Sedan,automatic,1fahp3f26cl318772,fl,4.6,24601.0,red,—,"ford motor credit company,llc",10250,10600,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
183010,2012,Ford,Focus,SE,Sedan,automatic,1fahp3f21cl211595,nc,2.6,15403.0,white,black,meridian remarketing,10800,6500,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
183011,2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k28cl399411,md,4.5,15371.0,gray,gray,"ford motor credit company,llc",11150,11000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
183012,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha7cr275984,nc,4.1,94887.0,gray,gray,fleet lease remarketing,7650,8500,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
183013,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja5cr281079,fl,4.6,14086.0,red,beige,"ford motor credit company,llc pd",14300,14000,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
183014,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja9cr387177,nj,2.7,28398.0,black,black,"ford motor credit company,llc",13200,11100,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
183015,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha7cr201206,ca,2.9,63746.0,—,silver,wheels exchange llc,9650,9700,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
183016,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg1cr430625,il,4.6,24118.0,silver,black,"ford motor credit company,llc",14300,14700,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
183017,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja1cr241467,ny,3.9,20712.0,red,black,"ford motor credit company,llc",13900,12800,Wed Feb 04 2015 01:20:00 GMT-0800 (PST)
183018,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja1cr339611,ca,2.8,59871.0,white,beige,the hertz corporation,10750,10800,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
183019,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha5cr253109,ny,3.9,73718.0,black,gray,adk auto brokers inc,9000,8700,Thu Jan 22 2015 01:45:00 GMT-0800 (PST)
183020,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg1cr190072,nj,2.8,44629.0,black,black,"ford motor credit company,llc",12350,11000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
