num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
184999,2009,Infiniti,M35,x,Sedan,automatic,jnkcy01f89m851945,pa,4.7,62548.0,gray,black,adcock brothers inc,15050,17000,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
185000,2009,Hyundai,Sonata,Limited,Sedan,automatic,5npeu46c59h446678,va,1.9,68724.0,brown,tan,gm financial,7975,6400,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
185001,2009,Honda,Fit,Base,Hatchback,manual,jhmge872x9s016082,tx,3.2,85516.0,red,gray,westlake financial services,5950,5100,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
185002,2009,Hyundai,Tucson,GLS,SUV,automatic,km8jm12b69u013298,md,3.8,81932.0,red,gray,credit acceptance corp/vrs/southfield,6925,7500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
185003,2009,Honda,Civic,Si,Coupe,manual,2hgfg21589h704999,sc,2.9,65088.0,blue,black,dab auto world & leasing,11500,11200,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
185004,2009,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d99u603683,oh,4.5,75593.0,gray,gray,hyundai motor finance,5575,5300,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
185005,2009,Honda,CR-V,EX-L,SUV,automatic,5j6re38799l011550,sc,3.7,81987.0,burgundy,gray,florence toyota,12850,13100,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
185006,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c79h479703,or,4.0,54025.0,silver,gray,gm financial,6875,9000,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
185007,2009,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d39u681571,il,3.8,42884.0,red,gray,santander consumer,6300,6800,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
185008,2009,Kia,Rio,SX,Sedan,manual,knade223196516512,fl,3.4,54296.0,orange,gray,credit acceptance corp/vrs/southfield,5600,4000,Thu Feb 12 2015 09:00:00 GMT-0800 (PST)
185009,2009,Honda,CR-V,LX,SUV,automatic,5j6re48359l007823,pa,3.6,121426.0,black,black,r hollenshead auto sales inc,10550,10800,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
185010,2009,Jeep,Liberty,Limited,SUV,automatic,1j8gn58k19w512128,va,3.3,108768.0,black,beige,sullivan auto trading inc,9700,8500,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
185011,2009,Jeep,Grand Cherokee,Limited,SUV,automatic,1j8gr58k59c540598,oh,3.7,98396.0,white,brown,wells fargo dealer services,12600,13600,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
185012,2009,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf81x59r061656,pa,3.9,59404.0,black,black,adcock brothers inc,13900,14700,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
185013,2009,Lexus,ES 350,Base,Sedan,automatic,jthbj46g292304383,pa,2.9,107324.0,silver,black,rjk auto brokers llc,11300,11200,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
185014,2009,Mercedes-Benz,GL-Class,GL450,SUV,automatic,4jgbf71e69a476539,pa,3.7,72651.0,black,black,adcock brothers inc,21600,24000,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
185015,2009,Mazda,CX-7,Grand Touring,SUV,automatic,jm3er293690226505,fl,2.5,74963.0,gray,black,land rover palm beach,8400,8900,Thu Feb 12 2015 01:15:00 GMT-0800 (PST)
185016,2009,Lincoln,Town Car,Signature Limited,Sedan,automatic,2lnhm82vx9x631587,nc,3.9,283357.0,blue,gray,primeritus remarketing / chesterfield impor,825,4200,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
185017,2009,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk25469a190929,sc,3.5,84468.0,black,black,andrew thomas motorcars,20200,18100,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
185018,2009,Lexus,IS 250,Base,Sedan,automatic,jthbk262092084554,fl,3.5,93885.0,black,black,lexus of pembroke pines,13750,13700,Fri Jan 23 2015 01:30:00 GMT-0800 (PST)
185019,2009,Mercedes-Benz,C-Class,C350 Sport,Sedan,automatic,wddgf56x79r043750,nv,3.3,59445.0,black,black,exclusive cars inc,16850,18000,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
185020,2009,Kia,Sportage,LX,SUV,manual,kndjf724397582840,md,4.3,31818.0,white,black,wells fargo dealer services,8800,9400,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
185021,2009,Mercedes-Benz,GL-Class,GL450,SUV,automatic,4jgbf71ex9a520820,nv,3.6,107748.0,black,black,unique autos,17050,18800,Fri Jan 23 2015 03:45:00 GMT-0800 (PST)
185022,2009,Mercedes-Benz,GL-Class,GL450,SUV,automatic,4jgbf71ex9a457475,tx,2.7,86903.0,black,black,bank of america,19950,18100,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
185023,2009,MINI,Cooper,Base,Hatchback,automatic,wmwmf33509tw75350,pa,3.6,71443.0,red,black,alans autos,7475,7500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
185024,2009,MINI,Cooper,Base,Hatchback,automatic,wmwmf33529tw77116,ca,2.0,54887.0,white,black,remarketing by ge/billion dodge,8175,8000,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
185025,2009,Lexus,LS 460,Base,Sedan,automatic,jthcl46f695001224,pa,3.0,107288.0,—,beige,r hollenshead auto sales inc,19250,17700,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
185026,2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,wddgf54x89r065114,fl,3.1,81467.0,silver,gray,napletons north palm auto park inc,13250,13200,Thu Jan 22 2015 02:05:00 GMT-0800 (PST)
185027,2009,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddng86x49a243635,nv,3.6,44674.0,black,brown,exclusive cars inc,29100,32000,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
185028,2009,Mercedes-Benz,R-Class,R350 4MATIC,Wagon,automatic,4jgcb65e89a091181,fl,2.4,76208.0,silver,black,fiserv/crescent bank & trust,14750,13200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
185029,2009,Lexus,ES 350,Base,Sedan,automatic,jthbj46g992323447,va,4.1,90666.0,gray,gray,toyota of glen burnie,11950,13500,Thu Jan 29 2015 01:05:00 GMT-0800 (PST)
185030,2009,Lexus,ES 350,Base,Sedan,automatic,jthbj46g592305303,fl,4.0,32485.0,gray,gray,david j leahy jr,16750,16200,Thu Feb 05 2015 01:50:00 GMT-0800 (PST)
185031,2009,Mazda,Mazda5,Sport,Minivan,automatic,jm1cr29l290345460,oh,3.8,118011.0,black,black,santander consumer,4300,4800,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
185032,2009,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk25459a206330,pa,4.0,116790.0,black,black,remarketing by ge/manheim pennsylvania,15700,18200,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
