num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
188999,2013,Ford,Focus,S,Sedan,automatic,1fadp3e23dl333912,tx,2.8,24580.0,white,gray,fiserv/regions bank,9775,8200,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
189000,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f29dl235112,fl,4.6,19060.0,gray,—,"ford motor credit company,llc",11600,11500,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
189001,2013,Ford,F-150,XLT,SuperCab,automatic,1ftfx1ef1dfc91815,nj,5.0,9093.0,black,gray,"ford motor credit company,llc",26300,28300,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
189002,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f20dl198886,fl,2.5,14074.0,white,beige,"ford motor credit company,llc",11850,9900,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
189003,2013,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et2dfa25048,mi,4.5,40062.0,red,gray,multi auto trading inc,25700,23700,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
189004,2013,Ford,Focus,SE,Sedan,manual,1fadp3f25dl277020,co,4.6,9736.0,black,black,us bank,11850,12000,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
189005,2013,Ford,Fiesta,S,Sedan,automatic,3fadp4aj2dm169747,pr,3.6,13198.0,silver,black,reliable financial services inc,8975,7500,Thu Feb 19 2015 11:00:00 GMT-0800 (PST)
189006,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f25dl311490,md,3.5,30393.0,black,black,"ford motor credit company,llc pd",11050,9100,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
189007,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k24dl195415,ca,4.2,31109.0,black,beige,us bank,11500,11750,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
189008,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f23dl219665,tn,2.8,39082.0,gray,gray,"ford motor credit company,llc",10550,8900,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
189009,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f21dl122013,il,4.8,20252.0,silver,black,"ford motor credit company,llc",11350,11600,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
189010,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f25dl212779,nv,3.7,60656.0,gray,gray,dtg operations inc,9600,9300,Fri Jan 23 2015 04:00:00 GMT-0800 (PST)
189011,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k26dl247997,mo,3.7,49920.0,—,black,ars/avis budget group,10650,10800,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
189012,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f23dl193956,fl,4.6,23158.0,gray,beige,"ford motor credit company,llc",11400,10700,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
189013,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f20dl252588,ga,3.8,45142.0,black,black,ars/enterprise,10250,10600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
189014,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k25dl297578,mo,3.8,46330.0,red,black,ars/avis budget group,10850,10500,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
189015,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k29dl259982,fl,4.7,31933.0,black,—,"ford motor credit company,llc",11450,11000,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
189016,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k20dl167580,mi,4.7,34883.0,white,black,ars-cpo,11300,11500,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
189017,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f2xdl206847,md,4.1,25283.0,black,gray,"ford motor credit company,llc",11300,10700,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
189018,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k20dl303061,mo,4.3,40097.0,blue,black,ars/avis budget group,11250,11600,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
189019,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k25dl245982,ga,4.2,44616.0,silver,black,ars/enterprise,11050,11600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
