num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
189999,2012,Honda,Civic,EX,Sedan,automatic,19xfb2f82ce328075,pa,2.7,8090.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",13250,12400,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190000,2012,Honda,Civic,EX,Sedan,automatic,19xfb2f86ce346644,pa,3.7,26446.0,white,gray,"ahfc/honda lease trust/hvt, inc. eot",12300,12500,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
190001,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f58ce323551,pa,4.0,41675.0,red,tan,"ahfc/honda lease trust/hvt, inc. eot",10750,11400,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190002,2012,Honda,CR-V,EX,SUV,automatic,5j6rm4h57cl001260,pa,4.3,40373.0,beige,black,"ahfc/honda lease trust/hvt, inc.",17750,18500,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190003,2012,Honda,Civic,LX,Sedan,automatic,2hgfb2f52ch324149,ga,4.4,32148.0,white,beige,"ahfc/honda lease trust/hvt, inc. eot",11150,12300,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
190004,2012,Honda,CR-V,EX,SUV,automatic,5j6rm4h5xcl011801,pa,4.0,53670.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",16650,17400,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190005,2012,Honda,Civic,Si,Sedan,manual,2hgfb6e50ch701313,ga,4.1,49696.0,red,black,"ahfc/honda lease trust/hvt, inc. eot",13650,14900,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
190006,2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h40cb043195,pa,4.3,34608.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",18950,19900,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190007,2012,Honda,Crosstour,EX,Hatchback,automatic,5j6tf1h36cl001070,pa,3.8,35441.0,white,tan,"ahfc/honda lease trust/hvt, inc. eot",16150,16600,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190008,2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h47cb037622,pa,3.8,25567.0,silver,beige,"ahfc/honda lease trust/hvt, inc. eot",19400,20500,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190009,2012,Honda,CR-V,LX,SUV,automatic,5j6rm4h31cl018652,pa,4.1,31282.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",16500,17200,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190010,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f54ce321151,pa,4.2,50066.0,white,gray,"ahfc/honda lease trust/hvt, inc. eot",10400,10200,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
190011,2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b51ch525408,pa,2.4,29046.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",20900,11200,Fri Jun 26 2015 06:00:00 GMT-0700 (PDT)
190012,2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b58ch527379,ga,3.3,39931.0,gray,gray,"ahfc/honda lease trust/hvt, inc.",10700,9900,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
