num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
192999,2012,Mercedes-Benz,E-Class,E350 Luxury 4MATIC,Sedan,automatic,wddhf8jb0ca600022,oh,3.8,41104.0,black,black,mercedes-benz financial services,25100,24750,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
193000,2012,Mercedes-Benz,E-Class,E350 Luxury 4MATIC,Sedan,automatic,wddhf8jb7ca623314,oh,3.7,22531.0,—,off-white,mercedes-benz financial services,27100,28000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
193001,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb5cr227653,oh,3.8,36102.0,black,black,mercedes-benz financial services,20800,21000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
193002,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb8cf920038,wi,3.8,29963.0,white,beige,mercedes-benz financial services,21400,20750,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193003,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb4ca684386,wi,4.1,31395.0,black,beige,mercedes-benz financial services,21300,20750,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193004,2012,Mazda,Mazda5,Sport,Minivan,automatic,jm1cw2bl6c0132473,wi,2.9,60672.0,blue,black,the hertz corporation,9750,8900,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
193005,2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug4c1596225,oh,4.5,53597.0,gray,gray,the hertz corporation,8850,9700,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
193006,2012,Mazda,Mazda5,Grand Touring,Minivan,automatic,jm1cw2dlxc0122882,nj,3.2,165912.0,blue,beige,certified motor car llc,11200,6000,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
193007,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb9cr209933,wi,4.1,31855.0,black,black,mercedes-benz financial services,21300,21000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193008,2012,Mazda,Mazda6,i Touring Plus,Sedan,automatic,1yvhz8eh5c5m31960,wi,3.2,32421.0,black,black,"jpmorgan chase bank,n.a.",13300,13000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193009,2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug9c1504042,nj,3.2,53163.0,white,gray,"jpmorgan chase bank,n.a.",8850,8400,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193010,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb1cr220635,fl,4.2,20059.0,black,tan,american bank auto liquidators,22400,22000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
193011,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bbxca731887,oh,3.4,16720.0,—,gray,mercedes-benz financial services,22700,22000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
193012,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb1cr204953,oh,3.8,25571.0,black,tan,mercedes-benz financial services,21900,21750,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
193013,2012,Mercedes-Benz,E-Class,E350 Luxury 4MATIC,Sedan,automatic,wddhf8jb8ca645970,wi,3.7,34204.0,black,black,mercedes-benz financial services,25900,25000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193014,2012,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh4c5m26575,wi,2.6,68970.0,silver,black,gm financial,8675,8200,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193015,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb7cr201877,oh,3.5,47865.0,silver,black,mercedes-benz financial services,19750,19250,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
193016,2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb1cr200224,wi,3.7,32849.0,black,black,mercedes-benz financial services,21200,18000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193017,2012,Mazda,Mazda3,s Touring,Hatchback,automatic,jm1bl1l51c1504469,wi,3.5,33387.0,white,black,"jpmorgan chase bank,n.a.",11900,12800,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193018,2012,Mercedes-Benz,C-Class,C350 Sport,Sedan,automatic,wddgf5hb9cr221747,wi,3.1,17600.0,black,black,wheels exchange llc,26200,26200,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193019,2012,Mercedes-Benz,GL-Class,GL350 BlueTEC,SUV,automatic,4jgbf2fe9ca795923,wi,3.7,16715.0,black,—,mercedes-benz financial services,45700,45500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193020,2012,Mercedes-Benz,E-Class,E350 Luxury 4MATIC,Sedan,automatic,wddhf8jb7ca600390,wi,3.8,33100.0,black,black,mercedes-benz financial services,26000,25500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
193021,2012,Mazda,Mazda6,s Grand Touring,Sedan,automatic,1yvhz8cb0c5m15776,wi,4.1,16032.0,gray,black,"jpmorgan chase bank,n.a.",14500,15800,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
