num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
195999,2005,Mazda,Mazda6,i Sport,Hatchback,automatic,1yvhp84c155m33610,il,1.9,129481.0,gray,black,wells fargo dealer services,2525,2800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
196000,2005,Ford,Altima,Base,Sedan,automatic,4f2cz96195km04286,nj,2.6,178908.0,white,gray,boardwalk honda,1725,1000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
196001,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d35c292077,il,1.9,166982.0,green,gray,remarketing by ge/afs acceptance llc,2450,1200,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
196002,2005,Mercedes-Benz,CLK-Class,CLK500,Convertible,automatic,wdbtk75j85f141354,ca,3.0,141909.0,black,beige,tradewinds remarketing,3925,4800,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
196003,2005,Nissan,Altima,2.5,Sedan,automatic,1n4al11d75c203918,tx,2.7,113501.0,gray,—,dt credit corporation,3725,3900,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
196004,2005,MINI,Cooper,S,Hatchback,automatic,wmwre335x5tg97538,oh,3.4,81759.0,black,black,roby cars corporation,4800,5400,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
196005,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d95c234670,nj,1.9,116062.0,black,gray,ht automotive llc,2650,3000,Tue Jul 07 2015 06:30:00 GMT-0700 (PDT)
196006,2005,Nissan,Altima,3.5 SE-R,Sedan,manual,1n4bl11e65c256400,tn,1.0,111688.0,black,black,"jpmorgan chase bank,n.a.",4575,3800,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
196007,2005,Nissan,Altima,3.5 SL,Sedan,automatic,1n4bl11d15c348747,md,1.9,99753.0,black,gray,darcars of fairfax,4125,3100,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
196008,2005,Nissan,Titan,LE,Crew Cab,automatic,1n6ba07b15n577138,mo,2.8,93971.0,red,black,auto centers nissan inc,12300,11400,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
196009,2005,Pontiac,Grand Prix,GT,Sedan,automatic,2g2ws522751184885,mo,2.1,109473.0,gold,tan,santander consumer,3850,3600,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
196010,2005,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e65c848094,md,1.9,177123.0,black,black,annapolis hyundai,2175,2000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
196011,2005,Nissan,Pathfinder,SE,SUV,automatic,5n1ar18w75c703296,pa,2.4,104340.0,gray,gray,adcock brothers inc,6450,5600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
