num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
196999,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5ec326753,ca,4.3,5566.0,white,black,nissan motor acceptance corporation,16000,15750,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
197000,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1ec131930,fl,2.0,26246.0,white,beige,remarketing by ge/tech auto sales inc,14400,12000,Fri Jan 23 2015 01:40:00 GMT-0800 (PST)
197001,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2en205263,ca,2.4,15481.0,white,black,nissan-infiniti lt,15800,14500,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
197002,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6ec184154,tn,3.9,41850.0,—,black,avis corporation,13750,13600,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
197003,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap3en252480,ca,4.2,13575.0,silver,black,nissan north america inc.,15850,14750,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
197004,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5en239357,tx,4.1,11670.0,white,black,nissan motor acceptance corporation,16750,14800,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
197005,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6ec133415,tn,3.7,41668.0,—,black,avis corporation,13800,13700,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
197006,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap7en227954,tx,3.9,28545.0,white,black,nissan motor acceptance corporation,15550,14400,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
197007,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap3ec203730,tn,4.2,38920.0,black,gray,avis corporation,14100,14000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
197008,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap3en340252,tx,2.0,35587.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,14100,8200,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
197009,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6en207338,ca,4.3,39051.0,white,tan,nissan motor acceptance corporation,15350,13000,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
197010,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap8ec187864,mo,3.8,34644.0,black,beige,avis corporation,14200,14000,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
197011,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1ec126694,tx,4.4,17169.0,white,black,nissan motor acceptance corporation,15800,15200,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
197012,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4ec173735,ca,4.8,5586.0,white,black,nissan north america inc.,16000,15000,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
197013,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6ec187751,tn,3.7,41234.0,—,black,avis corporation,13800,13500,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
197014,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap8en384215,fl,4.9,10237.0,blue,black,nissan-infiniti lt,16850,15600,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
197015,2014,Mitsubishi,Mirage,DE,Hatchback,automatic,ml32a3hj3eh006679,fl,1.9,10909.0,gray,black,santander consumer,9175,7400,Wed Jan 28 2015 01:05:00 GMT-0800 (PST)
197016,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2ec157128,ca,3.6,12257.0,white,black,nissan motor acceptance corporation,15900,14750,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
197017,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap9ec133571,tx,3.7,25657.0,black,black,nissan-infiniti lt,15600,14000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
197018,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6en385041,ca,5.0,6247.0,—,black,nissan motor acceptance corporation,16000,16250,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
