num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
199999,2010,Mazda,CX-9,Touring,SUV,automatic,jm3tb3mv2a0236382,nj,3.3,44164.0,gray,black,"jpmorgan chase bank,n.a.",16250,16400,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
200000,2010,Mercedes-Benz,E-Class,E350,Coupe,automatic,wddkj5gbxaf015524,fl,4.3,34197.0,white,gray,mercedes benz of ft lauderdale,25100,26300,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
200001,2010,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8hb9af317248,fl,2.3,68744.0,blue,beige,autonation chrysler dodge jeep ram pembroke pine,18850,16600,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
200002,2010,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb9ar102971,fl,2.9,53348.0,silver,gray,mercedes benz of ft lauderdale,15500,14800,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
200003,2010,Lincoln,Navigator,Base,SUV,automatic,5lmjj2h56aej04079,ca,4.0,48047.0,gray,black,remarketing by ge/xpress rent a car,21300,24750,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
200004,2010,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc3ar614172,mi,3.0,51190.0,black,black,remarketing by ge/zeal credit union,11800,9400,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
200005,2010,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh7a5m09220,fl,2.2,101618.0,blue,black,mercedes-benz of pompano,6550,5700,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
200006,2010,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,wddhf8hb9aa102310,fl,4.0,61479.0,white,beige,american bank auto liquidators,20300,20800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
200007,2010,Mercury,Mountaineer,Premier,SUV,automatic,4m2en3jexauj07368,ga,4.7,53376.0,silver,black,ford-lincoln dealer program,14550,16000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
200008,2010,Mazda,Mazda6,i Grand Touring,Sedan,automatic,1yvhz8chxa5m07993,va,4.3,32649.0,red,black,"jpmorgan chase bank,n.a.",10300,11100,Thu Jan 29 2015 01:20:00 GMT-0800 (PST)
200009,2010,Mercedes-Benz,GL-Class,GL350 BlueTEC,SUV,automatic,4jgbf2fe4aa589079,pa,4.0,52773.0,—,beige,r hollenshead auto sales inc,28600,27500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
200010,2010,Nissan,Cube,1.8 Base,Wagon,automatic,jn8az2kr3at156751,fl,2.9,110596.0,black,black,nicholas financial inc/clearwater,5325,5200,Thu Jan 29 2015 07:01:00 GMT-0800 (PST)
200011,2010,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6ap0al658986,mi,2.8,82605.0,black,—,remarketing by ge/michigan first credit union,5925,4500,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
200012,2010,Nissan,Frontier,LE,Crew Cab,automatic,1n6ad0ev7ac434071,va,3.9,43360.0,black,gray,fiserv/citizens one auto finance,20000,20600,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
200013,2010,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb3ekxau111658,nc,3.5,106013.0,white,gray,lease plan usa,11800,10300,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
