num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
200999,2013,BMW,3 Series,328i xDrive,Coupe,automatic,wbakf5c58dj297804,ga,4.4,12392.0,—,gray,financial services remarketing (lease),26300,25000,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
201000,2013,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c50dd128418,ga,4.5,16597.0,black,brown,financial services remarketing (lease),53500,57200,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
201001,2013,BMW,5 Series,528i,Sedan,automatic,wbaxg5c50ddy34926,fl,2.6,38660.0,gray,black,avis corporation,29600,27600,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
201002,2013,BMW,3 Series,328i,Sedan,automatic,wba3a5g57dnp24783,ga,4.4,22736.0,white,black,financial services remarketing (lease),26300,26800,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
201003,2013,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c5xd0d03666,ga,4.1,39303.0,white,beige,financial services remarketing (lease),26700,28600,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
201004,2013,Cadillac,SRX,Luxury,SUV,automatic,3gyfnge37ds582761,pa,3.1,50488.0,gold,black,the hertz corporation,23400,23000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
201005,2013,Cadillac,ATS,Luxury,Sedan,automatic,1g6ab5r37d0131315,il,2.5,61324.0,black,black,the hertz corporation,17750,16400,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
201006,2013,BMW,X5,xDrive35i,SUV,automatic,5uxzv4c58d0e05909,ga,4.7,16036.0,gray,beige,financial services remarketing (lease),45400,44200,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
201007,2013,Cadillac,ATS,Luxury,Sedan,automatic,1g6ab5r3xd0138940,il,3.7,44356.0,silver,black,the hertz corporation,19100,19100,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
201008,2013,Buick,Regal,Premium 1 Turbo,Sedan,automatic,2g4gs5ev1d9180221,mn,4.1,33122.0,silver,black,midwest car corporation/ally financial,14450,13300,Thu Jan 29 2015 02:30:00 GMT-0800 (PST)
201009,2013,BMW,X5,xDrive35i,SUV,automatic,5uxzv4c56d0g55049,fl,4.4,36954.0,black,black,avis corporation,32300,34800,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
