num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
201999,2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew3cg140794,ca,3.4,51378.0,black,beige,ari,13200,11600,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202000,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja5cr351602,fl,2.6,80035.0,—,black,wheels exchange llc,9225,8000,Wed Feb 04 2015 01:10:00 GMT-0800 (PST)
202001,2012,GMC,Acadia,SLT-1,SUV,automatic,1gkkvred5cj148786,tn,4.2,36595.0,white,beige,wholesale inc # 2,24500,25200,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
202002,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em0c5273300,ca,3.6,48971.0,white,black,dtg operations inc,12550,11800,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
202003,2012,GMC,Acadia,Denali,SUV,automatic,1gkkrted4cj185782,tx,3.9,59465.0,black,gray,music city autoplex llc,25400,27750,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
202004,2012,Ford,Mustang,V6,Coupe,automatic,1zvbp8am6c5279138,mo,3.8,20254.0,gray,black,ford motor credit company,14400,14000,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
202005,2012,Ford,Mustang,V6,Coupe,automatic,1zvbp8am9c5258087,ny,2.5,44474.0,black,black,"ford motor credit company,llc",13250,12500,Wed Jan 28 2015 01:20:00 GMT-0800 (PST)
202006,2012,GMC,Acadia,Denali,SUV,automatic,1gkkvtedxcj173227,tn,4.3,40909.0,white,tan,frankfort toyota,28700,29000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
202007,2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew4cg109084,mo,4.3,23194.0,white,black,"ford motor credit company,llc",14750,16600,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
202008,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8emxc5273305,ca,2.8,52988.0,white,black,dtg operations inc,12250,12000,Thu Feb 19 2015 11:30:00 GMT-0800 (PST)
202009,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg4cr273236,pa,2.9,65922.0,burgundy,black,the hertz corporation,10600,10200,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
202010,2012,GMC,Savana Cargo,1500,Van,automatic,1gts8af4xc1139536,ut,2.7,5971.0,white,gray,mcgoldrick leasing co inc,8400,22900,Wed Jan 28 2015 03:30:00 GMT-0800 (PST)
202011,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em1c5270616,ca,3.5,59705.0,white,black,dtg operations inc,11650,11800,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202012,2012,Ford,Mustang,V6,Convertible,manual,1zvbp8em9c5254857,fl,2.5,23279.0,black,black,"ford motor credit company,llc",14650,13300,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
202013,2012,GMC,Acadia,SLT-1,SUV,automatic,1gkkvred4cj118582,tn,4.4,38207.0,silver,black,wholesale inc # 2,24200,25800,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
202014,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em5c5273325,ca,3.7,45576.0,black,black,dtg operations inc,12850,12300,Thu Feb 19 2015 11:30:00 GMT-0800 (PST)
202015,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em1c5273290,ca,2.8,53748.0,black,black,dtg operations inc,12200,11700,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202016,2012,GMC,Yukon XL,Denali,SUV,automatic,1gks2mef7cr322047,fl,4.4,38327.0,black,beige,tdaf remarketing,36000,39600,Tue Jan 27 2015 01:00:00 GMT-0800 (PST)
202017,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg8cr242040,nj,4.3,37334.0,blue,beige,"ford motor credit company,llc",12750,12500,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
202018,2012,GMC,Acadia,SL,SUV,automatic,1gkkrned3cj132468,sc,4.7,31010.0,beige,black,east coast honda,18100,18800,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202019,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em4c5286728,ca,1.9,60265.0,red,tan,the hertz corporation,11800,9000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
202020,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2c5273699,ca,3.3,52537.0,blue,gray,dtg operations inc,12100,12100,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
202021,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em4c5273297,ca,3.3,51532.0,black,black,dtg operations inc,12700,11700,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
202022,2012,Ford,Taurus,SHO,Sedan,automatic,1fahp2kt7cg119666,mn,3.2,31977.0,black,black,"ford motor credit company,llc",21000,20200,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202023,2012,Ford,Taurus,Limited,Sedan,automatic,1fahp2fw9cg112237,il,4.7,63781.0,silver,black,"ford motor credit company,llc",14000,14800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
202024,2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew8cg118354,fl,4.0,61315.0,white,beige,dtg operations inc,12500,11700,Wed Jan 28 2015 01:10:00 GMT-0800 (PST)
202025,2012,Ford,Taurus,Limited,Sedan,automatic,1fahp2fw1cg110515,il,2.7,33201.0,black,black,"ford motor credit company,llc",16950,15000,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
202026,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg7cr221633,nj,4.9,29474.0,red,black,"ford motor credit company,llc",13800,13900,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202027,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2c5273301,ca,3.5,50846.0,white,black,dtg operations inc,12800,11500,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
202028,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg5cr356271,ca,2.1,56029.0,silver,black,dtg operations inc,11250,9300,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202029,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2c5273296,ca,3.6,51473.0,black,black,dtg operations inc,12200,12100,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
202030,2012,Ford,Fusion,SPORT,Sedan,automatic,3fahp0kc2cr156072,mi,4.0,33315.0,black,black,remarketing by ge/tubbs brothers,14600,15000,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
202031,2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew0cg102715,mo,1.9,113823.0,silver,tan,dt credit corporation,9200,6000,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
202032,2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2hw8cg124425,wa,4.3,68897.0,gray,tan,ge fleet services for itself/servicer,13300,13600,Wed Jan 28 2015 04:00:00 GMT-0800 (PST)
202033,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em9c5273683,ca,4.1,46065.0,silver,black,dtg operations inc,13250,12200,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
202034,2012,GMC,Acadia,SL,SUV,automatic,1gkkvned7cj380198,tx,4.7,16269.0,brown,black,music city autoplex llc,20500,21900,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
202035,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em4c5273316,ca,3.5,55573.0,red,black,dtg operations inc,12050,12800,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202036,2012,Ford,Transit Connect,Wagon XLT Premium,Minivan,automatic,nm0ks9cn2ct108330,mo,4.2,47764.0,blue,gray,ford motor credit company,12150,14000,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
202037,2012,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtp2ve77cg119689,mn,4.5,33804.0,red,black,ford-lincoln dealer program,26000,26300,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202038,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jgxcr229760,pa,2.6,25903.0,gray,black,"ford motor credit company,llc",14150,11900,Wed Jan 28 2015 01:00:00 GMT-0800 (PST)
202039,2012,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7c5273293,ca,4.4,46750.0,black,black,dtg operations inc,12800,12600,Thu Feb 19 2015 11:30:00 GMT-0800 (PST)
202040,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg6cr244580,pa,3.4,46152.0,red,tan,"ford motor credit company,llc",12200,11200,Wed Jan 28 2015 01:00:00 GMT-0800 (PST)
202041,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja4cr341143,la,1.9,49095.0,gray,black,the hertz corporation,11600,10400,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202042,2012,GMC,Savana Cargo,1500,Van,automatic,1gts8af48c1147716,mi,3.0,199742.0,white,gray,chase automotive leasing,7600,6500,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
202043,2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew1cg124545,ca,3.2,107650.0,—,black,ari,9500,8000,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202044,2012,GMC,Acadia,SLT-1,SUV,automatic,1gkkvred8cj245352,tn,3.5,65771.0,—,black,wholesale inc # 2,19900,21000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
202045,2012,GMC,Acadia,Denali,SUV,automatic,1gkkvted1cj169213,mo,3.6,100837.0,white,tan,tdaf remarketing,23100,20100,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
202046,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg9cr234318,nj,3.1,9326.0,blue,beige,"ford motor credit company,llc",15750,12700,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202047,2012,Honda,Accord,LX-P,Sedan,automatic,1hgcp2f41ca049142,tn,4.4,61518.0,gray,gray,lowery brothers motors inc,11800,12500,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
202048,2012,GMC,Terrain,SLT-1,SUV,automatic,2gkaluek6c6225746,ca,4.4,77363.0,silver,black,fleet depot,14700,13100,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
202049,2012,Honda,Accord,LX-P,Sedan,automatic,1hgcp2f4xca082978,nj,4.7,35978.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",12900,13600,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202050,2012,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtp2ve75cg114863,mi,4.2,47406.0,red,black,automobiles paille inc,24900,23000,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
202051,2012,GMC,Sierra 1500,Denali,Crew Cab,automatic,3gtp2xe24cg203856,tn,4.4,45551.0,white,tan,sullivan auto group llc,31900,32000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
202052,2012,Honda,Accord,LX-S,Coupe,automatic,1hgcs1b30ca002321,ca,3.9,23790.0,white,beige,"ahfc/honda lease trust/hvt, inc. eot",13400,12200,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202053,2012,Honda,Accord,EX,Sedan,automatic,1hgcp2f77ca047504,nj,2.0,39545.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",13650,11800,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202054,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f35ca065299,tx,3.1,27032.0,gray,gray,ar auto sales,12700,13000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
202055,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f30ca061824,nj,3.1,22481.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",12950,11000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202056,2012,Honda,Accord,EX,Sedan,automatic,1hgcp2f71ca108801,ca,4.1,35889.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",13800,14900,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202057,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f65ca091153,nj,2.1,18175.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",14200,12500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202058,2012,Honda,Accord,LX-P,Sedan,automatic,1hgcp2f42ca078133,nj,4.0,25839.0,white,beige,"ahfc/honda lease trust/hvt, inc. eot",13300,13800,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202059,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f34ca096432,nj,3.1,36047.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",12200,11500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202060,2012,GMC,Sierra 1500,SL,Extended Cab,automatic,1gtr2uea5cz150650,tn,4.8,37829.0,white,black,midtown motors,19700,20100,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
202061,2012,Honda,Accord,EX-L,Coupe,automatic,1hgcs1b89ca003995,hi,3.2,25997.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",15600,15500,Wed Jan 28 2015 06:30:00 GMT-0800 (PST)
202062,2012,GMC,Sierra 1500,SLT,Extended Cab,automatic,1gtr2we75cz347365,tx,5.0,22680.0,black,tan,music city autoplex llc,27000,27000,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
202063,2012,Honda,Civic,EX,Sedan,automatic,19xfb2f88ce322345,nj,1.9,17514.0,black,gray,"ahfc/honda lease trust/hvt, inc.",12850,10500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202064,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f68ca142015,ca,3.8,22574.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",14000,15500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
202065,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f61ca020595,nj,3.3,25227.0,white,beige,"ahfc/honda lease trust/hvt, inc.",13850,13000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202066,2012,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp3f83ca012277,nj,1.9,12816.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",16800,14300,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202067,2012,Honda,Civic,EX,Sedan,automatic,19xfb2f89ce334925,nj,3.7,41696.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",11800,11700,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202068,2012,Honda,Civic,EX,Sedan,automatic,2hgfb2f86ch329946,nj,3.7,29826.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",12200,11500,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
202069,2012,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp3f8xca017542,nj,3.9,37909.0,white,gray,"ahfc/honda lease trust/hvt, inc. eot",15500,16300,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202070,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f64ca241169,nj,3.8,36065.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",13300,12700,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
202071,2012,Honda,Civic,Hybrid,Sedan,automatic,jhmfb4f38cs003703,hi,3.2,17304.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",14800,13500,Wed Jan 28 2015 06:30:00 GMT-0800 (PST)
