num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
202999,2011,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk6bbj32095,il,4.4,41002.0,black,beige,"ford motor credit company,llc",21700,24500,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
203000,2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb8ba500298,ca,4.3,41945.0,black,black,mercedes-benz financial services,18200,18000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
203001,2011,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1vf2b1385786,mn,4.1,36612.0,black,black,capital one auto finance,9925,10100,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
203002,2011,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8ch0b5m14629,pa,4.0,15338.0,red,black,hann financial services,11600,9600,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
203003,2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb7br165021,ca,3.8,21989.0,white,—,mercedes-benz financial services,20100,20500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
203004,2011,Mazda,Mazda3,s Sport,Sedan,manual,jm1bl1u57b1366207,mi,3.6,30189.0,white,black,christian financial credit union,10900,11200,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
203005,2011,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh3b5m04386,ga,2.3,22768.0,silver,black,wells fargo financial acceptance,11300,9800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
203006,2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb3br180499,ca,4.2,24102.0,white,—,mercedes-benz financial services,19950,20000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
203007,2011,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1vg9b1424575,pa,3.4,31682.0,black,black,autolenders liquidation center,10250,9700,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
203008,2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb4br163601,hi,3.9,26415.0,—,gray,mercedes-benz financial services,19700,18750,Wed Jan 28 2015 07:00:00 GMT-0800 (PST)
203009,2011,Mazda,CX-9,Grand Touring,SUV,automatic,jm3tb2da8b0314110,fl,2.7,33505.0,red,gray,tdaf remarketing,21200,20000,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
203010,2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4bc136206,mo,3.6,74314.0,white,black,tdaf remarketing,9125,9100,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
203011,2011,Mercury,Grand Marquis,LS,Sedan,automatic,2mebm7fv2bx603205,tn,3.9,177108.0,gray,gray,fidelity bank,10250,8800,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
203012,2011,Mitsubishi,Eclipse,GS,Hatchback,automatic,4a31k2df9be004561,pr,3.5,66720.0,orange,black,oriental bank,8975,11100,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
203013,2011,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,wddhf8hb9ba346590,wi,3.0,59723.0,gray,gray,mercedes-benz financial services,22400,22250,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
203014,2011,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb5gb1ba670897,ca,4.2,39815.0,black,gray,mercedes-benz financial services,26200,26000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
203015,2011,Mitsubishi,Galant,ES,Sedan,automatic,4a32b3ff2be004859,mn,1.7,53288.0,silver,gray,capital one auto finance,8725,5500,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
203016,2011,Mitsubishi,Outlander Sport,SE,SUV,automatic,ja4ar4au3bz007827,mi,4.6,52621.0,blue,black,santander consumer,11650,11700,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
203017,2011,Mercedes-Benz,E-Class,E350,Convertible,automatic,wddkk5gf6bf097236,ca,3.8,34589.0,black,black,calstar motors inc,29800,29800,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
203018,2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap8bn441860,pr,4.4,53507.0,white,beige,oriental bank,10050,11600,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
203019,2011,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb8ba271672,ca,3.6,40729.0,—,black,mercedes-benz financial services,25400,25500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
203020,2011,Mercury,Grand Marquis,LS,Sedan,automatic,2mebm7fv3bx607022,tx,2.7,88240.0,black,gray,kellogg compamy efcu,10850,10800,Wed Jan 28 2015 02:05:00 GMT-0800 (PST)
203021,2011,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb8ba428911,ca,4.4,59260.0,black,black,mercedes-benz finc wholesale advantage,23000,25750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
