num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
204999,2004,HUMMER,H2,Base,SUV,automatic,5grgn23u44h104197,hi,2.9,96833.0,burgundy,gray,remarketing of america,14900,10250,Wed Jan 28 2015 06:30:00 GMT-0800 (PST)
205000,2004,Honda,Odyssey,EX,Minivan,automatic,5fnrl18654b146494,ca,1.9,193079.0,silver,gray,first credit finance,1900,1700,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
205001,2004,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66514a040161,wa,3.3,117756.0,gray,gray,remarketing by ge/archibalds inc,5100,6100,Wed Jan 28 2015 04:00:00 GMT-0800 (PST)
205002,2004,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66564a077433,fl,1.9,191768.0,green,tan,coggin honda of orlando,3650,2700,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
205003,2004,Honda,Accord,EX,Sedan,automatic,1hgcm56884a037827,fl,1.0,140302.0,blue,gray,remarketing by ge/carville auto sales llc,4500,3500,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
205004,2004,Honda,Odyssey,EX,Minivan,automatic,5fnrl18624b065940,fl,2.8,134856.0,gray,gray,coggin deland ford,2650,3200,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
205005,2004,Honda,Odyssey,EX,Minivan,automatic,5fnrl18824b113003,ca,1.9,197450.0,blue,gray,quality acceptance,1625,1650,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
205006,2004,Infiniti,FX35,Base,SUV,automatic,jnras08u84x101323,fl,1.9,180434.0,gray,gray,mercedes benz of pembroke pines,5875,5700,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
205007,2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k04w148679,ma,2.9,146803.0,blue,black,first hyundai,2550,2700,Thu Feb 05 2015 10:30:00 GMT-0800 (PST)
205008,2004,Infiniti,I35,Base,Sedan,automatic,jnkda31a24t203997,ga,2.4,191177.0,gray,tan,just right auto deals,1650,2800,Tue Jan 27 2015 04:50:00 GMT-0800 (PST)
205009,2004,Jeep,Liberty,Limited,SUV,automatic,1j4gl58k14w172737,ne,3.3,187731.0,blue,gray,select remarketing group llc/loan max title,2950,2100,Thu Jan 29 2015 04:45:00 GMT-0800 (PST)
205010,2004,Hyundai,Sonata,GLS,Sedan,automatic,kmhwf35hx4a083571,fl,1.9,124669.0,white,beige,autonation chevrolet fort lauderdale,1950,500,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
205011,2004,Jeep,Liberty,Sport,SUV,automatic,1j4gk48k64w263015,fl,3.4,73149.0,red,tan,autonation nissan clearwater,4500,4300,Tue Jan 27 2015 08:00:00 GMT-0800 (PST)
205012,2004,Kia,Optima,EX,Sedan,automatic,knagd126x45358660,mo,1.9,146538.0,white,gray,primeritus remarketing/b link auto marine,1725,800,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
205013,2004,Jaguar,X-Type,3.0,Sedan,automatic,sajea51c44we02314,tx,3.6,100405.0,black,black,rlb investments,3275,3600,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
205014,2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48s54c392630,ca,3.0,159737.0,white,black,first credit finance,2275,2100,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
205015,2004,Infiniti,G35,Base,Coupe,automatic,jnkcv54e84m814718,ca,1.9,112105.0,black,black,wells fargo financial acceptance,6975,2700,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
205016,2004,Infiniti,G35,Base,Coupe,manual,jnkcv54e04m309398,ca,1.9,122805.0,gray,beige,newport acceptance corp,6550,6900,Wed Jan 28 2015 04:05:00 GMT-0800 (PST)
205017,2004,Hyundai,Tiburon,GT,Hatchback,automatic,kmhhn65f84u130509,ma,2.1,135213.0,black,black,metro chrysler jeep dodge,2275,2900,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
205018,2004,Jeep,Liberty,Limited,SUV,automatic,1j4gl58k24w161441,nc,3.8,155404.0,silver,gray,hrft finance and leasing,3675,3900,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
205019,2004,Hyundai,XG350,L,Sedan,automatic,kmhfu45e14a322720,fl,2.2,165492.0,black,gray,coggin honda of orlando,1475,1000,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
205020,2004,Infiniti,G35,Base,Sedan,automatic,jnkcv51e24m619718,ca,2.1,108935.0,gray,black,first credit finance,5300,5200,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
205021,2004,Infiniti,G35,Base,Sedan,automatic,jnkcv51f34m711204,ma,3.4,168784.0,silver,gray,bmw of cape cod,3125,2700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
205022,2004,Hyundai,XG350,L,Sedan,automatic,kmhfu45e94a367646,nv,2.0,177220.0,silver,—,titlemax/las vegas nv18,1275,400,Wed Jan 28 2015 16:00:00 GMT-0800 (PST)
205023,2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48kx4w257344,ma,2.9,191777.0,silver,gray,metro chrysler jeep dodge,1775,1650,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
205024,2004,Mazda,Mazda3,s,Sedan,automatic,jm1bk123041186669,il,3.4,77767.0,blue,black,remarketing by ge/manheim arena illinois,4475,3700,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
205025,2004,Lexus,RX 330,Base,SUV,automatic,jtjga31u640028936,nc,4.0,119225.0,silver,gray,hendrick chevrolet,9175,8700,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
205026,2004,Lexus,RX 330,Base,SUV,automatic,2t2ga31u54c009993,tx,2.0,197110.0,black,beige,improved credit lending,8475,6600,Wed Jan 28 2015 02:05:00 GMT-0800 (PST)
205027,2004,Kia,Sorento,EX,SUV,automatic,kndjc733245312310,il,2.7,148185.0,green,gray,pronto pre'stamos,1975,1700,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
205028,2004,Lexus,RX 330,Base,SUV,automatic,2t2ga31u24c015492,fl,1.9,101036.0,white,beige,capital one auto finance,9325,8600,Wed Jan 28 2015 01:10:00 GMT-0800 (PST)
205029,2004,Mercedes-Benz,E-Class,E320,Sedan,automatic,wdbuf65j04a517253,fl,3.1,83142.0,black,tan,mercedes benz of ft lauderdale,6150,5100,Tue Feb 03 2015 08:00:00 GMT-0800 (PST)
205030,2004,Lexus,ES 330,Base,Sedan,automatic,jthba30g445036138,nj,1.9,162075.0,white,tan,lester glenn buick,4825,3900,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
205031,2004,Mazda,Mazda6,i,Sedan,manual,1yvfp80c845n72838,fl,3.3,131034.0,gold,gray,autonation toyota pinellas park,2425,2200,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
205032,2004,Kia,Sorento,EX,SUV,automatic,kndjc733745313680,mn,3.2,152760.0,blue,tan,capital one auto finance,2200,2300,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
205033,2004,Ford,Altima,Base,Sedan,manual,jm1fe173340140714,ca,3.7,68312.0,gray,black,santander consumer,4225,3500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
205034,2004,MINI,Cooper,Base,Hatchback,automatic,wmwrc33474tj62157,sc,2.6,144832.0,black,gray,hendrick hyundai north,2900,2800,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
205035,2004,Kia,Sorento,EX,SUV,automatic,kndjc733145200694,sc,1.9,161255.0,green,tan,rick hendrick dodge chrysler jeep ram,2075,1200,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
205036,2004,Lexus,ES 330,Base,Sedan,automatic,jthba30g045046861,ca,3.3,90718.0,gray,brown,onemain rem/delta dealer,6950,8100,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
205037,2004,Mitsubishi,Galant,DE,Sedan,automatic,4a3ab26f94e147252,fl,1.9,184479.0,gray,black,autonation toyota pinellas park,100,600,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
205038,2004,Mercury,Mountaineer,Convenience,SUV,automatic,4m2zu86k84uj14114,tn,1.0,148471.0,silver,—,brandon volkswagen,2750,800,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
205039,2004,Nissan,Murano,SE,SUV,automatic,jn8az08t64w207038,ca,1.9,144235.0,gold,tan,nextgear capital,3400,3900,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
205040,2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e14c908393,ca,1.9,55002.0,blue,beige,mas financial services,4400,3500,Wed Jan 28 2015 04:05:00 GMT-0800 (PST)
205041,2004,Nissan,Murano,SE,SUV,automatic,jn8az08w34w300741,fl,2.7,183610.0,gray,beige,autonation nissan brandon,3775,3700,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
205042,2004,Nissan,Murano,SL,SUV,automatic,jn8az08t44w203828,ca,1.9,193537.0,silver,gray,time finance co,3325,3100,Wed Feb 18 2015 04:05:00 GMT-0800 (PST)
205043,2004,Mitsubishi,Endeavor,XLS,SUV,automatic,4a4mm31s24e010568,ca,2.7,144210.0,blue,gray,first credit finance,2475,2450,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
205044,2004,Nissan,Murano,SL,SUV,automatic,jn8az08w34w307091,ma,2.8,114203.0,black,black,boch new to you superstore,4875,4700,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
205045,2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e04c855086,ma,1.9,142899.0,gray,gray,metro ford,3175,2800,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
205046,2004,Nissan,Armada,SE,SUV,automatic,5n1aa08b34n721473,pa,2.8,103508.0,black,beige,bergeys buick gmc,7025,5700,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
205047,2004,Mercedes-Benz,SL-Class,SL500,Convertible,automatic,wdbsk75f34f063183,ca,3.5,67447.0,silver,gray,high bid trading co inc,16600,15600,Wed Jan 28 2015 04:15:00 GMT-0800 (PST)
205048,2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e74c919527,ca,2.0,146912.0,gray,gray,time finance co,3000,3600,Wed Feb 11 2015 04:05:00 GMT-0800 (PST)
205049,2004,Mercedes-Benz,E-Class,E500 4MATIC,Sedan,automatic,wdbuf83j34x162378,nj,2.1,171930.0,silver,black,holman ford lincoln turnersville,3375,3500,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
