num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
205999,2014,Jeep,Patriot,Sport,SUV,automatic,1c4njpba1ed502646,ca,2.6,34427.0,black,black,santander consumer,12650,11400,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
206000,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg2ec514939,ab,5.0,11662.0,black,black,chrysler canada inc,39100,38750,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
206001,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg0ec346184,ab,4.9,27833.0,white,black,chrysler canada inc,37600,38000,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
206002,2014,Ford,Altima,Base,Sedan,automatic,1c4njrab7ed820194,ab,4.7,16758.0,black,gray,chrysler canada inc,18150,18000,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
206003,2014,Ford,Altima,Base,Sedan,automatic,1c4njrabxed820173,ab,4.7,15221.0,gray,gray,chrysler canada inc,18250,18300,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
206004,2014,Jeep,Patriot,Sport,SUV,automatic,1c4njrbb5ed520409,ne,3.5,46570.0,gray,gray,avis corporation,13800,13700,Thu Jan 29 2015 04:15:00 GMT-0800 (PST)
206005,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbgxec346189,ab,4.7,27162.0,white,black,chrysler canada inc,37600,37750,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
206006,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg9ec559540,ut,2.0,6567.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,33000,29000,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
206007,2014,Ford,Altima,Base,Sedan,automatic,1c4njrab5ed804334,ab,4.1,16637.0,black,black,chrysler canada inc,20700,17900,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
206008,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg1ec514995,ab,5.0,15334.0,white,black,chrysler canada inc,38800,38600,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
