num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
206999,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dn439011,il,4.1,15462.0,black,black,nissan-infiniti lt,14550,13400,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
207000,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dn515636,tn,3.9,59513.0,black,black,dollar thrifty auto group/faao,12150,12200,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
207001,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn426273,pa,3.1,62651.0,gray,black,the hertz corporation,11650,11400,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
207002,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dn512614,oh,4.5,54925.0,blue,black,the hertz corporation,12100,11900,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
207003,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dc163499,fl,4.1,57888.0,silver,black,the hertz corporation,12250,11800,Wed Jan 28 2015 01:10:00 GMT-0800 (PST)
207004,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dn455471,ca,4.1,59050.0,silver,—,the hertz corporation,12200,12100,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
207005,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn560669,ne,3.6,56842.0,silver,black,dtg operations inc,11950,11700,Thu Feb 19 2015 04:15:00 GMT-0800 (PST)
207006,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4dn537476,ne,3.6,59401.0,gray,black,the hertz corporation,11850,11700,Thu Feb 12 2015 04:15:00 GMT-0800 (PST)
207007,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdn541886,fl,2.6,58183.0,red,black,the hertz corporation,12250,10800,Wed Jan 28 2015 01:10:00 GMT-0800 (PST)
207008,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4dn518992,tx,3.6,59063.0,white,black,the hertz corporation,12000,12000,Wed Feb 04 2015 02:05:00 GMT-0800 (PST)
207009,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dc165017,pa,2.9,60275.0,silver,black,the hertz corporation,11950,10900,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
207010,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap6dc164047,ne,3.9,56473.0,white,black,the hertz corporation,11950,11800,Thu Feb 19 2015 04:15:00 GMT-0800 (PST)
207011,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dn455637,tn,1.9,62133.0,—,black,the hertz corporation,12050,9700,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
207012,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc152975,il,4.9,23682.0,brown,black,nissan-infiniti lt,14100,13000,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
207013,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn517918,tn,3.2,58176.0,black,black,dtg operations inc,11850,11200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
207014,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dn511354,wa,3.8,65768.0,gray,black,the hertz corporation,11650,12200,Wed Feb 04 2015 05:25:00 GMT-0800 (PST)
