num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
208999,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee0dc091758,wa,3.7,36202.0,silver,black,dollar rac/seattle,13100,13700,Wed Jan 28 2015 04:00:00 GMT-0800 (PST)
209000,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee1dp093907,fl,3.0,50192.0,red,tan,remarketing by ge/north american fleet sales inc,11150,9300,Wed Jan 28 2015 01:00:00 GMT-0800 (PST)
209001,2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee6dc016434,oh,4.7,57805.0,gray,gray,the hertz corporation,10850,11301,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
209002,2013,Toyota,FJ Cruiser,Base,SUV,automatic,jtezu4bf7dk013242,fl,4.9,21364.0,white,black,fidelity bank,25300,26800,Wed Jan 28 2015 07:10:00 GMT-0800 (PST)
209003,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee8dc026429,wa,3.9,37458.0,white,—,dollar rac/seattle,13050,13800,Wed Jan 28 2015 04:00:00 GMT-0800 (PST)
209004,2013,Toyota,FJ Cruiser,Base,SUV,automatic,jtezu4bf2dk012922,ca,3.4,37444.0,orange,black,avis rac/san leandro,24900,24800,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
209005,2013,Toyota,Land Cruiser,Base,SUV,automatic,jtmhy7aj8d4011967,tx,5.0,5289.0,gray,black,brunson auto sales,62000,63000,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
209006,2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee0dc047582,mo,4.1,44562.0,red,gray,toyota financial services/avis budget group-open,11400,11600,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
209007,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee7dp174751,ga,3.4,45435.0,gray,gray,toyota financial services/enterprise,11350,11300,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
209008,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4eexdp094862,ne,4.2,54108.0,silver,gray,the hertz corporation,10900,11400,Thu Feb 12 2015 04:15:00 GMT-0800 (PST)
209009,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee4dp187294,tx,4.5,41223.0,gold,beige,avis corporation,11600,12200,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
209010,2013,Toyota,Highlander,Limited,SUV,automatic,5tdyk3eh4ds105043,co,4.3,31196.0,black,beige,the auto connection,29700,28900,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
209011,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee5dc055404,wa,3.7,37783.0,red,black,dollar rac/seattle,13000,13900,Wed Jan 28 2015 04:00:00 GMT-0800 (PST)
209012,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee8dp089143,tn,3.8,49033.0,—,tan,riverchase used car center inc,11200,11500,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
