num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
215999,2014,Nissan,Xterra,S,SUV,automatic,5n1an0nu1en808056,tx,4.3,21070.0,black,gray,enterprise vehicle exchange/dfw airport,18950,19000,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
216000,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap8el803008,tx,1.0,44408.0,silver,—,santander consumer,9025,1500,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
216001,2014,Porsche,Cayenne,GTS,SUV,automatic,wp1ad2a28ela74128,fl,4.2,4037.0,brown,beige,tdaf remarketing,83000,80250,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
216002,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap0fc168629,fl,2.6,4594.0,white,black,florida auto financial group,16100,15200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
216003,2015,Mazda,CX-5,Touring,SUV,automatic,jm3ke2cy6f0438397,tx,4.1,21055.0,gold,black,enterprise veh exchange/rental,18900,19400,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
216004,2015,Subaru,Forester,2.5i Premium PZEV,SUV,automatic,jf2sjagc5fh428010,az,4.4,2088.0,red,gray,"jpmorgan chase bank,n.a.",23900,24300,Thu Jan 29 2015 03:00:00 GMT-0800 (PST)
216005,2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp3fl371526,ca,2.0,8221.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,11550,6000,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
216006,2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cpxfl369515,fl,1.9,2890.0,red,black,florida auto financial group,12250,11200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
216007,2015,Kia,Soul,+,Wagon,automatic,kndjp3a55f7141707,fl,5.0,2290.0,yellow,black,tdaf remarketing,14550,15300,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
216008,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap8fn322914,fl,1.0,16071.0,beige,beige,enterprise vehicle exchange / tra / rental / tulsa,15950,7000,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
216009,2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp7fl371500,ca,1.0,7119.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,11550,6300,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
216010,2015,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1fn323984,fl,4.0,5945.0,gray,black,american motor group,16100,14800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
216011,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2fn312184,in,2.0,19948.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,15750,11500,Wed Feb 04 2015 04:59:00 GMT-0800 (PST)
