num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
216999,2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f4xcc023794,ga,2.9,29492.0,white,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",16800,17200,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
217000,2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,wauffafl8ca095838,ga,4.7,27762.0,black,black,vw credit xu ready,22500,25200,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
217001,2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f5xca015525,ga,4.0,44912.0,gray,gray,"ahfc/honda lease/trust/hvt, inc. eot acuras",19700,20900,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
217002,2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl1cn011883,ga,4.2,30466.0,white,black,"vw credit, inc/pilot",19900,19000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
217003,2012,Acura,TL,Base,Sedan,automatic,19uua8f21ca017783,pa,3.2,33140.0,white,beige,"ahfc/honda lease/trust/hvt, inc. eot acuras",18650,18000,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
217004,2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f67cc003486,pa,1.9,20279.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",19000,17100,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
217005,2012,Audi,A7,Premium quattro,Sedan,automatic,wauygafc4cn033884,ny,4.1,55054.0,black,black,victory auto sales inc,35900,34600,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
217006,2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c52cf343941,fl,2.2,32382.0,white,black,financial services remarketing (lease),23800,18600,Thu Jan 29 2015 02:25:00 GMT-0800 (PST)
217007,2012,Audi,R8,4.2 quattro,Coupe,manual,wuaduafg6cn002233,pa,4.9,529.0,gray,black,r hollenshead auto sales inc,100000,101750,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
217008,2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c54cf342497,fl,4.5,22391.0,white,black,lauderdale bmw of fort lauderdale,24500,25000,Fri Feb 06 2015 01:35:00 GMT-0800 (PST)
217009,2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c56cf257046,tx,3.4,37567.0,silver,beige,tdaf remarketing,23200,22300,Wed Jan 28 2015 02:15:00 GMT-0800 (PST)
217010,2012,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,wa1dkafp5ca113571,ga,2.7,32989.0,white,beige,vw credit,31000,26500,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
217011,2012,BMW,1 Series,128i,Convertible,automatic,wbaul7c52cvm82953,fl,3.7,38075.0,black,black,lauderdale bmw of fort lauderdale,21600,22400,Fri Mar 06 2015 01:35:00 GMT-0800 (PST)
