num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
221999,2012,Honda,CR-V,LX,SUV,automatic,5j6rm4h38cl044293,pa,3.7,24301.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",16750,16800,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
222000,2012,Honda,Civic,EX-L,Sedan,automatic,19xfb2f94ce054144,il,4.5,19033.0,brown,tan,"ahfc/honda lease trust/hvt, inc. eot",13300,13800,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
222001,2012,Honda,CR-V,EX,SUV,automatic,jhlrm4h53cc024141,pa,4.3,18545.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",19250,19900,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
222002,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f56ce068432,il,3.7,35833.0,silver,gray,"ahfc/honda lease trust/hvt, inc. eot",10750,10300,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
222003,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f59ce332159,pa,3.6,32204.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",10850,11400,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
222004,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f57ce330216,pa,2.5,28323.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",11000,9600,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
222005,2012,Honda,Crosstour,EX-L,Hatchback,automatic,5j6tf2h57cl003059,pa,4.4,39016.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",19800,22100,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
222006,2012,Honda,Civic,LX,Sedan,automatic,2hgfb2f53ch323995,il,3.4,26262.0,silver,beige,"ahfc/honda lease trust/hvt, inc. eot",11100,10400,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
222007,2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b5xch519400,il,3.7,35990.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",10350,10400,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
222008,2012,Honda,Civic,LX,Sedan,automatic,19xfb2e55ce054314,pa,3.6,20931.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",11300,11100,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
222009,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd1cu188210,il,3.6,59678.0,white,beige,the hertz corporation,15000,14300,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
222010,2012,Hyundai,Genesis,4.6,Sedan,automatic,kmhgc4df2cu177167,fl,4.5,54711.0,silver,black,hyundai motor finance,18550,20100,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
222011,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd7cu182296,tx,4.5,25388.0,white,beige,hyundai motor finance,19700,21100,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
222012,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8ch453189,pa,1.9,17996.0,gray,gray,hyundai motor finance,12500,11600,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
