num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
223999,2012,Nissan,Versa,1.6 S,Sedan,automatic,3n1cn7apxcl882615,pr,3.7,14082.0,beige,beige,oriental bank,9125,10500,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
224000,2012,Ram,2500,ST,Crew Cab,manual,3c6ud5hlxcg200537,tx,3.5,71976.0,white,black,wells fargo dealer services,26800,24200,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
224001,2012,Ram,1500,SLT,Quad Cab,automatic,1c6rd6gp3cs291790,tx,2.0,62992.0,gray,gray,chrysler capital,16600,14300,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
224002,2012,Ram,1500,ST,Quad Cab,automatic,1c6rd6ft4cs197254,tx,1.9,35940.0,blue,gray,santander consumer,19050,16700,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
224003,2012,Subaru,Impreza,WRX,Hatchback,manual,jf1gr7e64cg219135,nj,2.8,56470.0,gray,black,wells fargo dealer services,19400,19000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
224004,2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp7ck292390,wi,2.5,41853.0,black,black,capital one auto finance,8150,8800,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
224005,2012,Scion,tC,Base,Hatchback,automatic,jtkjf5c73c3035779,oh,2.0,40108.0,black,black,toyota financial services,11850,9400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
224006,2012,Nissan,Versa,1.6 S,Sedan,automatic,3n1cn7ap0cl812850,nc,3.5,126139.0,silver,gray,atlantic coast remarketing inc/asf,5825,6300,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
224007,2012,Subaru,Impreza,2.0i,Sedan,automatic,jf1gjaa61ch011525,co,2.2,12895.0,silver,black,wells fargo dealer services,13900,14200,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
224008,2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp9ck274425,nj,3.9,42945.0,black,black,santander consumer,8100,8700,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
224009,2012,Nissan,Xterra,X,SUV,automatic,5n1an0nw2cc507080,pr,4.3,15404.0,white,gray,scotiabank de puerto rico,19400,19900,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
224010,2012,Scion,tC,Base,Hatchback,automatic,jtkjf5c73c3035345,fl,1.9,58553.0,blue,black,capital one auto finance,10400,10300,Wed Feb 04 2015 01:10:00 GMT-0800 (PST)
224011,2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl1cg304324,ca,2.7,18948.0,silver,black,barco rent a truck,32400,35750,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
224012,2012,Scion,tC,Base,Hatchback,automatic,jtkjf5c79c3038329,tx,3.7,42093.0,burgundy,black,music city autoplex llc,11550,12750,Wed Feb 04 2015 02:20:00 GMT-0800 (PST)
224013,2012,Ram,1500,SLT,Quad Cab,automatic,1c6rd6gp8cs129525,tx,2.4,51288.0,gray,black,laredo dodge chrysler jeep,16900,14700,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
224014,2012,Ram,1500,ST,Quad Cab,automatic,1c6rd6ft3cs281985,tx,3.0,42106.0,white,gray,regional acceptance corporation / greensboro,18300,19000,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
224015,2012,Ram,1500,ST,Quad Cab,automatic,1c6rd6ft5cs216040,tx,4.2,32467.0,white,gray,fiserv/regions bank,19050,21200,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
224016,2012,Scion,xB,Base,Wagon,manual,jtlze4fe8cj014346,nj,4.3,18264.0,blue,black,"jpmorgan chase bank,n.a.",12150,11400,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
224017,2012,Nissan,Versa,1.6 S,Sedan,automatic,3n1cn7ap7cl876853,fl,2.9,35231.0,black,black,wells fargo dealer services,8375,8400,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
224018,2012,Ram,1500,ST,Regular Cab,automatic,3c6jd6at8cg201060,tx,2.7,46791.0,black,black,santander consumer,15100,14250,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
224019,2012,Nissan,Xterra,X,SUV,automatic,5n1an0nw2cn801275,ga,3.8,7980.0,black,gray,riverside toyota scion,19850,20700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
224020,2012,Ram,C/V Cargo Van,Base,Minivan,automatic,2c4rdgag2cr277601,ca,3.1,119082.0,white,black,wheels exchange llc,5525,6200,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
224021,2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp6ck814703,ca,2.8,44524.0,black,black,nissan dealer blend/costa mesa nissan,8025,9500,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
224022,2012,Ram,1500,SLT,Quad Cab,automatic,1c6rd7gt3cs178859,mi,5.0,10617.0,black,black,kevins marysville auto sales inc,26300,27900,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
224023,2012,smart,fortwo,passion cabriolet,Convertible,automatic,wmeek3ba6ck580789,ca,4.2,14810.0,blue,black,mercedes-benz financial services,8800,9250,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
224024,2012,Ram,1500,ST,Quad Cab,automatic,1c6rd7fpxcs276033,co,3.8,63195.0,gray,black,chrysler capital,16800,19300,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
224025,2012,Nissan,Versa,1.6 S,Sedan,automatic,3n1cn7ap6cl918221,ma,3.9,61902.0,brown,black,the hertz corporation,7575,6800,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
224026,2012,Scion,xB,Base,Wagon,automatic,jtlze4fe9cj015523,fl,1.9,99521.0,burgundy,black,world omni financial corporation,9350,6600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
224027,2012,Subaru,Legacy,2.5i PZEV,Sedan,automatic,4s3bmba64c3008469,wa,4.8,36693.0,red,black,"jpmorgan chase bank,n.a.",14350,14800,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
224028,2012,Subaru,Impreza,2.0i,Sedan,automatic,jf1gjaa63ch007895,wa,4.0,35618.0,silver,black,"jpmorgan chase bank,n.a.",12500,12800,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
224029,2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp2ck268286,il,3.0,23265.0,—,black,lease plan usa/tra,9350,5800,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
224030,2012,Scion,xD,Base,Hatchback,automatic,jtkku4b42c1018267,pr,2.3,33806.0,gray,black,oriental bank,10900,9500,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
224031,2012,Scion,tC,Base,Hatchback,manual,jtkjf5c72c3033635,oh,4.4,8827.0,blue,black,toyota financial services,14150,12900,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
224032,2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3baxck536751,fl,3.1,38271.0,black,black,mercedes-benz financial services,7050,6900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
224033,2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl6cg304366,ca,4.1,27078.0,silver,gray,barco rent a truck,32000,33750,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
224034,2012,Subaru,Legacy,2.5i Limited PZEV,Sedan,automatic,4s3bmbk6xc3043421,il,3.5,67357.0,blue,beige,the hertz corporation,12550,12900,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
224035,2012,Subaru,Forester,2.5X Premium,SUV,automatic,jf2shbdc7ch423215,co,1.9,59540.0,white,gray,tdaf remarketing,16050,17200,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
224036,2012,Subaru,Legacy,2.5i Premium PZEV,Sedan,automatic,4s3bmbc65c3007148,ca,3.4,26051.0,white,tan,"jpmorgan chase bank,n.a.",15300,16200,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
224037,2012,Ram,1500,ST,Crew Cab,automatic,1c6rd7kt3cs239621,tx,3.5,32132.0,black,gray,exeter finance corp,23500,25700,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
224038,2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp5ck800579,nc,3.4,34618.0,white,tan,gm financial,9350,8800,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
224039,2012,Nissan,Versa,1.6 S,Sedan,automatic,3n1cn7ap2cl908897,fl,3.0,80309.0,silver,black,coggin honda of ft pierce,7250,7500,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
224040,2012,Scion,xB,Base,Wagon,automatic,jtlze4fexcj022187,ga,4.7,24441.0,silver,black,capital one auto finance,11750,12700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
224041,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk3cu536195,ga,4.1,28037.0,white,gray,world omni financial corporation,13550,14400,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
224042,2012,Toyota,Camry,SE,Sedan,automatic,4t1bk1fk4cu010427,wi,3.6,65560.0,silver,black,ge fleet services for itself/servicer,14800,14600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
224043,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu557820,fl,4.4,4209.0,white,black,world omni financial corporation,16450,16900,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
224044,2012,Toyota,4Runner,SR5,SUV,automatic,jtezu5jr2c5037348,ga,4.8,49186.0,black,black,world omni financial corporation,24600,27200,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
224045,2012,Subaru,Legacy,2.5i Premium PZEV,Sedan,automatic,4s3bmbb66c3033680,mn,2.8,108294.0,white,beige,wheels ltd,8900,9300,Thu Feb 05 2015 02:45:00 GMT-0800 (PST)
224046,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk1cu014925,fl,4.4,24664.0,silver,black,world omni financial corporation,15200,15300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
