num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
224999,2011,Ford,Escape,XLT,SUV,automatic,1fmcu9d78bka69521,mn,4.1,73532.0,black,black,wheels ltd,11100,12100,Thu Feb 05 2015 02:45:00 GMT-0800 (PST)
225000,2011,Ford,Expedition,EL Limited,SUV,automatic,1fmjk1k59bef12368,ga,4.4,60641.0,white,tan,ford-lincoln dealer program,25400,26800,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
225001,2011,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef5bfd37596,pa,4.6,41046.0,black,tan,"ford motor credit company,llc",28100,28400,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
225002,2011,Ford,Escape,XLT,SUV,automatic,1fmcu0d71bka38560,ca,2.7,92434.0,blue,black,bank of america,8925,8900,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
225003,2011,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et8bfc36879,co,4.0,71983.0,white,black,"ford motor credit company,llc pd",23900,26000,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
225004,2011,Ford,Escape,XLS,SUV,automatic,1fmcu0c75bka99864,nc,3.0,111019.0,gray,gray,condor capital corp,8000,6600,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
225005,2011,Ford,Edge,SEL,SUV,automatic,2fmdk3jc7bbb13124,ga,4.4,98571.0,red,gray,opelika ford inc,12850,12600,Tue Feb 03 2015 04:50:00 GMT-0800 (PST)
225006,2011,Ford,Edge,Limited,SUV,automatic,2fmdk3kc4bba86057,ca,3.6,43740.0,black,brown,"ford motor credit company,llc pd",19400,21000,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
225007,2011,Ford,Escape,XLT,SUV,automatic,1fmcu0dg6bkc16320,pa,2.7,43105.0,gray,black,"ford motor credit company,llc",12200,12400,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
225008,2011,Ford,Expedition,EL Limited,SUV,automatic,1fmjk2a52bef29262,nj,4.7,62131.0,black,black,ford-lincoln dealer program,26200,26200,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
225009,2011,Ford,Edge,SEL,SUV,automatic,2fmdk3jc7bbb15326,ga,4.6,54149.0,blue,black,"ford motor credit company,llc",16750,15600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
225010,2011,Ford,F-150,STX,Regular Cab,automatic,1ftmf1cm0bkd62647,ca,4.1,145778.0,blue,gray,northwestern chrys/j/d/ge,8375,7300,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
225011,2011,Ford,Escape,XLT,SUV,automatic,1fmcu9d77bkb15713,on,2.9,83117.0,red,beige,jim pattison lease,10850,11600,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
225012,2011,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ct5bfd01996,tn,4.9,35435.0,—,black,ford-lincoln dealer program,26400,27500,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
225013,2011,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et5bfc28982,pa,4.3,38402.0,red,gray,rentschler chevrolet,28100,25200,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
225014,2011,Ford,Escape,XLS,SUV,automatic,1fmcu0c78bka34359,nj,2.0,87691.0,gray,beige,wells fargo dealer services,8600,6500,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
225015,2011,Ford,Escape,XLT,SUV,automatic,1fmcu0d7xbkb79465,or,3.2,100922.0,black,black,lease plan usa,8600,7600,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
225016,2011,Ford,Edge,SE,SUV,automatic,2fmdk3gc1bbb35434,nj,1.9,79114.0,—,black,wheels exchange llc,11800,9300,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
225017,2011,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ct6bfc38326,tx,4.6,51010.0,—,gray,"ford motor credit company,llc",21700,21900,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
