num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
225999,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e37e1112495,il,4.0,19570.0,white,gray,gm remarketing,13700,14400,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
226000,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e36e1178309,fl,3.0,12326.0,black,black,gm remarketing,13750,13700,Mon Feb 09 2015 05:00:00 GMT-0800 (PST)
226001,2014,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1pg5sb2e7395618,il,4.0,20935.0,red,gray,gm remarketing,14750,13500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
226002,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e32e1157005,fl,3.0,23160.0,silver,gray,gm remarketing,13100,13300,Mon Feb 09 2015 05:00:00 GMT-0800 (PST)
226003,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e38e1164945,ga,4.8,13146.0,gray,black,kern automotive group inc,13750,14100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
226004,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e38e1148017,fl,4.0,17391.0,red,gray,gm remarketing,13450,13800,Mon Feb 09 2015 05:00:00 GMT-0800 (PST)
226005,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e35e1160576,il,4.0,11259.0,black,black,gm remarketing,13750,13700,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
226006,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e35e1149500,fl,4.0,17127.0,white,beige,gm remarketing,13450,13800,Mon Feb 09 2015 05:00:00 GMT-0800 (PST)
226007,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e34e1131621,il,4.0,12959.0,gray,gray,gm remarketing,13650,13600,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
226008,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e35e1147956,fl,4.0,20430.0,silver,gray,gm remarketing,13250,13500,Mon Feb 09 2015 05:00:00 GMT-0800 (PST)
226009,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e3xe1162758,il,4.0,12925.0,white,tan,gm remarketing,13650,13700,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
226010,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e32e1133822,il,4.0,14797.0,gray,gray,gm remarketing,13700,13600,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
226011,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap6bc857912,fl,4.4,38987.0,black,black,nissan-infiniti lt,16250,16600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
226012,2011,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp7bt008961,ca,4.5,40927.0,white,beige,nissan-infiniti lt,9250,9500,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
226013,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap3bc865773,fl,2.1,36826.0,white,beige,nissan-infiniti lt,16450,15400,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
226014,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap7bc855571,tx,2.4,40684.0,black,tan,nissan-infiniti lt,16250,14800,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
226015,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap8bc860763,co,3.7,33207.0,blue,black,nissan-infiniti lt,16700,17200,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
226016,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap3bc855244,pa,3.8,48788.0,black,black,nissan-infiniti lt,15650,16200,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
226017,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap9bc809868,nc,3.7,41163.0,silver,black,meridian remarketing,16200,16100,Tue Feb 10 2015 01:15:00 GMT-0800 (PST)
226018,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5apxbc834102,fl,3.7,41868.0,white,black,nissan-infiniti lt,16050,16200,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
226019,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1bc847708,tx,2.5,35626.0,black,black,nissan-infiniti lt,16550,15400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
226020,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap8bc857197,nj,4.1,52560.0,—,black,nissan-infiniti lt,15250,16400,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
