num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
228999,2008,Honda,Accord,EX-L,Sedan,automatic,1hgcp26868a109877,nc,1.9,127736.0,silver,black,santander consumer,8200,8000,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
229000,2008,Honda,Civic,LX,Sedan,automatic,2hgfa16548h120389,qc,3.0,98708.0,gray,gray,repo depo,4950,6800,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
229001,2008,Honda,Accord,EX-L V-6,Coupe,automatic,1hgcs22828a000529,nj,3.7,90707.0,silver,black,holman automotive grp inc,9300,9700,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
229002,2008,Honda,Civic,Hybrid,Sedan,automatic,jhmfa36268s007955,wi,4.1,101352.0,blue,blue,remarketing by ge/manheim chicago,5400,4300,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
229003,2008,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp36868a022406,fl,3.7,219579.0,black,black,me auto llc,5625,6800,Tue Feb 10 2015 10:00:00 GMT-0800 (PST)
229004,2008,Honda,Civic,Si,Sedan,manual,2hgfa55568h707413,fl,4.1,68766.0,gray,black,regional acceptance corporation / greenville,10150,11600,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
229005,2008,Hyundai,Santa Fe,Limited,SUV,automatic,5nmsh73e88h171947,tn,4.4,126815.0,gray,tan,butler motors inc,7475,7800,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
229006,2008,Honda,Civic,EX,Coupe,automatic,2hgfg12848h555895,ga,3.1,117925.0,gray,gray,wells fargo dealer services,5725,6700,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
229007,2008,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46dx8u427869,co,2.2,135457.0,black,gray,wells fargo dealer services,3350,3100,Wed Feb 18 2015 03:30:00 GMT-0800 (PST)
229008,2008,Honda,Civic,LX,Coupe,automatic,2hgfg116x8h004810,qc,3.0,132403.0,black,black,repo depo,6675,4400,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
229009,2008,Hyundai,Sonata,Limited,Sedan,automatic,5npeu46c78h365907,mi,2.0,81306.0,black,gray,credit acceptance corp/vrs/southfield,6575,3900,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
229010,2008,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d58u434146,mi,2.8,191714.0,silver,gray,santander consumer,2050,2200,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
229011,2008,Hyundai,Santa Fe,GLS,SUV,automatic,5nmsg13d18h208571,tx,1.0,93832.0,blue,gray,santander consumer,6600,3400,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
229012,2008,Hyundai,Sonata,Limited,Sedan,automatic,5npeu46c88h348162,md,2.0,152858.0,silver,black,sheehy hyundai of waldorf,3375,2000,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
229013,2008,Hyundai,Santa Fe,GLS,SUV,automatic,5nmsg13d18h194378,va,3.5,105742.0,green,gray,brown's manassas subaru,6150,5500,Thu Feb 05 2015 01:05:00 GMT-0800 (PST)
229014,2008,Hyundai,Tiburon,GT,Hatchback,manual,kmhhn66f28u285934,fl,2.2,52541.0,gray,black,orlando hyundai,5100,6200,Wed Feb 04 2015 01:25:00 GMT-0800 (PST)
229015,2008,Honda,Civic,EX-L,Sedan,automatic,2hgfa16918h505458,nj,2.8,89634.0,silver,black,gs autoplex llc,7775,7400,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
229016,2008,Jeep,Patriot,Sport,SUV,automatic,1j8ff28w28d557762,ny,3.7,83317.0,gray,black,manheim new york,6300,5200,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
