num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
229999,2007,GMC,Sierra 1500,SLE1,Crew Cab,automatic,2gtec13j771502865,ga,3.4,54458.0,gray,gray,young motors llc,16250,18400,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
230000,2007,Ford,Altima,Base,Sedan,automatic,2fahp71w57x149323,fl,2.0,110953.0,white,gray,palm beach county sheriff's office,1550,1800,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
230001,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fafp34n77w130822,ga,1.9,109441.0,black,gray,just right auto deals,3325,2000,Tue Feb 03 2015 04:50:00 GMT-0800 (PST)
230002,2007,GMC,Acadia,SLE-1,SUV,automatic,1gker13757j137311,ga,4.2,99322.0,blue,black,kern automotive group inc,8900,10000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
230003,2007,GMC,Acadia,SLT-2,SUV,automatic,1gker33777j146734,oh,4.2,94572.0,blue,gray,wells fargo dealer services,11050,11600,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
230004,2007,GMC,Acadia,SLT-1,SUV,automatic,1gkev23727j153404,nc,3.7,121332.0,white,black,boykin motors of johnston co inc,9575,9000,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
230005,2007,Ford,Fusion,SE,Sedan,automatic,3fahp07z57r135140,ca,2.8,107200.0,red,gray,lease remarketing services inc,4225,4400,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
230006,2007,Ford,Focus,ZX3 S,Hatchback,automatic,1fafp31n77w105231,pr,2.0,126874.0,blue,gray,oriental bank,1850,1200,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
230007,2007,Ford,Taurus,SE Fleet,Sedan,automatic,1fafp53u67a111065,ca,1.9,113654.0,silver,gray,800 loan mart,2625,1000,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
230008,2007,Ford,Fusion,SE,Sedan,automatic,3fahp07z37r145150,wi,3.3,158367.0,gray,black,dt credit corporation,2850,2600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
230009,2007,Ford,Altima,Base,Sedan,automatic,2fahp71w47x142766,fl,2.0,142885.0,white,gray,palm beach county sheriff's office,1375,1900,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
230010,2007,Ford,Taurus,SEL Fleet,Sedan,automatic,1fafp56u67a191527,tx,1.7,97348.0,white,gray,dt credit corporation,3400,2600,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
230011,2007,Ford,Ranger,XLT,SuperCab,automatic,1ftzr45e87pa21110,md,2.5,179862.0,red,black,wells fargo dealer services,3650,4300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
230012,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fahp34n27w143518,ca,1.9,80234.0,red,black,wells fargo dealer services,3850,3700,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
230013,2007,Ford,Taurus,SE Fleet,Sedan,automatic,1fafp53u17a111636,tx,2.7,113521.0,green,gray,regional acceptance corporation / greensboro,2625,1800,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
230014,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fafp34n07w215601,ga,3.7,137725.0,silver,—,toyota of greenville,2400,3500,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
230015,2007,GMC,Acadia,SLE-1,SUV,automatic,1gker13797j161563,tx,3.1,85931.0,silver,gray,chrysler capital,9825,9700,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
230016,2007,Honda,Fit,Sport,Hatchback,automatic,jhmgd386x7s027880,ca,2.1,131535.0,silver,black,santander consumer,4075,5700,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
230017,2007,Honda,Civic,EX,Sedan,automatic,1hgfa16877l061253,pa,2.8,170715.0,blue,gray,manheim philadelphia,4775,2500,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
230018,2007,Honda,CR-V,LX,SUV,automatic,jhlre38377c012098,fl,3.8,162910.0,gold,beige,auto sails inc,6400,7100,Tue Feb 03 2015 08:00:00 GMT-0800 (PST)
230019,2007,GMC,Yukon XL,Denali,SUV,automatic,1gkfk66867j378756,ga,2.6,120592.0,black,beige,nalley infiniti decatur,13600,14600,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
230020,2007,Honda,Fit,Base,Hatchback,automatic,jhmgd38457s030586,nj,2.0,44707.0,blue,gray,gs autoplex llc,6375,5000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
230021,2007,Honda,Accord,Special Edition V-6,Sedan,automatic,1hgcm66447a038464,ca,2.4,147237.0,gray,gray,credit acceptance corp/vrs/southfield,4675,5600,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
230022,2007,Honda,Accord,EX-L,Sedan,automatic,1hgcm56897a112054,nj,3.4,126870.0,silver,gray,hamilton honda,6925,6850,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
230023,2007,Honda,Civic,Si,Sedan,manual,2hgfa55587h702003,nc,1.8,103715.0,black,black,us bank,7850,2300,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
230024,2007,Honda,CR-V,LX,SUV,automatic,jhlre38337c041954,tx,3.2,188292.0,silver,black,tdaf remarketing,5550,5900,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
230025,2007,Honda,Accord,Special Edition V-6,Sedan,automatic,1hgcm66447a096834,wi,2.7,75622.0,blue,gray,gm financial,7850,7500,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
230026,2007,GMC,Yukon,SLE,SUV,automatic,1gkfk13097r134599,nc,2.4,278110.0,gray,black,hendrick kia of concord,7925,6000,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
230027,2007,Honda,Accord,Hybrid,Sedan,automatic,jhmcn36557c001722,ca,1.9,93769.0,silver,black,kal motors,6500,7300,Wed Feb 18 2015 03:30:00 GMT-0800 (PST)
230028,2007,Honda,Civic,Si,Sedan,manual,2hgfa55567h701867,ny,1.9,121992.0,blue,black,stream llc dba stream remarketing solutions,7150,7200,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
230029,2007,GMC,Sierra 1500,Work Truck,Extended Cab,automatic,2gtek19c771723801,nc,2.9,94744.0,silver,gray,hendrick buick gmc cadillac,7450,11400,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
230030,2007,GMC,Yukon,SLE,SUV,automatic,1gkfk13017r255059,ca,2.8,123171.0,gray,beige,wells fargo dealer services,12100,12400,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
230031,2007,Honda,CR-V,EX-L,SUV,automatic,jhlre48757c093272,co,3.3,98207.0,blue,gray,wells fargo dealer services,10100,11900,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
230032,2007,Honda,Civic,LX,Coupe,automatic,2hgfg12667h561601,fl,2.0,64446.0,black,gray,remarketing by ge/space coast credit union,6650,3900,Tue Feb 03 2015 01:33:00 GMT-0800 (PST)
230033,2007,Honda,Civic,EX,Coupe,automatic,2hgfg12887h539147,ca,2.8,155207.0,gray,gray,consumer portfolio services,4400,4300,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
230034,2007,Honda,CR-V,EX-L,SUV,automatic,jhlre48717c122055,tn,3.1,120049.0,black,black,remarketing by ge/suntrust bank,9125,9600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
