num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
231999,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er343126,tx,4.0,29163.0,black,tan,pv holding inc/gdp,18450,18900,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
232000,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3er124680,tx,4.9,36178.0,white,black,enterprise vehicle exchange/dfw airport,17500,18000,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
232001,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer180034,tn,3.9,34497.0,gray,black,avis corporation,17800,18200,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
232002,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg8er125467,tx,3.9,37394.0,gold,tan,enterprise vehicle exchange/dfw airport,17400,18200,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
232003,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0er256408,co,3.0,29093.0,white,black,hertz corporation/gdp,18600,18800,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
232004,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg4er247601,ne,4.3,35364.0,burgundy,black,enterprise vehicle exchange/davenport,17650,18200,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
232005,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer325699,tx,4.0,30256.0,white,black,pv holding inc/gdp,18300,18000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
232006,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6er318863,fl,4.0,30064.0,silver,black,pv holding inc/gdp,18300,17500,Mon Feb 02 2015 04:30:00 GMT-0800 (PST)
232007,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg1er395947,fl,4.0,30320.0,blue,black,pv holding inc/gdp,18300,17600,Mon Feb 02 2015 04:30:00 GMT-0800 (PST)
232008,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3er357832,fl,4.0,30926.0,silver,black,pv holding inc/gdp,18400,18400,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
232009,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0er256151,co,3.0,28909.0,white,black,hertz corporation/gdp,18400,18500,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
232010,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3er255737,fl,4.0,28697.0,white,black,hertz corporation/gdp,18600,19000,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
232011,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg1er292981,co,3.0,30091.0,gold,black,pv holding inc/gdp,18500,18500,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
232012,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg8er126120,ne,4.4,34462.0,white,black,enterprise vehicle exchange/davenport,17750,18500,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
232013,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg1er215026,tx,4.3,36740.0,black,black,avis corporation,17450,19100,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
232014,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer160298,fl,3.1,36845.0,red,black,enterprise veh exchange/rental,17450,17600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
232015,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0er343175,fl,4.0,31082.0,red,black,pv holding inc/gdp,18200,17600,Mon Feb 02 2015 04:30:00 GMT-0800 (PST)
232016,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6er325831,fl,4.0,29184.0,silver,black,pv holding inc/gdp,18400,17700,Mon Feb 02 2015 04:30:00 GMT-0800 (PST)
232017,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg5er255948,fl,4.0,29418.0,gold,black,hertz corporation/gdp,18400,17700,Mon Feb 02 2015 04:30:00 GMT-0800 (PST)
232018,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0er393865,az,4.0,31061.0,white,black,pv holding inc/gdp,18200,17800,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
232019,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer256609,fl,4.0,29358.0,gold,black,hertz corporation/gdp,18550,18400,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
232020,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7er292225,fl,4.0,32031.0,black,black,pv holding inc/gdp,18100,17600,Mon Feb 02 2015 04:30:00 GMT-0800 (PST)
232021,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0er183234,mi,3.9,41139.0,red,black,enterprise veh exchange/rental,17000,17500,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
232022,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2er307097,fl,4.0,28775.0,gold,black,hertz corporation/gdp,18600,19600,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
