num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
232999,2003,BMW,3 Series,325Ci,Coupe,manual,wbabn33403pc99981,nc,2.7,126783.0,blue,tan,atlantic coast remarketing inc/tasi,3750,3900,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
233000,2003,BMW,X5,3.0i,SUV,automatic,5uxfa53553lv87082,nj,3.7,122786.0,black,gray,bell audi,4900,5000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
233001,2003,Audi,A4,1.8T quattro,Sedan,automatic,waulc68e53a272207,nv,1.0,157525.0,blue,gray,automotive remarketing inc,2275,750,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
233002,2004,Volvo,S40,2.4i,Sedan,automatic,yv1ms382142018871,ca,2.0,227484.0,blue,gray,rent one rent a car,1300,500,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
233003,2003,Acura,RSX,Base,Hatchback,automatic,jh4dc54863c006215,md,4.3,106885.0,silver,gray,jim coleman cadillac infiniti,4350,5000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
233004,2003,BMW,5 Series,540i,Sedan,automatic,wbadn63403gn89614,ma,2.2,138677.0,black,black,clay nissan of newton inc.,3250,1300,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
233005,2003,Audi,A4,1.8T,Convertible,automatic,wauac48h13k028747,ga,3.4,100685.0,beige,beige,mall of georgia mazda,2800,3500,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
233006,2003,Buick,Century,Base,Sedan,automatic,2g4ws52j131173408,ca,1.9,83111.0,white,gray,dealers first financial llc,2575,1700,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
233007,2003,Acura,TL,3.2,Sedan,automatic,19uua56613a004453,il,1.0,1.0,beige,—,jbi autos,4500,1200,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
233008,2004,Volvo,S60,2.4,Sedan,automatic,yv1rs61t342343323,nj,1.9,215230.0,blue,tan,lester glenn buick,1125,900,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
233009,2003,BMW,5 Series,530i,Sedan,automatic,wbadt63463ck42639,ca,3.5,176342.0,blue,gray,prestige auto wholesale inc,2300,2500,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
233010,2003,Audi,A4,1.8T quattro,Sedan,automatic,waulc68e13a344326,ny,1.9,125506.0,blue,gray,new city funding,3325,650,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
233011,2003,BMW,5 Series,530i,Sedan,automatic,wbadt63473ck40110,wi,2.8,120157.0,silver,black,dt credit corporation,3500,3100,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
233012,2004,Volvo,XC90,T6,SUV,automatic,yv1cz91h641125137,ca,3.4,98241.0,red,tan,nvp remarketing,5125,6100,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
233013,2004,Volvo,XC90,T6,SUV,automatic,yv1cz91h441050289,fl,2.7,144926.0,blue,beige,east coast financial,3500,3600,Fri Feb 13 2015 02:50:00 GMT-0800 (PST)
233014,2003,BMW,7 Series,745Li,Sedan,automatic,wbagn63463dr13972,mi,3.5,118885.0,gold,beige,credit acceptance corp/vrs/southfield,5450,5500,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
233015,2003,Buick,Century,Base,Sedan,automatic,2g4ws52j631215197,va,2.0,100311.0,gray,tan,langley fcu,2250,900,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
233016,2003,BMW,X5,3.0i,SUV,automatic,5uxfa53593lp26663,ga,2.6,153055.0,silver,gray,nalley lexus smyrna,4150,3500,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
233017,2003,BMW,5 Series,540i,Sedan,automatic,wbadn63453gs56650,fl,2.9,95855.0,silver,black,coggin bmw treasure coast,5300,7200,Tue Feb 03 2015 10:00:00 GMT-0800 (PST)
233018,2003,BMW,3 Series,325i,Sedan,automatic,wbaet37443nj32884,fl,1.9,176015.0,green,tan,coggin honda of orlando,1800,1800,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
233019,2003,BMW,3 Series,325i,Sedan,automatic,wbaaz33473ph33524,ca,2.0,124926.0,gray,black,purple heart services inc,3300,1500,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
233020,2004,Volvo,S80,2.5T,Sedan,automatic,yv1th59h341373670,wi,1.9,123702.0,beige,tan,napletons hyundai of aurora,2775,2400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
233021,2003,Audi,A4,1.8T quattro,Sedan,automatic,waulc68e23a358123,mo,1.0,98784.0,silver,black,tdaf remarketing,3925,3700,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
233022,2003,BMW,X5,3.0i,SUV,automatic,5uxfa53523lw23701,mi,2.3,157675.0,blue,tan,credit acceptance corp/vrs/southfield,4025,3500,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
233023,2003,Acura,MDX,Touring,SUV,automatic,2hnyd186x3h516950,nj,1.9,230055.0,blue,beige,"jpmorgan chase bank,n.a.",2725,900,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
233024,2003,Audi,A6,3.0 quattro,Sedan,automatic,wault64b23n017311,mn,3.6,204010.0,silver,black,"jpmorgan chase bank,n.a.",1625,1500,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
233025,2003,Buick,Century,Base,Sedan,automatic,2g4ws52jx31118326,va,1.9,1.0,gray,gray,dt inventory,3575,750,Thu Feb 05 2015 01:05:00 GMT-0800 (PST)
233026,2003,BMW,3 Series,330Ci,Convertible,automatic,wbabs53443ju99153,ga,1.9,135045.0,black,gray,santander consumer,3700,4000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
233027,2003,BMW,3 Series,330i,Sedan,automatic,wbaev53443km32440,ga,3.9,189829.0,white,black,nalley lexus roswell,1975,3500,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
