num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
233999,2001,Pontiac,Grand Am,GT,Sedan,automatic,1g2nw52e61c122246,mi,4.5,100380.0,red,gray,kevins marysville auto sales inc,1825,3000,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
234000,2001,Saturn,S-Series,SL2,Sedan,automatic,1g8zk52731z241891,mo,2.8,119574.0,black,gray,tdaf remarketing,1050,1300,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
234001,2001,Toyota,ECHO,Base,Coupe,automatic,jtdat123910144544,fl,2.2,142169.0,silver,gray,autonation toyota winter park,1500,2000,Tue Feb 03 2015 10:00:00 GMT-0800 (PST)
234002,2000,BMW,3 Series,323i,Sedan,automatic,wbaam3345yca89325,wi,1.9,139179.0,blue,black,patrick european llc,1900,2000,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
234003,2000,Acura,RL,3.5,Sedan,automatic,jh4ka9651yc002992,nj,1.9,156363.0,green,beige,wells fargo dealer services,1850,800,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
234004,2000,Buick,Regal,GS,Sedan,automatic,2g4wf5518y1198751,va,1.9,203207.0,green,gray,toyota of glen burnie,1200,350,Thu Feb 05 2015 01:05:00 GMT-0800 (PST)
234005,2001,Volkswagen,Passat,GLS 1.8T,Wagon,manual,wvwvd63bx1e264177,nc,3.6,98916.0,silver,gray,crossroads nissan of hickory inc,1350,2500,Mon Feb 02 2015 01:00:00 GMT-0800 (PST)
234006,2001,Volvo,V70,2.4M,Wagon,automatic,yv1sw61r912079093,nc,2.9,136273.0,silver,gray,hendrick chevrolet,1475,2700,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
234007,2001,Volvo,V40,Base,Wagon,automatic,yv1vw295x1f704763,ca,1.9,75867.0,yellow,tan,aaero sweet company,3200,3300,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
234008,2000,BMW,X5,4.4i,SUV,automatic,wbafb3348ylh00394,nj,3.4,116030.0,beige,beige,peddle llc,3300,2600,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
234009,2001,Volvo,S60,2.4,Sedan,automatic,yv1rs61r512033495,nc,2.2,170663.0,black,beige,cbs mitsubishi durham,1075,1100,Mon Feb 02 2015 09:00:00 GMT-0800 (PST)
234010,2001,Volkswagen,Jetta,GLS VR6,Sedan,automatic,3vwsg69m51m130008,ga,1.9,73000.0,blue,gray,nalley nissan decatur,1375,1400,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
234011,2001,Volkswagen,Jetta,GLX VR6,Sedan,automatic,3vwtg29m31m054334,md,2.1,174557.0,red,black,honda of tysons corner,1025,300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
234012,2001,Toyota,Tundra,SR5,Access Cab,automatic,5tbrt34151s143018,ca,2.0,109557.0,silver,silver,lobel financial corp,5175,4300,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
234013,2000,BMW,7 Series,740iL,Sedan,automatic,wbagh834xydp06883,nc,1.9,132151.0,—,gray,hendrick bmw,2000,750,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
234014,2000,BMW,5 Series,528i,Sedan,automatic,wbadm6344ygu07956,ca,2.1,120318.0,black,tan,credit acceptance corp/vrs/southfield,1950,500,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
234015,2001,Volkswagen,Passat,GLS 1.8T,Sedan,automatic,wvwac63bx1p022219,nj,2.6,85371.0,blue,gray,ht automotive llc,1250,1100,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
234016,2001,Volkswagen,Passat,GLX V6 4Motion,Sedan,automatic,wvwth63b81p266820,ca,1.9,86101.0,blue,gray,concord toyota,3025,2300,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
234017,2000,Audi,A4,2.8 quattro,Sedan,automatic,waudh28d3ya188447,ga,1.9,171217.0,silver,beige,automobile acceptance corp,1400,900,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
234018,2000,Acura,RL,3.5,Sedan,automatic,jh4ka965xyc009911,va,1.9,243399.0,black,gray,browns arlington honda,1025,300,Thu Feb 05 2015 01:05:00 GMT-0800 (PST)
234019,2001,Volvo,S80,T6,Sedan,automatic,yv1ts90d811155674,nc,1.9,127715.0,white,beige,berglund luxury auto of roanoke,975,1300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
234020,2001,Volkswagen,Passat,GLX V6 4Motion,Sedan,automatic,wvwth63b61e183320,nj,2.4,99795.0,black,beige,lester glenn buick,2750,1900,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
234021,2000,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54y3yu218080,tn,3.5,106184.0,white,beige,wholesale inc # 2,1625,2300,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
234022,2000,BMW,3 Series,323i,Sedan,manual,wbaam3335ykc66369,md,2.8,201224.0,black,black,darcars chrysler jeep of rockville,1200,700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
234023,2000,Buick,Park Avenue,Base,Sedan,automatic,1g4cw52k4y4113277,md,2.7,148097.0,white,gray,the hertz corporation,1225,1400,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
234024,2000,BMW,Z3,2.3,Convertible,manual,wbach9340ylf89862,ca,2.5,152829.0,silver,black,time finance co,2700,3200,Wed Feb 25 2015 04:05:00 GMT-0800 (PST)
234025,2001,Volvo,S40,Base,Sedan,automatic,yv1vs29591f645751,ca,2.8,152102.0,white,tan,aaero sweet company,800,1050,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
234026,2000,Chevrolet,Silverado 1500,Base,Regular Cab,automatic,1gcec14w4ye170278,nc,2.0,224446.0,white,gray,hendrick buick gmc cadillac,1300,1600,Mon Feb 02 2015 01:30:00 GMT-0800 (PST)
234027,2001,Volvo,S80,2.9,Sedan,automatic,yv1ts94d111194312,md,2.6,107447.0,green,tan,meridian remarketing,1625,1300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
234028,2001,Volvo,V70,XC,Wagon,automatic,yv1sz58dx11012682,il,1.0,141732.0,black,beige,purple heart services inc,1850,1200,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
234029,2001,Volvo,S80,T6,Sedan,automatic,yv1ts90d811194880,pa,2.1,92112.0,blue,gray,cannon motors inc,1200,1800,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
234030,2000,Buick,Park Avenue,Base,Sedan,automatic,1g4cw52kxy4115745,ga,1.9,160896.0,gray,tan,toyota of greenville,1075,1300,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
234031,2001,Volkswagen,Passat,GLX V6,Sedan,automatic,wvwrh63b01p143605,ca,1.9,165390.0,black,black,huntington beach ford,1400,950,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
234032,2000,Acura,TL,3.2,Sedan,automatic,19uua5661ya040733,md,1.9,164990.0,green,beige,gateway subaru,1475,1300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
234033,2001,Volvo,S40,Base,Sedan,automatic,yv1vs29561f671787,ca,3.0,118766.0,black,tan,win win auto sales inc,1150,300,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
234034,2000,Ford,Altima,Base,Sedan,automatic,1gcfc29uxyz135657,tn,1.9,173296.0,red,gray,wholesale inc # 2,4000,5400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
234035,2000,Dodge,Stratus,ES,Sedan,automatic,1b3ej56h0yn139770,ca,1.9,133392.0,gold,beige,credit acceptance corp/vrs/southfield,450,900,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
234036,2000,Chrysler,Cirrus,LXi,Sedan,automatic,1c3ej56h3yn255063,va,3.3,109142.0,white,gray,browns arlington honda,700,2000,Thu Feb 05 2015 01:05:00 GMT-0800 (PST)
