num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
235999,2014,Hyundai,Tucson,SE,SUV,automatic,km8jucagxeu826887,pa,4.1,26364.0,blue,gray,enterprise veh exchange/rental,19400,19300,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
236000,2014,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac9eh921348,fl,4.3,19965.0,black,black,hyundai motor finance,15200,16000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
236001,2014,Jeep,Compass,Sport,SUV,automatic,1c4njdbb0ed773821,il,4.4,26017.0,red,gray,"ec sales,llc",15950,16000,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
236002,2014,Jeep,Compass,Sport,SUV,automatic,1c4njdbb2ed879557,mi,4.0,14286.0,gray,black,enterprise veh exchange/rental,16800,16700,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
236003,2014,Jeep,Compass,Sport,SUV,automatic,1c4njdbb2ed520354,mo,4.3,37062.0,black,black,avis corporation,15400,15000,Wed Feb 11 2015 02:45:00 GMT-0800 (PST)
236004,2014,Jeep,Compass,Sport,SUV,automatic,1c4njdbb0ed728121,mo,4.7,24701.0,—,black,enterprise veh exchange/rental,16100,16200,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
236005,2014,Jeep,Compass,Limited,SUV,automatic,1c4njdcb2ed828848,mo,4.3,25485.0,black,black,kc landsmen ars,19350,19300,Wed Feb 25 2015 10:00:00 GMT-0800 (PST)
236006,2014,Infiniti,QX80,Base,SUV,automatic,jn8az2nc4e9351882,fl,4.9,13474.0,white,black,fifth third bank,57900,59600,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
236007,2014,Jeep,Compass,Latitude,SUV,automatic,1c4njdeb1ed871378,mo,4.3,26468.0,silver,black,kc landsmen ars,16750,17100,Tue Feb 17 2015 16:00:00 GMT-0800 (PST)
236008,2014,Jeep,Cherokee,Latitude,SUV,automatic,1c4pjlcb1ew225543,tn,4.2,19404.0,white,black,enterprise veh exchange/rental,18450,18600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
236009,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap1em674577,fl,3.6,14557.0,black,beige,nissan infiniti lt,29000,27800,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
236010,2014,Jeep,Compass,Sport,SUV,automatic,1c4njcba4ed818728,il,5.0,6404.0,white,black,chrysler capital,14300,15200,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
236011,2014,Jeep,Cherokee,Sport,SUV,automatic,1c4pjmab0ew252595,fl,4.0,16874.0,black,gray,gsp transportation inc,17700,18800,Tue Feb 03 2015 16:00:00 GMT-0800 (PST)
