num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
236999,2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj7em365842,ga,3.8,33851.0,white,black,avis corporation,12350,12200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
237000,2014,Toyota,Prius v,Three,Wagon,automatic,jtdzn3eu8e3323448,tn,5.0,4814.0,—,gray,wells fargo dealer services,21200,21200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
237001,2014,Toyota,Yaris,SE,Hatchback,automatic,jtdktud32ed579987,pr,4.7,8135.0,gray,gray,oriental bank,13050,13500,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
237002,2014,Toyota,RAV4,LE,SUV,automatic,2t3zfrev2ew093251,tn,4.5,16354.0,red,black,enterprise veh exchange/rental,19150,19500,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
237003,2014,Volkswagen,Jetta,S,Sedan,automatic,3vw2k7aj5em415450,tx,4.2,8600.0,gray,black,chrysler capital,12300,13600,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
237004,2014,Volkswagen,GTI,Wolfsburg Edition,Hatchback,manual,wvwgd7aj4ew000042,ga,4.9,15957.0,—,black,"vw credit, inc/pilot",20300,19200,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
237005,2014,Toyota,RAV4,LE,SUV,automatic,2t3bfrev8ew159948,mi,4.2,23981.0,black,black,enterprise veh exchange/rental,19550,20000,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
237006,2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a33ec045482,ca,3.8,33475.0,white,black,avis corporation,14500,14900,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
237007,2014,Toyota,Yaris,SE,Hatchback,manual,jtdktud36ed582052,pr,3.7,8612.0,white,black,reliable financial services inc,13050,11000,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
237008,2014,Volkswagen,Jetta,S,Sedan,automatic,3vw2k7aj9em256514,ga,4.9,11193.0,gray,black,vw credit prequalified,12150,14000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
237009,2014,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du8e0392533,fl,4.9,702.0,red,beige,capital one auto finance,18650,17500,Wed Feb 04 2015 01:10:00 GMT-0800 (PST)
237010,2014,Volkswagen,Jetta,S,Sedan,manual,3vw1k7aj9em408304,nj,4.2,20190.0,gray,gray,"jpmorgan chase bank,n.a.",11650,9400,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
237011,2014,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,5tdkk3dc8es446524,ga,3.8,31942.0,gray,gray,avis corporation,21600,22100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
237012,2014,Volkswagen,Jetta,S,Sedan,automatic,3vw2k7aj1em232899,ca,2.9,30159.0,gray,black,"consolidated asset recovery systems, inc.",11350,9600,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
237013,2014,Volkswagen,Jetta,S,Sedan,automatic,3vw2k7aj9em406024,co,2.0,15074.0,black,black,ally,12000,9600,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
237014,2014,Toyota,RAV4,XLE,SUV,automatic,jtmwfrev8ej020242,fl,4.5,4340.0,white,tan,world omni financial corporation,22200,23200,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
237015,2014,Toyota,Tacoma,V6,Double Cab,automatic,5tflu4en3ex094080,ga,4.9,19274.0,black,gray,world omni financial corporation,28400,28300,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
237016,2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17ajxem229978,tx,3.5,32536.0,white,black,avis corporation,12550,12800,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
237017,2014,Volkswagen,Passat,S PZEV,Sedan,automatic,1vwap7a38ec004284,ga,4.4,27379.0,white,black,"velocity auto broker, inc",12650,11500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
237018,2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a3xec067012,tn,2.7,32755.0,gray,black,avis corporation,14300,13500,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
237019,2014,Volkswagen,Jetta,SE,Sedan,automatic,3vwd07aj2em362611,ga,5.0,1106.0,white,beige,vw credit prequalified,14200,17600,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
237020,2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj2em229439,mo,4.4,39323.0,white,black,avis corporation,12350,12200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
237021,2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj1em381373,mo,3.4,31455.0,black,black,avis corporation,12450,12300,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
237022,2014,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du1e1787941,ca,4.4,40136.0,gray,gray,avis rac/san leandro,14450,16800,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
