num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
238999,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f26dl267306,nc,4.5,46793.0,white,gray,ge fleet services for itself/servicer,10150,9800,Tue Feb 10 2015 01:15:00 GMT-0800 (PST)
239000,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k22dl267583,wa,4.6,45910.0,silver,gray,avis corporation,11000,11200,Wed Feb 04 2015 05:00:00 GMT-0800 (PST)
239001,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f22dl315044,ne,2.9,55028.0,silver,black,dtg operations inc,9725,9600,Thu Feb 12 2015 04:15:00 GMT-0800 (PST)
239002,2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0d9xdr183417,il,4.8,38051.0,black,gray,"ford motor credit company,llc",19850,20600,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
239003,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f27dl265371,ca,4.1,42944.0,white,black,enterprise vehicle exchange/orange,10300,11000,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
239004,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f24dl205046,co,3.4,63120.0,silver,black,the hertz corporation,9425,9300,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
239005,2013,Ford,Fusion,S,Sedan,automatic,3fa6p0g70dr234983,co,4.9,19388.0,black,gray,"ford motor credit company,llc pd",13450,13200,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
239006,2013,Ford,Fusion Energi,Titanium,Sedan,automatic,3fa6p0su1dr295904,ca,3.5,29090.0,blue,black,"ford motor credit company,llc",21100,20200,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
239007,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f29dl164977,pa,3.7,50828.0,silver,black,ars/merchants automotive group,10000,9400,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
239008,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f26dl315001,mn,4.1,48346.0,white,black,dtg operations inc,10050,9700,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
