num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
240999,2002,Volkswagen,Passat,GLS 1.8T,Wagon,automatic,wvwvd63bx2e263287,ca,2.2,153952.0,gray,gray,premium auto wholesale,1625,1600,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
241000,2002,Saturn,L-Series,L100,Sedan,automatic,1g8js54f52y593427,ca,2.2,146046.0,white,gray,aaero sweet company,1225,1500,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241001,2002,Toyota,Sienna,XLE,Minivan,automatic,4t3zf13c12u493994,ca,2.8,129581.0,gold,beige,onemain rem/delta dealer,2950,4900,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
241002,2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30g025026009,ca,2.7,134017.0,white,beige,premium auto wholesale,4850,5100,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
241003,2001,Lexus,LS 430,Base,Sedan,automatic,jthbn30f810002675,ca,2.9,168225.0,white,white,skyhigh remarketing inc,5525,7500,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
241004,2001,Honda,Odyssey,EX,Minivan,automatic,2hkrl18651h529557,ca,1.9,140950.0,gold,beige,800 loan mart,1850,1400,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
241005,2002,Lexus,IS 300,Base,Sedan,automatic,jthbd192320063909,ca,2.7,93639.0,gray,black,sullivan luxury cars llc,5075,6000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
241006,2002,Toyota,Highlander,Limited,SUV,automatic,jtehf21a320097357,ca,2.9,179488.0,gold,beige,car trackers,5850,9000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
241007,2001,Lexus,IS 300,Base,Sedan,automatic,jthbd182310023488,ca,3.5,184584.0,white,black,huntington beach ford,2900,3900,Wed Feb 04 2015 04:15:00 GMT-0800 (PST)
241008,2001,Buick,Regal,LS,Sedan,automatic,2g4wb55k511291754,ca,2.3,76426.0,gold,beige,tdaf remarketing,2150,3200,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
241009,2001,Honda,Civic,LX,Sedan,automatic,2hges16551h617272,ca,2.5,181802.0,gold,tan,aaero sweet company,1500,2500,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241010,2001,GMC,Yukon XL,1500 SLE,SUV,automatic,3gkec16t11g131024,ca,1.9,147970.0,beige,gray,axcess financial,2775,2000,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
241011,2001,Ford,Focus,LX,Sedan,automatic,1fafp33p01w294777,ca,1.9,152219.0,gold,gray,onemain rem/alliance motor cars,825,700,Wed Feb 11 2015 04:05:00 GMT-0800 (PST)
241012,2001,Mazda,MX-5 Miata,Base,Convertible,automatic,jm1nb353210214123,ca,2.1,117741.0,blue,tan,low gos used cars,2950,2300,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
241013,2001,Lincoln,LS,Base,Sedan,automatic,1lnhm87ax1y603475,ca,1.9,84861.0,off-white,beige,800 loan mart,1575,1650,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
241014,2000,Lexus,RX 300,Base,SUV,automatic,jt6hf10u7y0151561,ca,2.4,184300.0,silver,silver,prime automart inc,3325,3750,Fri Feb 13 2015 07:00:00 GMT-0800 (PST)
241015,2000,Mercury,Cougar,V6,Hatchback,manual,1zwht61l9y5617927,ca,2.6,174364.0,silver,black,aaero sweet company,650,700,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241016,2000,Honda,CR-V,LX,SUV,automatic,jhlrd2840yc015318,ca,1.7,163022.0,silver,gray,premium auto wholesale,2475,1050,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
241017,2000,Nissan,Xterra,SE,SUV,automatic,5n1ed28t3yc592813,ca,1.9,220460.0,black,gray,aaero sweet company,1525,1900,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241018,2000,Ford,Altima,Base,Sedan,automatic,1gtdm19w0yb528639,ca,2.2,41574.0,white,gray,ge fleet services for itself/servicer,3425,4250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
241019,2000,Ford,Altima,Base,Sedan,automatic,1j4gw58n0yc360187,ca,2.9,144355.0,gray,black,800 loan mart,1825,1300,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241020,2000,Lincoln,Navigator,Base,SUV,automatic,5lmeu27a4ylj36042,ca,2.8,86674.0,silver,gray,onemain rem/alliance motor cars,1900,3200,Wed Feb 11 2015 04:05:00 GMT-0800 (PST)
241021,2000,Ford,Altima,Base,Sedan,automatic,1j4gw58nxyc339220,ca,1.9,138562.0,green,beige,meridian remarketing,2050,1800,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
241022,2000,Ford,Taurus,LX,Sedan,automatic,1fafp52u6yg286576,ca,2.7,130232.0,white,silver,aaero sweet company,925,1600,Wed Feb 11 2015 03:30:00 GMT-0800 (PST)
241023,2001,Toyota,Celica,GT-S,Hatchback,manual,jtddy38t710042709,ca,2.6,97561.0,blue,black,symbolic motor cars,3900,5600,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
241024,2001,Nissan,Sentra,XE,Sedan,automatic,3n1cb51dx1l481808,ca,1.9,233582.0,gray,gray,anaheim pre-owned cars,1025,600,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
241025,2001,Mercedes-Benz,M-Class,ML320,SUV,automatic,4jgab54e41a251662,ca,2.7,167784.0,silver,gray,aaero sweet company,1850,2050,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241026,2000,Honda,Accord,SE,Sedan,automatic,1hgcg669xya098978,ca,2.0,1.0,gold,beige,800 loan mart,2975,600,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
241027,2001,Toyota,Tacoma,Base,Regular Cab,manual,5tenl42n41z756333,ca,2.4,163098.0,white,brown,california auto exchange,2975,4900,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
241028,2000,Subaru,Outback,Base,Wagon,automatic,4s3bh6650y7605923,ca,1.9,227292.0,green,beige,sullivan luxury cars llc,950,600,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
241029,1999,Volvo,S80,2.9,Sedan,automatic,yv1ts97d5x1017590,ca,2.2,116220.0,gold,beige,advantage car exchange,675,1050,Fri Feb 06 2015 07:00:00 GMT-0800 (PST)
241030,1997,Ford,Altima,Base,Sedan,automatic,1gtek19r4ve510806,ca,2.3,167843.0,silver,gray,aaero sweet company,2325,1350,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241031,1998,Porsche,Boxster,Base,Convertible,manual,wp0ca2987wu625494,ca,3.3,70258.0,red,gray,walters auto sales/service inc,5650,6500,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
241032,1999,Chevrolet,Silverado 1500,Base,Regular Cab,automatic,1gcec14w3xe251545,ca,2.0,305490.0,white,black,800 loan mart,1250,400,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
241033,1999,BMW,Z3,2.3,Convertible,automatic,4usch9333xlg00078,ca,3.9,98845.0,gray,black,california auto exchange,4250,4300,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
241034,1998,BMW,7 Series,740i,Sedan,automatic,wbagf8321wdl53905,ca,1.9,177144.0,black,black,800 loan mart,1025,700,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241035,1998,Ford,Mustang,Base,Coupe,automatic,1fafp4046wf224773,ca,1.9,216713.0,black,gray,800 loan mart,925,500,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241036,1998,Honda,CR-V,LX,SUV,automatic,jhlrd2842wc002440,ca,2.5,185401.0,silver,gray,scott robinson honda,1575,1800,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
241037,1998,Mercedes-Benz,M-Class,ML320,SUV,automatic,4jgab54e8wa026703,ca,2.0,251812.0,white,beige,aaero sweet company,975,1450,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241038,1997,Mitsubishi,Galant,ES,Sedan,automatic,4a3aj56g1ve148491,ca,1.0,226034.0,gray,gray,melody toyota,325,100,Wed Feb 04 2015 07:10:00 GMT-0800 (PST)
241039,1997,Toyota,Camry,LE,Sedan,automatic,jt2bg22k9v0073270,ca,1.9,187217.0,beige,beige,dyson motors,1425,1100,Fri Mar 06 2015 07:00:00 GMT-0800 (PST)
241040,1995,Chevrolet,Impala,SS,Sedan,automatic,1g1bl52p4sr173003,ca,3.0,141562.0,black,gray,tdaf remarketing,3750,3500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
241041,1995,Chevrolet,Blazer,LT,SUV,automatic,1gndt13w1s2136229,ca,2.0,175429.0,red,gray,navy federal credit union,1025,550,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
241042,1996,Ford,Altima,Base,Sedan,automatic,1ftcr14x6tpa79413,ca,2.0,231210.0,green,tan,onemain rem/alliance motor cars,1025,1200,Wed Feb 11 2015 04:05:00 GMT-0800 (PST)
241043,1996,Subaru,Legacy,Outback,Wagon,manual,4s3bg4851t6982814,ca,2.0,161891.0,red,gray,aaero sweet company,900,1200,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241044,1998,Mercedes-Benz,S-Class,S500,Sedan,automatic,wdbga51gxwa393740,ca,2.8,169905.0,black,black,exclusive motors,700,1500,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
241045,1999,Honda,Civic,EX,Sedan,automatic,2hgej8646xh567736,ca,1.9,149347.0,green,gray,800 loan mart,1500,1600,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241046,1999,Volkswagen,Passat,GLS 1.8T,Sedan,automatic,wvwma63b6xe385446,ca,2.4,134420.0,black,tan,aaero sweet company,950,750,Wed Feb 04 2015 03:30:00 GMT-0800 (PST)
241047,1993,Ford,Altima,Base,Sedan,automatic,2gcec19k6p1219163,ca,1.0,291264.0,blue,gray,800 loan mart,950,400,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
241048,2014,Hyundai,Tucson,Limited,SUV,automatic,km8ju3ag4eu894795,ca,4.4,7521.0,red,brown,donlen corporation,22000,22000,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241049,2014,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a41ea107139,ca,4.2,7245.0,white,gray,donlen corporation,26800,25100,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
241050,2014,Hyundai,Elantra GT,Base,Hatchback,automatic,kmhd35lh7eu165546,ca,2.0,22763.0,white,—,enterprise vehicle exchange / tra / rental / tulsa,13100,10800,Wed Feb 04 2015 07:05:00 GMT-0800 (PST)
241051,2014,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad0eu185963,ca,3.9,12749.0,white,gray,donlen corporation,14350,14500,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241052,2014,Kia,Forte,LX,Sedan,automatic,knafx4a6xe5105202,ca,4.1,39501.0,silver,gray,avis corporation,11250,11500,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
241053,2014,Kia,Forte,LX,Sedan,automatic,knafx4a63e5097668,ca,2.7,33713.0,gray,black,avis corporation,11450,11300,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
241054,2014,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb4eg292247,ca,4.3,5830.0,—,black,mercedes-benz finc wholesale advantage,27400,28500,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
241055,2014,Honda,Accord,LX,Sedan,automatic,1hgcr2f30ea251796,ca,4.6,5031.0,white,beige,onemain rem/m&m auto traders,17400,18400,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241056,2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae8eh515687,ca,2.0,18181.0,gold,beige,enterprise vehicle exchange / tra / rental / tulsa,13100,10700,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
241057,2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am5e5201808,ca,4.1,44108.0,green,black,avis corporation,17700,17500,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
241058,2014,Jeep,Compass,Sport,SUV,automatic,1c4njcbaxed772418,ca,2.0,25910.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,13750,11200,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
241059,2014,Hyundai,Santa Fe Sport,Sport 2.0T,SUV,automatic,5xyzw3la4eg141814,ca,4.8,18540.0,white,brown,donlen corporation,22900,22600,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241060,2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae8eh526317,ca,1.0,16026.0,gray,beige,enterprise vehicle exchange / tra / rental / tulsa,13150,10700,Wed Feb 04 2015 07:05:00 GMT-0800 (PST)
241061,2014,Kia,Cadenza,Premium,Sedan,automatic,knaln4d77e5126313,ca,3.8,40614.0,gold,black,avis corporation,18550,18400,Tue Mar 03 2015 04:45:00 GMT-0800 (PST)
241062,2014,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4ddxeu262839,ca,4.9,7591.0,white,black,donlen corporation,22100,24200,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
241063,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk5eu408835,ca,2.0,12920.0,—,gray,fox rent a car tra,15650,11600,Wed Feb 25 2015 07:05:00 GMT-0800 (PST)
241064,2014,Mercedes-Benz,CLA-Class,CLA250,Sedan,automatic,wddsj4eb0en040781,ca,4.1,26467.0,black,black,billion dodge chrysler jeep,26500,26500,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
241065,2014,Toyota,Corolla,LE,Sedan,automatic,5yfburhe4ep100696,ca,3.9,20389.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13600,13000,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
