num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
241999,2012,Chevrolet,Traverse,LT,SUV,automatic,1gnkvjed6cj291959,pa,3.0,62782.0,white,gray,the hertz corporation,16550,16900,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
242000,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkrfed8cj405543,va,4.2,58907.0,white,gray,lease plan usa,13800,13400,Thu Feb 05 2015 01:20:00 GMT-0800 (PST)
242001,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkrfed3cj317077,oh,4.4,56328.0,gray,gray,lease plan usa,14000,14700,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
242002,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkrfed2cj335991,oh,4.6,69154.0,silver,gray,lease plan usa,13000,13100,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
242003,2012,Chrysler,200,LX,Sedan,automatic,1c3ccbab0cn317997,tx,3.8,57025.0,black,black,dtg operations inc,8825,9200,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
242004,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e44cu111885,tx,4.9,57825.0,black,black,ge fleet services for itself/servicer,12200,13500,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
242005,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkrfed6cj269493,ga,3.9,36409.0,blue,—,young motors llc,15550,16600,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
242006,2012,Chrysler,200,Limited,Sedan,automatic,1c3ccbcb3cn229992,tn,2.7,122726.0,blue,black,santander consumer,8400,6600,Tue Feb 10 2015 02:30:00 GMT-0800 (PST)
242007,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkrfedxcj328819,oh,3.6,50730.0,gray,gray,lease plan usa,14850,14000,Thu Feb 12 2015 02:30:00 GMT-0800 (PST)
242008,2012,Chrysler,200,LX,Sedan,automatic,1c3ccbabxcn273054,tx,3.6,54815.0,silver,black,dtg operations inc,8900,9000,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
242009,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkreed8cj200170,tx,3.2,69620.0,blue,gray,southgate leasing corp,13050,13200,Wed Feb 04 2015 02:05:00 GMT-0800 (PST)
242010,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e47cu122184,wi,3.6,92384.0,white,gray,sutton ford/ge,8625,8200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
242011,2012,Chevrolet,Traverse,LT,SUV,automatic,1gnkrjed0cj339895,fl,2.8,55097.0,white,black,fox rent a car,18100,16500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
242012,2012,Chrysler,200,LX,Sedan,automatic,1c3ccbab3cn320506,fl,2.9,58101.0,silver,black,santander consumer,8775,8900,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
242013,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e48cu125398,tx,4.1,39441.0,blue,black,ge fleet services for itself/servicer,14050,14300,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
242014,2012,Chrysler,200,LX,Sedan,automatic,1c3ccbab7cn273366,fl,2.8,62781.0,black,black,auto depot of orlando inc,8625,9400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
242015,2012,Chevrolet,Tahoe,LT,SUV,automatic,1gnskbe02cr317227,tx,4.3,26436.0,white,black,donlen corporation,30900,33250,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
242016,2012,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb5cn171854,tx,3.2,56114.0,black,black,wheels lt,9000,10400,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
242017,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e46cu124993,tx,4.1,31767.0,black,black,ge fleet services for itself/servicer,14850,14500,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
242018,2012,Chevrolet,Tahoe,LT,SUV,automatic,1gnskbe05cr317593,tx,3.9,66996.0,white,black,donlen corporation,23700,25000,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
242019,2012,Chrysler,200,Limited,Convertible,automatic,1c3bcbfg9cn279671,fl,4.5,9912.0,red,beige,fidelity bank,17800,19800,Wed Feb 04 2015 07:10:00 GMT-0800 (PST)
242020,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e43cu119816,tx,3.4,78526.0,silver,gray,tdaf remarketing,10150,10700,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
242021,2012,Chrysler,200,LX,Sedan,automatic,1c3ccbab8cn321019,pa,3.4,56278.0,white,black,"jpmorgan chase bank,n.a.",9150,8800,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
