num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
243999,2009,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1j4ga59129l787205,oh,4.0,92341.0,—,gray,exceptional motorcar llc,18350,19600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
244000,2009,Jeep,Wrangler,X,SUV,manual,1j4fa24129l778831,fl,4.6,12656.0,orange,gray,prestige financial services,19350,18400,Thu Feb 05 2015 05:25:00 GMT-0800 (PST)
244001,2009,Jeep,Grand Cherokee,Limited,SUV,automatic,1j8hr58p99c540586,va,3.0,89068.0,white,gray,gateway one lending & finance,13950,13300,Thu Feb 05 2015 01:05:00 GMT-0800 (PST)
244002,2009,Kia,Spectra,EX,Sedan,automatic,knafe221395656302,ga,1.9,28842.0,gold,tan,kia motors finance,5100,4100,Tue Feb 03 2015 05:10:00 GMT-0800 (PST)
244003,2009,Jeep,Wrangler,X,SUV,automatic,1j4fa241x9l753255,fl,2.8,91547.0,yellow,gray,tdaf remarketing,14050,14800,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
244004,2009,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1j4ga59149l746039,tn,4.5,48834.0,—,tan,midtown motors,21400,21600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
244005,2009,Infiniti,G37,Base,Convertible,automatic,jnkcv66e99m724729,nc,2.8,51082.0,black,beige,audi northlake,18750,17500,Wed Feb 11 2015 06:00:00 GMT-0800 (PST)
244006,2009,Infiniti,G37,x,Sedan,automatic,jnkcv61f89m353658,pa,4.4,112366.0,silver,black,bergeys chrysler jeep dodge,10450,11100,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
244007,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c79h551614,tx,1.0,118261.0,blue,gray,remarketing by ge/flagship credit acceptance,4425,1100,Thu Feb 05 2015 06:00:00 GMT-0800 (PST)
244008,2009,Kia,Rondo,LX,Wagon,automatic,knafg528797230402,oh,2.7,58170.0,gray,gray,hyundai motor finance,5900,5800,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
244009,2009,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j8gr48k49c531899,ga,2.7,101333.0,white,brown,xtreme automotive group inc,9525,9000,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
244010,2009,Jeep,Wrangler,Unlimited X,SUV,automatic,1j4ga39139l730127,nc,3.9,50929.0,green,gray,north point water sports,20000,20600,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
244011,2009,Kia,Borrego,EX,SUV,automatic,kndjh741095027675,oh,3.7,63884.0,orange,gray,manheim ohio,11650,10800,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
244012,2009,Jeep,Liberty,Sport,SUV,automatic,1j8gp28k79w535406,oh,2.3,108582.0,orange,gray,dt credit corporation,7175,6100,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
244013,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c49h438543,mn,2.0,125995.0,beige,tan,santander consumer,4100,4100,Thu Feb 05 2015 02:45:00 GMT-0800 (PST)
244014,2009,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j8gr48kx9c503069,mo,3.1,119370.0,silver,black,napleton's mid river,8550,8200,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
244015,2009,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j8gs48k69c503669,sc,3.0,172962.0,white,black,pra receivables management llc,5575,6200,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
244016,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c49h567494,nv,2.5,71115.0,blue,beige,wells fargo dealer services,6575,6600,Fri Feb 06 2015 04:00:00 GMT-0800 (PST)
244017,2009,Mazda,CX-7,Grand Touring,SUV,automatic,jm3er29l390218412,pa,3.6,103580.0,silver,black,1 cochran of monroeville,6450,5800,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
244018,2009,Mercedes-Benz,GL-Class,GL450,SUV,automatic,4jgbf71e19a447546,mo,4.2,109474.0,black,black,arizona auto sales inc,17350,18800,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
244019,2009,Lincoln,MKS,Base,Sedan,automatic,1lnhm93r79g626005,in,3.7,86470.0,black,black,santander consumer,11000,11000,Thu Feb 05 2015 02:10:00 GMT-0800 (PST)
244020,2009,MINI,Cooper Clubman,S,Hatchback,manual,wmwmm33539tp74766,ga,3.9,65140.0,red,black,carworks inc,9175,9900,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
244021,2009,Mercedes-Benz,M-Class,ML320 BlueTEC,SUV,automatic,4jgbb25e49a500295,fl,3.9,80073.0,black,gray,manheim orlando,16850,17500,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
244022,2009,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,wdbuf87x29b431103,nj,3.9,73087.0,black,black,bmw of freehold,15200,15600,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
244023,2009,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bk32g091201399,pa,4.6,77080.0,red,black,bergeys chrysler jeep dodge,6525,7000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
244024,2009,Lexus,ES 350,Base,Sedan,automatic,jthbj46g792335712,mo,2.4,52737.0,silver,black,hendrick lexus kansas city,15100,13900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
244025,2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,wddgf54x79f240941,ca,4.0,109767.0,gray,black,simon funding inc,10600,12500,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
244026,2009,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf25499a190542,fl,2.7,102894.0,white,beige,national auto lenders,18800,16300,Wed Feb 04 2015 01:05:00 GMT-0800 (PST)
244027,2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,wddgf54x29r084175,fl,4.1,72069.0,silver,gray,mercedes benz of south orlando,13850,14100,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
244028,2009,MINI,Cooper Clubman,S,Hatchback,automatic,wmwmm33559tp90709,tn,2.0,81070.0,green,brown,manheim central facilitation services group,8275,8400,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
244029,2009,Lincoln,MKS,Base,Sedan,automatic,1lnhm93r59g614368,fl,2.9,50956.0,black,black,napletons nissan,13600,14000,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
244030,2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,wddgf54x99f223199,fl,3.1,101149.0,black,gray,infiniti of tampa,11800,11000,Thu Feb 05 2015 08:20:00 GMT-0800 (PST)
244031,2009,Mercedes-Benz,GL-Class,GL320 BlueTEC,SUV,automatic,4jgbf25e79a500294,fl,4.0,155662.0,blue,gray,westfall auto sales,18550,15550,Tue Mar 03 2015 08:00:00 GMT-0800 (PST)
