num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
244999,2007,Toyota,Camry,XLE,Sedan,automatic,4t1be46k77u619199,fl,4.0,90121.0,silver,gray,toyota of orlando,8500,8900,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
245000,2007,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu11f270033075,fl,3.0,89616.0,blue,black,arcadia chevrolet buick inc.,15250,15400,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
245001,2007,Toyota,Corolla,CE,Sedan,automatic,jtdbr32e870107008,ca,1.9,119171.0,silver,gray,toyota financial services,4550,4100,Wed Feb 04 2015 05:00:00 GMT-0800 (PST)
245002,2007,Toyota,Camry,LE,Sedan,automatic,4t4be46k67r002625,la,3.5,135780.0,beige,beige,lease plan usa,6150,6000,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
245003,2007,Toyota,Sequoia,Limited,SUV,automatic,5tdbt48a97s280609,pa,3.4,124111.0,brown,gray,kelley buick gmc inc,12650,12100,Fri Feb 06 2015 01:15:00 GMT-0800 (PST)
245004,2007,Volkswagen,Jetta,Wolfsburg Edition PZEV,Sedan,automatic,3vweg71k57m066851,nj,2.9,115895.0,blue,gray,22nd street motors inc,4325,2700,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
245005,2007,Toyota,RAV4,Base,SUV,automatic,jtmzd33v076024892,ga,3.1,67423.0,white,gray,sherold salmon motor co inc,7875,8800,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
245006,2007,Toyota,RAV4,Base,SUV,automatic,jtmzd33v876035882,nj,3.7,48453.0,silver,gray,all american ford inc,8275,8900,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
245007,2007,Toyota,Tundra,SR5,CrewMax Cab,automatic,5tbev54107s471797,ga,4.1,92524.0,gray,beige,contemporary auto sales,16050,16900,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
245008,2007,Toyota,Yaris,Base,Sedan,automatic,jtdbt923771035568,fl,3.5,156993.0,gray,beige,dab auto world & leasing,3700,4900,Tue Feb 03 2015 08:00:00 GMT-0800 (PST)
245009,2007,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tbdv58147s459593,wa,2.4,94158.0,black,brown,perfection truck wholesale inc,19750,20700,Wed Feb 04 2015 06:10:00 GMT-0800 (PST)
245010,2007,Toyota,Sienna,XLE Limited 7-Passenger,Minivan,automatic,5tdbk22c17s004975,nc,2.1,247523.0,beige,tan,fleet lease remarketing,2975,5800,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
245011,2007,Toyota,Tundra,SR5,CrewMax Cab,automatic,5tbdv54187s460378,fl,2.5,195047.0,white,beige,firkins chrysler jeep dodge,12550,13000,Tue Feb 10 2015 08:00:00 GMT-0800 (PST)
245012,2007,Volkswagen,New Beetle,2.5,Convertible,automatic,3vwrf31y87m401277,tx,2.5,103165.0,black,beige,santander consumer,4825,4200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
245013,2007,Volkswagen,Passat,2.0T,Wagon,automatic,wvwtk73cx7e040850,ga,2.4,65206.0,gray,gray,dallas chry dodge jeep,5550,5500,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
245014,2007,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tbdv58107s477296,fl,4.0,148231.0,burgundy,beige,westfall auto sales,16700,17800,Tue Feb 10 2015 08:00:00 GMT-0800 (PST)
245015,2007,Toyota,Tundra,SR5,CrewMax Cab,automatic,5tbev54157s457488,fl,2.7,242169.0,blue,black,dab auto world & leasing,9325,9700,Tue Feb 03 2015 08:00:00 GMT-0800 (PST)
245016,2007,Ford,Altima,Base,Sedan,automatic,5tfrv54187x010429,fl,2.5,188831.0,white,gray,florida auto and truck exchange inc,8725,10500,Tue Feb 17 2015 08:00:00 GMT-0800 (PST)
245017,2007,Volkswagen,Passat,Base,Sedan,automatic,wvwjk73c17p003245,ca,3.5,131022.0,gray,gray,trade in solutions,3900,3900,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
245018,2006,Acura,TL,Base,Sedan,automatic,19uua66256a011574,nc,3.5,95064.0,gray,black,hendrick bmw,8550,9000,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
245019,2006,Audi,A4,2.0T quattro,Sedan,automatic,waudf78ex6a157124,ca,2.5,99604.0,silver,black,mas financial services,6275,4100,Wed Feb 04 2015 04:05:00 GMT-0800 (PST)
245020,2006,Audi,A6,3.2 quattro,Sedan,automatic,waudg74f56n039440,az,1.9,122899.0,black,black,repo remarketing/vantage west credit union,6950,5600,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
245021,2006,Acura,TL,Base,Sedan,automatic,19uua66226a045276,fl,3.2,93773.0,white,tan,southern auto finance co/safco/ft lauderdale,8700,8500,Fri Feb 06 2015 01:25:00 GMT-0800 (PST)
245022,2006,Acura,TSX,Base,Sedan,automatic,jh4cl96856c025519,pa,3.7,92825.0,blue,beige,sell all cars.com llc,8050,8400,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
245023,2006,Audi,A4,1.8T,Convertible,automatic,wauac48h26k009774,md,2.7,154502.0,black,beige,annapolis volvo subaru,1800,2800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
245024,2007,Volvo,XC90,V8 Sport,SUV,automatic,yv4ct852671379097,ga,4.6,82850.0,black,gray,carworks inc,12500,12600,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
245025,2006,Acura,TL,Base,Sedan,automatic,19uua66266a036192,va,2.2,116893.0,gray,gray,bavarian auto sales llc,7800,7600,Thu Mar 05 2015 01:20:00 GMT-0800 (PST)
245026,2007,Volvo,S80,3.2,Sedan,automatic,yv1as982171032883,nv,2.1,81584.0,gray,black,wells fargo dealer services,7450,5900,Fri Feb 06 2015 04:00:00 GMT-0800 (PST)
245027,2006,Acura,TL,Base,Sedan,automatic,19uua66296a008046,va,3.5,68496.0,gray,black,pohanka acura,9975,9200,Thu Feb 05 2015 01:50:00 GMT-0800 (PST)
245028,2006,Acura,TL,Base,Sedan,automatic,19uua66226a011810,fl,2.8,133126.0,white,black,santander consumer,6600,6300,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
245029,2006,BMW,3 Series,330xi,Sedan,automatic,wbavd33556kv63509,ca,3.3,76417.0,silver,gray,walters auto sales/service inc,9950,10300,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
245030,2006,BMW,5 Series,525xi,Sedan,automatic,wbanf33526cb86340,fl,2.9,98309.0,brown,beige,auto depot of orlando inc,7375,9300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
245031,2006,BMW,3 Series,325i,Sedan,automatic,wbavb135x6kx32403,fl,3.5,116527.0,silver,gray,westfall auto sales,6700,7300,Tue Feb 03 2015 08:00:00 GMT-0800 (PST)
245032,2006,BMW,M6,Base,Coupe,automatic,wbseh93446b797988,nc,5.0,61046.0,burgundy,black,hendrick bmw,26500,23500,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
245033,2006,Buick,LaCrosse,CX,Sedan,automatic,2g4wc582261182751,nc,1.9,95431.0,burgundy,beige,hendrick chevrolet cadillac,4325,4600,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
245034,2006,BMW,X5,3.0i,SUV,automatic,5uxfa13536ly40123,co,3.9,112091.0,gray,gray,schomp bmw,8025,10500,Wed Mar 04 2015 03:45:00 GMT-0800 (PST)
245035,2006,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr53w36c033418,fl,1.2,50265.0,black,beige,td auto finance,52400,43000,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
245036,2006,BMW,7 Series,750Li,Sedan,automatic,wbahn83576dt64926,ga,1.9,90162.0,black,black,carworks inc,10200,9000,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
245037,2006,BMW,3 Series,330i,Sedan,automatic,wbavb33516kr79191,tx,3.6,125990.0,gray,black,fairway ford henderson,6625,7000,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
