num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
245999,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9er212681,pa,3.9,39599.0,gray,black,avis corporation,16000,16700,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
246000,2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg1er212464,ga,4.4,36087.0,white,black,avis corporation,16250,16200,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
246001,2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg1er181605,ga,4.4,35835.0,gray,beige,avis corporation,16150,16500,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
246002,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9er177026,fl,4.1,38368.0,blue,black,avis corporation,16050,16300,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
246003,2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg1er177084,ga,4.6,38686.0,silver,black,avis corporation,16150,16100,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
246004,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5er205954,tn,1.0,37894.0,silver,—,enterprise vehicle exchange/franklin,16200,10500,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
246005,2003,Ford,Taurus,SES,Sedan,automatic,1fafp55243a180715,tx,1.9,111838.0,gray,gray,onemain remarketing services,1500,1000,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
246006,2003,Ford,Altima,Base,Sedan,automatic,2fahp71w33x220920,fl,2.0,106271.0,white,—,broward county sheriffs office,1375,1200,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
246007,2003,GMC,Envoy,SLT,SUV,automatic,1gkds13s032226714,nc,2.5,136660.0,white,purple,hendrick lexus,2325,3900,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
246008,2003,GMC,Envoy XL,SLE,SUV,automatic,1gket16sx36184770,tx,2.8,120367.0,green,gray,tdaf remarketing,3725,3600,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
