num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
247999,2011,Honda,Accord,LX-S,Coupe,automatic,1hgcs1b31ba013486,va,1.9,75124.0,black,black,fiserv,10800,7700,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
248000,2011,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtp2ve37bg386133,tn,3.7,50961.0,blue,black,wholesale inc # 2,24100,26000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
248001,2011,Honda,Accord Crosstour,EX,Hatchback,automatic,5j6tf1h31bl002755,ca,4.2,52058.0,—,black,"ahfc/honda lease trust/hvt, inc.",13650,15600,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248002,2011,Honda,Fit,Base,Hatchback,automatic,jhmge8h32bs012184,tx,3.3,100262.0,black,black,capital one auto finance,8900,7400,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248003,2011,Honda,Pilot,LX,SUV,automatic,5fnyf3h28bb056748,ca,4.2,61528.0,silver,black,"ahfc/honda lease trust/hvt, inc.",14300,17200,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248004,2011,Honda,Element,EX,SUV,automatic,5j6yh1h71bl001558,ca,4.0,64165.0,orange,beige,"ahfc/honda lease trust/hvt, inc.",14900,17200,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248005,2011,Hyundai,Accent,GLS,Sedan,automatic,kmhcn4ac6bu546176,va,2.6,64489.0,blue,tan,fiserv/crescent bank & trust,5625,5200,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
248006,2011,Honda,Civic,LX,Sedan,automatic,2hgfa1f5xbh514552,ca,2.0,35689.0,white,tan,gateway one lending & finance,10050,10300,Thu Feb 05 2015 04:30:00 GMT-0800 (PST)
248007,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2bh093514,tx,1.0,67695.0,white,—,capital one auto finance,9050,5900,Thu Feb 12 2015 06:00:00 GMT-0800 (PST)
248008,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3bh099290,tx,4.3,57193.0,silver,gray,capital one auto finance,9475,10200,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248009,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9bh277302,ga,4.2,29739.0,blue,gray,car solutions,10800,12000,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
248010,2011,Jeep,Compass,Base,SUV,automatic,1j4nf1fb1bd216738,ca,2.0,102852.0,gray,black,enterprise veh exchange/rental,8625,7900,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
248011,2011,Lexus,RX 350,Base,SUV,automatic,2t2bk1baxbc084220,tn,4.0,65303.0,white,beige,wholesale inc # 2,22800,23500,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
248012,2011,Mitsubishi,Galant,ES,Sedan,automatic,4a32b3ff0be032305,tx,4.3,36261.0,silver,—,capital one auto finance,9125,9300,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248013,2011,Mercedes-Benz,E-Class,E350 4MATIC,Wagon,automatic,wddhh8hb2ba309892,ga,3.5,23161.0,black,black,morrison motors inc,35200,33400,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
248014,2011,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap1bc848275,oh,4.2,71288.0,red,black,mike albert limited,13500,13000,Thu Feb 05 2015 02:30:00 GMT-0800 (PST)
248015,2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6bn512490,ca,4.3,53006.0,blue,tan,skyhigh remarketing inc,9975,11000,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
248016,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv7bw293949,oh,3.3,116990.0,red,black,mike albert limited,9775,9100,Thu Feb 12 2015 02:30:00 GMT-0800 (PST)
248017,2011,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp7bl402413,tx,2.0,153821.0,gray,—,capital one auto finance,3575,3900,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248018,2011,Nissan,Sentra,2.0,Sedan,manual,3n1ab6ap3bl637390,az,2.7,40094.0,blue,beige,millenium auto network,8925,9000,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
248019,2011,Nissan,Versa,1.8 SL,Hatchback,automatic,3n1bc1cp1bl376004,tx,2.9,84954.0,brown,—,capital one auto finance,5825,5700,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248020,2011,Ram,1500,Sport,Crew Cab,automatic,1d7rb1ct6bs663440,tx,4.2,48392.0,burgundy,gray,td auto finance,19350,21600,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248021,2011,Nissan,Versa,1.8 S,Sedan,manual,3n1bc1ap1bl391511,ca,3.0,102977.0,silver,black,"foreman financial, inc",4850,5000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
248022,2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek7bu702035,tx,3.3,34567.0,blue,purple,tdaf remarketing,11700,12600,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248023,2011,Ram,2500,Laramie Longhorn Edition,Crew Cab,automatic,3d7ut2cl1bg567977,tx,3.7,78970.0,red,brown,td auto finance,26800,26500,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
248024,2011,Toyota,Highlander,Limited,SUV,automatic,5tdyk3eh8bs043384,tn,4.3,64639.0,gold,tan,wholesale inc # 2,24400,24500,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
248025,2011,Toyota,Tacoma,V6,Double Cab,automatic,3tmlu4en8bm057074,tn,4.8,56942.0,white,black,wholesale inc # 2,24000,25250,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
248026,2011,Toyota,Tacoma,X-Runner V6,Access Cab,manual,5tftu4cn1bx001099,tx,2.4,46210.0,red,gray,tdaf remarketing,18050,15100,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248027,2011,Toyota,Tundra,Tundra FFV,CrewMax Cab,automatic,5tfdw5f15bx193723,tx,2.3,71781.0,black,—,capital one auto finance,25700,23250,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248028,2010,Chevrolet,Silverado 2500HD,LT,Crew Cab,automatic,1gc4kxbg1af157811,wa,2.9,119829.0,silver,black,crossborder vehicle sales ltd,21500,17400,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
248029,2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5ek2a1247059,ca,2.7,1.0,white,gray,a-l financial corporation,9725,1750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
248030,2010,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcrkse33ag140685,tx,3.8,49940.0,blue,beige,first light fcu,23300,22400,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
248031,2010,Buick,Enclave,CXL1,SUV,automatic,5galvbed0aj263253,ab,4.3,143775.0,brown,black,chris hallett auto,13150,13800,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
248032,2010,Chevrolet,Impala,LS,Sedan,automatic,2g1wa5en0a1235618,ca,3.6,101012.0,blue,gray,a-l financial corporation,5900,5300,Thu Feb 05 2015 04:30:00 GMT-0800 (PST)
248033,2010,Chevrolet,Equinox,LT1,SUV,automatic,2cnfldey7a6357543,tx,3.5,72571.0,red,gray,capital one auto finance,11350,11400,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248034,2010,Chevrolet,Cobalt,LT,Sedan,automatic,1g1ad5f58a7243629,va,1.9,178975.0,black,black,fiserv/citizens one auto finance,2825,2300,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
248035,2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv3ah183220,tx,2.9,97042.0,gray,black,santander consumer,8825,10000,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
248036,2010,Dodge,Grand Caravan,SXT,Minivan,automatic,2d4rn5d15ar483309,ca,3.6,39501.0,gold,black,gosch ford,9000,10000,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
248037,2010,Dodge,Caliber,Mainstreet,Wagon,automatic,1b3cb3ha5ad604967,ca,2.7,46728.0,red,black,kings fcu,8300,6600,Thu Feb 05 2015 04:30:00 GMT-0800 (PST)
248038,2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv2ah253564,tx,2.9,67637.0,gray,gray,capital one auto finance,10300,11700,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248039,2010,Dodge,Avenger,SXT,Sedan,automatic,1b3cc4fb7an215109,tx,4.2,57909.0,gold,—,first light fcu,7375,7600,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
248040,2010,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7rb1ctxas181746,tx,3.1,50350.0,gray,gray,capital one auto finance,18900,21300,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248041,2010,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7rv1gt5as151040,co,2.3,131599.0,black,black,the faricy boys,13250,15100,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
248042,2010,Ford,F-150,XL,Regular Cab,automatic,1ftmf1cw7ake74619,tx,1.9,107451.0,silver,gray,tdaf remarketing,7950,3700,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248043,2010,Ford,Edge,SEL,SUV,automatic,2fmdk3jc4aba56458,tx,4.7,80916.0,white,tan,hopper motorplex inc,11800,11700,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248044,2010,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ftsx2br5aea96675,tx,3.7,43758.0,burgundy,gray,pm standley motorcars,28000,26500,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
248045,2010,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ev8afa00247,tn,4.6,67802.0,—,tan,midtown motors,18400,19200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
248046,2010,Ford,Altima,Base,Sedan,automatic,1ftfx1ev5ake71678,ca,3.4,61547.0,white,gray,union auto plaza inc,12550,10400,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
248047,2010,Ford,F-150,XLT,SuperCrew,automatic,1ftew1e86afb01003,wa,4.8,77129.0,black,gray,crossborder vehicle sales ltd,17200,18600,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
248048,2010,Ford,Ranger,SPORT,SuperCab,manual,1ftkr4eexapa28990,wa,4.4,31610.0,gray,gray,crossborder vehicle sales ltd,12750,13000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
248049,2010,Ford,Ranger,SPORT,SuperCab,manual,1ftlr4fe4apa14490,wa,4.4,17599.0,gray,gray,crossborder vehicle sales ltd,17150,17000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
248050,2010,GMC,Sierra 1500,Denali,Crew Cab,automatic,3gtrkxe28ag161052,tn,4.4,75221.0,black,black,wholesale inc # 2,24300,26500,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
248051,2010,Honda,Accord Crosstour,EX,Hatchback,automatic,5j6tf1h38al006834,ca,4.2,39769.0,—,black,"ahfc/honda lease trust/hvt, inc. eot",14400,16500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248052,2010,Honda,Insight,EX,Hatchback,automatic,jhmze2h73as040891,ca,1.9,86019.0,gray,gray,"ahfc/honda lease trust/hvt, inc.",7325,5900,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248053,2010,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp3f86aa015770,ca,4.3,62228.0,white,tan,"ahfc/honda lease trust/hvt, inc.",12850,15600,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248054,2010,Honda,Civic,LX,Sedan,automatic,2hgfa1f5xah326869,ca,3.1,68580.0,gray,gray,"ahfc/honda lease trust/hvt, inc.",8675,10000,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248055,2010,Honda,Accord,LX,Sedan,automatic,1hgcp2f39aa096472,tx,3.1,95082.0,green,tan,credit acceptance corp/vrs/southfield,8500,9100,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
248056,2010,Hyundai,Elantra,Blue,Sedan,manual,kmhdu4ad7au935374,ga,2.1,48968.0,silver,gray,tdaf remarketing,5900,5400,Tue Feb 03 2015 05:10:00 GMT-0800 (PST)
248057,2010,Jeep,Liberty,Sport,SUV,automatic,1j4pn2gk6aw158757,co,3.7,78714.0,silver,gray,justus motors company inc,10350,11300,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
248058,2010,Lexus,IS 250 C,Base,Convertible,automatic,jthff2c25a2509118,tx,3.2,77416.0,red,gray,tdaf remarketing,17900,17400,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248059,2010,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1j4ba5h10al156422,ca,4.4,44666.0,white,gray,skyhigh remarketing inc,22000,25000,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
248060,2010,Lincoln,MKX,Base,SUV,automatic,2lmdj6jc2abj15340,tx,3.1,105254.0,white,gray,tdaf remarketing,11250,12000,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248061,2010,Mazda,Mazda3,s Grand Touring,Hatchback,automatic,jm1bl1h51a1206364,tn,4.6,70519.0,silver,gray,wholesale inc # 2,9925,10500,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
248062,2010,Lincoln,MKT,Base,Wagon,automatic,2lmhj5at3abj15374,tn,4.8,73838.0,—,tan,midtown motors,16750,16400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
248063,2010,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2jc4ar636738,tx,3.5,51304.0,black,gray,tdaf remarketing,12500,11100,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248064,2010,Mazda,Mazda3,i SV,Sedan,automatic,jm1bl1sfxa1161345,tx,4.2,81766.0,blue,—,capital one auto finance,6900,8100,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248065,2010,Lexus,RX 350,Base,SUV,automatic,jtjzk1ba0a2404187,ca,3.5,78463.0,gray,black,bob baker jeep,20800,21500,Wed Feb 04 2015 04:15:00 GMT-0800 (PST)
248066,2010,Nissan,Altima,3.5 SR,Sedan,automatic,1n4bl2ap7an437222,va,2.5,62748.0,gray,black,fiserv,9925,8900,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
248067,2010,Mercury,Mariner,Base,SUV,automatic,4m2cn8b73akj07907,tx,1.9,90810.0,green,gray,capital one auto finance,7825,5600,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248068,2009,BMW,X5,xDrive30i,SUV,automatic,5uxfe43529l273610,tx,3.6,97533.0,black,tan,tdaf remarketing,15600,14300,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248069,2009,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,1gcec29049z184010,tx,3.2,86332.0,black,black,tdaf remarketing,14300,14500,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
248070,2009,Dodge,Grand Caravan,SE,Minivan,automatic,2d8hn44e69r590422,va,2.3,126066.0,silver,gray,fiserv/dealer funding llc,5400,4300,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
248071,2009,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48959t532978,tx,2.7,79395.0,blue,gray,tdaf remarketing,3450,4600,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248072,2009,Chrysler,Town and Country,LX,Minivan,automatic,2a8hr44e49r551615,fl,3.3,97491.0,white,gray,remarketing by ge/sunrise partners inc of nw,6400,7000,Mon Feb 02 2015 16:00:00 GMT-0800 (PST)
248073,2009,Dodge,Journey,SXT,SUV,automatic,3d4gg57v89t249528,tx,1.9,134223.0,red,tan,tdaf remarketing,5075,5400,Wed Feb 11 2015 02:15:00 GMT-0800 (PST)
248074,2009,Ford,Edge,SEL,SUV,automatic,2fmdk38c79ba38019,tx,2.6,87051.0,red,black,credit acceptance corp/vrs/southfield,10650,9800,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
248075,2009,Ford,F-150,Platinum,SuperCrew,automatic,1ftpw14v79fa71523,wa,3.7,73350.0,white,brown,augusta motor group inc.,22700,24400,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
248076,2009,Ford,Focus,SES,Sedan,automatic,1fahp36n99w197642,tx,3.4,93583.0,silver,gray,remktgedge / cars / carfinance capital llc,5950,5100,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
248077,2009,GMC,Acadia,SLE-1,SUV,automatic,1gker13d69j197378,tx,4.1,101543.0,white,gray,credit acceptance corp/vrs/southfield,10400,9300,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
248078,2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5sl6ef155729,va,3.6,16238.0,blue,black,fiserv/citizens one auto finance,15150,14900,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
248079,2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sl3ef131009,tn,4.3,43133.0,gold,gray,enterprise veh exchange/rental,14150,14100,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
248080,2009,Jeep,Compass,Sport,SUV,automatic,1j4ft47b49d134154,tx,2.7,120632.0,—,black,capital one auto finance,4350,5900,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248081,2009,Hyundai,Sonata,GLS PZEV,Sedan,automatic,5npet46c29h432272,tx,3.2,92286.0,beige,—,capital one auto finance,5800,4900,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
248082,2009,Kia,Rio,Base,Sedan,automatic,knade223596507988,ab,3.4,120170.0,silver,gray,go auto outlet west,3825,3000,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
248083,2009,Lexus,IS 250,Base,Sedan,automatic,jthck262892029595,ca,3.5,84751.0,gray,gray,skyhigh remarketing inc,14200,16000,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
248084,2009,Kia,Rio,LX,Sedan,automatic,knade223996499085,tx,2.6,134880.0,red,black,credit acceptance corp/vrs/southfield,2025,2200,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
248085,2009,smart,fortwo,BRABUS coupe,Hatchback,automatic,wmeej31x39k222079,nv,2.0,13989.0,silver,—,"others first,inc.",5900,3500,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
248086,2009,Toyota,Camry,SE,Sedan,automatic,4t1be46k09u810840,ca,2.6,130969.0,white,gray,guard auto sales,7425,7100,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
248087,2009,Toyota,Matrix,S,Hatchback,automatic,2t1le40e99c006402,tx,3.5,93989.0,red,black,pm standley motorcars,8550,8300,Wed Feb 04 2015 02:20:00 GMT-0800 (PST)
248088,2009,Toyota,Corolla,S,Sedan,automatic,2t1bu40e19c058962,va,3.3,103570.0,gray,black,fiserv/citizens one auto finance,7300,7800,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
