num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
248999,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdc178503,fl,1.9,28746.0,red,black,the hertz corporation,13550,12600,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
249000,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dc282174,va,2.8,99357.0,silver,gray,primeritus remarketing/koons automotive i,11450,8400,Thu Feb 05 2015 01:20:00 GMT-0800 (PST)
249001,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dn469573,ga,3.6,19390.0,white,black,terry cullen southlake chev inc,13950,14700,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
249002,2013,Mitsubishi,Lancer,DE,Sedan,automatic,ja32u1fu0du007718,pr,3.3,35635.0,silver,black,more automotive products inc,8525,9600,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
249003,2013,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu0du010365,ca,4.2,25896.0,black,black,reliance motors llc,10200,11300,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
249004,2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep5dc214621,ca,4.3,48982.0,red,black,avis rac/san leandro,12000,12700,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
249005,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dn516679,ca,3.6,39607.0,silver,black,enterprise veh exchange/rental,12950,13000,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
249006,2013,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddng9eb1da502960,pa,3.6,94145.0,—,brown,mercedes-benz financial services,39900,36500,Fri Feb 06 2015 00:27:00 GMT-0800 (PST)
249007,2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep2dc224846,co,4.2,34751.0,gray,black,tdaf remarketing,13950,13800,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
249008,2013,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng7db4da516681,fl,2.7,28234.0,black,black,mercedes-benz financial services,50000,44000,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
249009,2013,Mitsubishi,Lancer,DE,Sedan,automatic,ja32u1fu6du007450,pr,3.4,41438.0,beige,black,more automotive products inc,8250,9600,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
249010,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dc119521,nc,3.5,47350.0,gray,gray,meridian remarketing,12600,11700,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
249011,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dn488289,fl,2.8,56433.0,white,black,the hertz corporation,12100,11100,Fri Feb 06 2015 02:00:00 GMT-0800 (PST)
249012,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dn542302,az,2.2,58194.0,white,black,dtg operations inc,12050,12400,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
249013,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dn533771,in,4.2,58977.0,gray,black,the hertz corporation,11800,11700,Thu Feb 19 2015 02:10:00 GMT-0800 (PST)
249014,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn537390,ca,4.0,49196.0,white,black,avis rac/san leandro,12500,12700,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
249015,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dn499466,az,3.3,54059.0,silver,black,the hertz corporation,12250,12600,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
