num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
250999,2011,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4bbj13190,on,3.4,89696.0,gray,gray,canadian road leasing co & ford credit canda ltd,19950,20800,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
251000,2011,Mazda,CX-9,Sport,SUV,automatic,jm3tb2ba1b0308863,az,3.1,77762.0,blue,black,remarketing of america,11200,9300,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
251001,2011,MINI,Cooper Clubman,S,Hatchback,automatic,wmwzg3c56bty35059,fl,3.9,32211.0,gray,black,braman motors,15250,13800,Thu Feb 05 2015 01:40:00 GMT-0800 (PST)
251002,2011,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh2b5m11376,la,2.9,17789.0,gray,black,"jpmorgan chase bank,n.a.",11550,9000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
251003,2011,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk3bbj23262,ga,4.8,32419.0,black,black,"ford motor credit company,llc pd",22600,23900,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
251004,2011,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c58bt251451,tn,3.4,65889.0,gray,black,mazda knoxville,9400,9200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
251005,2011,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc6br763371,mo,1.9,39028.0,black,black,ford-lincoln dealer program,13850,13400,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
251006,2011,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1vf4b1388463,co,4.1,31295.0,blue,black,"jpmorgan chase bank,n.a.",10250,11900,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
251007,2011,Mazda,CX-9,Sport,SUV,automatic,jm3tb3bv6b0327627,pa,4.4,34523.0,green,black,brookside motors llc,16150,17200,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
251008,2011,Lexus,RX 450h,Base,SUV,automatic,jtjbc1ba3b2036992,ut,4.9,45576.0,silver,black,larry h. miller lexus murray,29800,30100,Wed Feb 04 2015 03:00:00 GMT-0800 (PST)
251009,2011,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1vgxb1461019,pa,1.9,77023.0,—,black,ge fleet services for itself/servicer,8100,5500,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
251010,2011,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1uf5b1430527,tx,3.4,75756.0,blue,black,heavenly motors of texas ltd,7575,7800,Wed Feb 04 2015 02:05:00 GMT-0800 (PST)
251011,2011,Lexus,RX 350,Base,SUV,automatic,jtjzk1ba8b2004752,fl,4.4,42626.0,white,tan,karl flammer ford inc,24800,27100,Thu Feb 05 2015 01:50:00 GMT-0800 (PST)
251012,2011,Mazda,CX-7,i Sport,SUV,automatic,jm3er2bm1b0400070,nj,3.4,48241.0,black,beige,22nd street motors inc,12400,12200,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
