num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
251999,2008,BMW,5 Series,528i,Sedan,automatic,wbanu535x8c110219,nv,3.8,63407.0,white,beige,towbin dodge,12500,14600,Fri Feb 06 2015 04:00:00 GMT-0800 (PST)
252000,2008,BMW,3 Series,335i,Coupe,manual,wbawb73578p155875,pa,3.4,94786.0,blue,black,bmw of annapolis/mini of annapolis,11950,13900,Fri Feb 06 2015 01:15:00 GMT-0800 (PST)
252001,2008,BMW,5 Series,528i,Sedan,automatic,wbanu53548c110832,fl,3.7,25585.0,brown,beige,treasure coast toyota of stuart,14700,14000,Thu Feb 05 2015 03:40:00 GMT-0800 (PST)
252002,2008,Buick,Enclave,CXL,SUV,automatic,5gaev23738j179444,mn,3.2,134703.0,brown,tan,audi minneapolis,9525,9100,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
252003,2008,Ford,Altima,Base,Sedan,automatic,wbahl83548dt11500,ca,2.7,48448.0,white,black,high bid trading co inc,16300,18750,Wed Feb 11 2015 04:15:00 GMT-0800 (PST)
252004,2008,Buick,Enclave,CXL,SUV,automatic,5gaev23768j106973,va,4.1,85110.0,white,gray,faa/dt,13350,13000,Thu Feb 05 2015 01:20:00 GMT-0800 (PST)
252005,2008,BMW,5 Series,535xi,Sedan,automatic,wbanv93578cz62936,tx,3.4,84945.0,gray,gray,palisades funding group,11300,7600,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
252006,2008,BMW,X5,3.0si,SUV,automatic,5uxfe43598l033534,nc,2.9,87487.0,blue,brown,crossroads chrysler jeep dodge,14700,14000,Mon Feb 16 2015 01:00:00 GMT-0800 (PST)
252007,2008,BMW,X5,3.0si,SUV,automatic,5uxfe43508l026908,tx,4.3,98126.0,beige,beige,gentry chevrolet inc.,14200,13100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
252008,2008,BMW,5 Series,528i,Sedan,automatic,wbanu53568ct07274,pa,3.7,61784.0,black,beige,r hollenshead auto sales inc,13050,13000,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
252009,2008,MINI,Cooper,S,Hatchback,automatic,wmwmf73528tv32518,ca,3.7,98319.0,silver,black,high bid trading co inc,6250,7200,Wed Feb 04 2015 04:15:00 GMT-0800 (PST)
252010,2008,BMW,X5,4.8i,SUV,automatic,5uxfe83558l168193,nc,3.4,130211.0,blue,tan,rick hendrick city chevrolet,11600,10000,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
252011,2008,BMW,3 Series,335xi,Sedan,automatic,wbavd53548a284041,md,3.5,87648.0,gray,tan,"jpmorgan chase bank,n.a.",11750,11000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
252012,2008,BMW,5 Series,535xi,Wagon,automatic,wbapt73578cx01261,pa,3.3,107870.0,silver,beige,r hollenshead auto sales inc,11550,10800,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
252013,2008,BMW,X5,3.0si,SUV,automatic,5uxfe43518l003170,ca,3.9,78949.0,white,beige,skyhigh remarketing inc,16000,17250,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
252014,2008,BMW,5 Series,528i,Sedan,automatic,wbanu53548ct12389,fl,2.0,160106.0,black,black,remarketing by ge/space coast credit union,7100,6000,Fri Feb 13 2015 01:35:00 GMT-0800 (PST)
252015,2008,BMW,5 Series,550i,Sedan,automatic,wbanw53558ct50563,ga,3.7,70996.0,gray,black,innovative auto llc,16400,16000,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
252016,2008,BMW,5 Series,528xi,Sedan,automatic,wbanv13588cz57827,pa,3.1,122068.0,gray,black,r hollenshead auto sales inc,7800,7500,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
252017,2008,BMW,5 Series,550i,Sedan,automatic,wbanw535x8ct55046,ga,3.0,56445.0,blue,beige,pye auto sales,17950,19000,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
252018,2008,Buick,Enclave,CXL,SUV,automatic,5gaev23788j182419,co,3.5,99799.0,blue,black,justus motors company inc,12200,14000,Wed Feb 04 2015 03:45:00 GMT-0800 (PST)
252019,2008,BMW,5 Series,550i,Sedan,automatic,wbanw53538ct53722,tn,3.4,64335.0,gold,beige,harold mathews nissan inc,15700,15900,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
252020,2008,BMW,7 Series,750Li,Sedan,automatic,wbahn83508dt82459,fl,3.4,68544.0,blue,beige,massey cadillac,17050,15800,Wed Feb 04 2015 01:35:00 GMT-0800 (PST)
252021,2008,Cadillac,CTS,Base,Sedan,automatic,1g6df577480176886,az,2.8,132761.0,black,beige,omni american bank,6800,6500,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
252022,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,2gcek13m581175588,ne,3.4,118721.0,red,black,dm northwest inc,15100,16100,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
252023,2008,Cadillac,DTS,Performance,Sedan,automatic,1g6kd57938u205947,fl,3.4,89967.0,red,beige,grow financial fcu,7625,8400,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
252024,2008,Cadillac,DTS,Base,Sedan,automatic,1g6kd57y18u177511,ne,3.4,99411.0,black,gray,dm northwest inc,7900,7000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
252025,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,2gcek133981330179,ga,3.3,119271.0,purple,black,capital one auto finance,14850,15400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
252026,2008,Cadillac,Escalade ESV,Base,SUV,automatic,1gyfk66868r271683,tn,4.3,106654.0,black,black,wholesale inc # 2,18150,20500,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
252027,2008,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcek13398g188214,mn,4.1,105749.0,white,black,hortenbach auto llc,17250,17600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
252028,2008,Cadillac,CTS,Base,Sedan,automatic,1g6dm577480109811,fl,3.1,58197.0,white,beige,massey cadillac,11550,11500,Wed Feb 04 2015 01:35:00 GMT-0800 (PST)
252029,2008,Cadillac,DTS,Base,Sedan,automatic,1g6kd57y68u125730,pa,3.8,78257.0,off-white,beige,fiserv/grow financial fcu,8550,7800,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
252030,2008,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcek19j68z259763,in,2.7,104265.0,black,black,daylight auto financing inc,13600,13000,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
252031,2008,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,2gcec13j781339572,tx,2.8,128853.0,blue,tan,ken camp's auto world inc,14200,15000,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
252032,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,2gcec13jx81159650,la,2.8,107511.0,red,black,"jpmorgan chase bank,n.a.",15100,14100,Wed Feb 11 2015 03:00:00 GMT-0800 (PST)
252033,2008,Cadillac,Escalade ESV,Base,SUV,automatic,1gyfk66858r176290,ca,3.7,139175.0,black,black,mercedes benz of temecula,15150,15000,Wed Feb 04 2015 04:15:00 GMT-0800 (PST)
252034,2008,Cadillac,Escalade ESV,Base,SUV,automatic,1gyfk66838r161559,nj,4.4,105929.0,gold,tan,highline motor cars corp,19600,19000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
252035,2008,Chevrolet,Silverado 1500,LS,Crew Cab,automatic,3gcec13cx8g223839,tx,2.9,77325.0,white,gray,cm investments,15450,17100,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
252036,2008,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,2gcec19j181311113,fl,2.7,145176.0,beige,tan,"jpmorgan chase bank,n.a.",10600,10000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
252037,2008,Cadillac,STS,V6,Sedan,automatic,1g6dk67v280180824,ga,2.9,119404.0,white,tan,davis automotive,7650,9300,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
252038,2008,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,1gcek14c48z120093,pa,2.6,82117.0,brown,black,r hollenshead auto sales inc,9900,10600,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
