num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
252999,2006,BMW,3 Series,325Ci,Coupe,automatic,wbabv13426jt24811,fl,3.0,101801.0,white,tan,"jpmorgan chase bank,n.a.",5450,6500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
253000,2007,Volvo,S80,V8,Sedan,automatic,yv1ah852071034072,pa,4.2,79917.0,black,black,r hollenshead auto sales inc,8475,12000,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
253001,2006,Acura,MDX,Touring,SUV,automatic,2hnyd18736h505303,ca,2.0,135178.0,white,beige,the car exchange,7900,8200,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
253002,2007,Volvo,XC90,3.2,SUV,automatic,yv4cy982971383793,ga,2.9,146303.0,gray,black,cameron motor sports,4275,4800,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
253003,2006,BMW,3 Series,325i,Sedan,automatic,wbavb13516pt04772,nj,3.2,108025.0,gray,gray,mid town auto sales inc,7075,7000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
253004,2007,Volvo,XC90,3.2,SUV,automatic,yv4cz982671386728,pa,2.8,113019.0,black,gray,lia honda,6825,6500,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
253005,2006,Acura,TL,Base,Sedan,automatic,19uua66226a068847,ca,3.7,118600.0,black,black,trade in solutions irvine,7325,8200,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
253006,2006,BMW,3 Series,325i,Sedan,manual,wbavb13536kr59433,fl,2.9,134572.0,black,black,lauderdale bmw of fort lauderdale,5875,6300,Fri Feb 06 2015 01:35:00 GMT-0800 (PST)
253007,2007,Volvo,S40,2.4i,Sedan,automatic,yv1ms382072300570,nj,3.7,93674.0,blue,gray,frank matteo inc,5350,5100,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
253008,2006,Audi,A4,2.0T,Sedan,automatic,wauaf78e76a195624,ca,1.9,114151.0,blue,black,golden west motors,5075,4700,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
253009,2006,Audi,A8,quattro,Sedan,automatic,waull44e76n014424,mn,2.9,114312.0,black,black,audi minneapolis,8150,10600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
253010,2006,BMW,3 Series,325Ci,Convertible,automatic,wbabw33446px86633,ga,1.9,91383.0,black,tan,jim ellis,7550,7200,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
253011,2006,Acura,MDX,Touring,SUV,automatic,2hnyd18646h539354,ca,2.7,130803.0,blue,gray,onemain rem/coast to coast auto group,8300,9100,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
253012,2007,Volvo,S60,2.5T,Sedan,automatic,yv1rs592872607467,fl,2.0,57453.0,green,tan,d&a fine cars,5925,4800,Fri Feb 06 2015 01:25:00 GMT-0800 (PST)
253013,2006,Audi,A6,3.2 quattro,Sedan,automatic,waudh74fx6n085424,pa,2.6,94892.0,black,gray,r hollenshead auto sales inc,8200,7800,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
253014,2006,Acura,TL,Base,Sedan,automatic,19uua66276a061098,co,2.8,118543.0,gray,black,justus motors company inc,7175,9200,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
